"","Protein","INT_F.1","INT_F.2","POS_F.1","POS_F.2","pvalue","log2FC","imputed_log2FC","imputed_Pvalue","imputed_adjPvalue","X","log10pvalue_ND","diffexpressed"
"1","A0A087WNW4",14.72408746,15.14322376,12.78847365,14.50295608,0.292573675,1.287940743,1.287940743,0.292573675,0.602657869,NA,5.33764753113535,"NS_POS"
"2","A0A286YCV9",14.82581711,15.34824646,14.4857968,15.63469552,0.956052657,0.026785629,0.026785629,0.956052657,0.975039643,NA,0.195181872063811,"NS"
"3","A0A286YCV9;Q9EQW7",13.80382841,15.27964685,13.9126087,15.36850646,0.917956486,-0.098819951,-0.098819951,0.917956486,0.947430305,NA,0.37177905223581,"NS"
"4","A11111",16.75022094,17.64451467,15.87356804,17.59518943,0.512245933,0.462989072,0.462989072,0.512245933,0.726385935,NA,2.9052148101397,"NS"
"5","A11112",16.10477825,17.56529132,15.40483123,17.01406283,0.462050236,0.625587751,0.625587751,0.462050236,0.703433768,NA,3.35310803596426,"NS"
"6","A2A432",12.72030522,13.88326296,11.95243462,13.51796029,0.407950044,0.566586633,0.566586633,0.407950044,0.670377839,NA,3.89393015693122,"NS"
"7","Q9CQB2",14.72951453,16.01441283,10.14758654,13.47129417,0.049351978,3.562523328,3.562523328,0.049351978,0.536860453,NA,13.0669543636273,"POS"
"8","A2A8Z1",17.6495987,18.39125856,15.5727089,17.35221587,0.058863329,1.557966251,1.557966251,0.058863329,0.536860453,NA,12.3015518013231,"NS_POS"
"9","A2AGT5",15.07276067,15.9884628,13.60235091,15.04131692,0.109130164,1.208777825,1.208777825,0.109130164,0.536860453,NA,9.62055192141889,"NS_POS"
"10","A2AIX1",14.88012693,15.48819134,14.08006801,15.12782278,0.261061983,0.580213738,0.580213738,0.261061983,0.591474229,NA,5.83256367454848,"NS"
"11","A2AJ88",15.13354362,16.02935194,14.16694763,15.83555701,0.396625591,0.580195463,0.580195463,0.396625591,0.666531899,NA,4.01619267761755,"NS"
"12","A2AN08",15.91491974,16.39222698,14.7819874,16.31132623,0.362439694,0.606916543,0.606916543,0.362439694,0.648580814,NA,4.40764244932481,"NS"
"13","A2APT9",16.53974459,17.50360694,14.50332288,16.163342,0.057124674,1.688343329,1.688343329,0.057124674,0.536860453,NA,12.4317626535369,"NS_POS"
"14","A2ARP1",15.17219622,15.66704682,14.09582922,15.33394029,0.167527493,0.704736767,0.704736767,0.167527493,0.549045359,NA,7.75913910547174,"NS"
"15","A2ARP1;Q6ZQB6",15.05418033,15.88402739,14.51212316,15.16219461,0.159319854,0.631944973,0.631944973,0.159319854,0.54704732,NA,7.97730100248044,"NS"
"16","A2AWA9",14.79086709,15.56353524,14.19913855,15.47418996,0.568361094,0.340536908,0.340536908,0.568361094,0.746133874,NA,2.45375658470488,"NS"
"17","A3KGS3",15.13581804,15.45929949,13.79585778,15.14213841,0.401358822,0.828560673,0.828560673,0.401358822,0.667582397,NA,3.96467186645569,"NS"
"18","A6H8H2",15.67538502,16.33175671,14.11635939,15.46899561,0.060349068,1.210893365,1.210893365,0.060349068,0.536860453,NA,12.1932943253569,"NS_POS"
"19","A8DUK4",17.47835128,16.88410324,16.09370131,17.16224722,0.358187011,0.553252994,0.553252994,0.358187011,0.648580814,NA,4.45890167100347,"NS"
"20","A8DUK4;P02088",17.89700802,16.84302478,16.3185075,17.20630857,0.280804173,0.607608362,0.607608362,0.280804173,0.597167099,NA,5.51596442491639,"NS"
"21","A8DUK4;P02088;P02089",15.47090918,15.19867717,14.8065226,15.43594747,0.698509935,0.213558138,0.213558138,0.698509935,0.807574652,NA,1.55827412477511,"NS"
"22","A8DUK4;P02088;P02089;CON__Q3SX09",15.89749098,16.24564555,14.48538909,15.84320954,0.169873832,0.907268949,0.907268949,0.169873832,0.549045359,NA,7.69873516323901,"NS"
"23","A8DUK4;P02088;P02089;CON__Q3SX09;P02104;CON__P02070",16.57344009,16.54239712,16.28883004,16.87795509,0.936230777,-0.025473956,-0.025473956,0.936230777,0.96222078,NA,0.286170862788926,"NS"
"24","B1AY13",14.36165252,15.06478103,13.66412074,14.9792976,0.537068255,0.391507602,0.391507602,0.537068255,0.735909811,NA,2.69970517119513,"NS"
"25","B2RQC6",14.80039618,15.48227737,14.18960993,15.40968625,0.597264936,0.34168868,0.34168868,0.597264936,0.752516956,NA,2.23832980897843,"NS"
"26","B2RXC1",15.49585503,15.98731889,14.38673779,15.50875422,0.164074076,0.793840956,0.793840956,0.164074076,0.548314567,NA,7.84960032838104,"NS"
"27","B2RXM2;J3QNY1",15.34099869,16.38913465,14.85141206,16.35439876,0.697629892,0.262161266,0.262161266,0.697629892,0.807574652,NA,1.56374919055242,"NS"
"28","Q9ER39",12.96186566,13.68584381,10.05568,9.694149,NA,Inf,3.448940235,0.019635113,0.536860453,NA,17.0696659502329,"POS"
"29","D3Z3L3",14.04712391,14.37958143,13.45108229,14.67225958,0.766008609,0.151681736,0.151681736,0.766008609,0.854676729,NA,1.15766349401098,"NS"
"30","D3Z3N4",13.59549061,15.64038617,12.78947251,14.50133962,0.368753996,0.972532323,0.972532323,0.368753996,0.65351461,NA,4.33263264759281,"NS"
"31","D3Z4K0",15.09963547,15.37038091,13.86524997,15.35035221,0.309601011,0.627207098,0.627207098,0.309601011,0.619160584,NA,5.09197629801147,"NS"
"32","D4AFX7",14.72347931,15.08330974,14.01890308,15.30293342,0.602883105,0.242476276,0.242476276,0.602883105,0.754963541,NA,2.19766886491392,"NS"
"33","E9PV24",14.56832667,15.08373983,14.8801494,15.86364806,0.352938426,-0.545865479,-0.545865479,0.352938426,0.643678521,NA,4.52301055464715,"NS"
"34","E9PVA8",15.88723392,16.28033806,14.41689992,15.98784288,0.151929539,0.881414592,0.881414592,0.151929539,0.539200913,NA,8.1835777993897,"NS"
"35","E9PWG2",16.31028197,16.82443589,15.11989107,16.31853833,0.096644806,0.848144228,0.848144228,0.096644806,0.536860453,NA,10.1482148137834,"NS"
"36","E9PWQ3",14.839595,15.16255089,15.00362684,15.92909378,0.409744437,-0.465287366,-0.465287366,0.409744437,0.671502704,NA,3.87486934027392,"NS"
"37","E9PYG6",12.77885742,13.2911707,12.13686298,13.13522831,0.383050158,0.398968415,0.398968415,0.383050158,0.657522347,NA,4.16744354187081,"NS"
"38","E9PYK3",14.23054588,14.27496047,13.88302507,14.50928017,0.900818662,0.05660056,0.05660056,0.900818662,0.93407613,NA,0.453626252462056,"NS"
"39","E9Q0S6",15.53093472,16.41868127,14.41865415,15.83391974,0.178713432,0.84852105,0.84852105,0.178713432,0.549045359,NA,7.47842804941159,"NS"
