"","Protein","INT_M.1","INT_M.2","POS_M.1","POS_M.2","pvalue","log2FC","imputed_log2FC","imputed_Pvalue","imputed_adjPvalue","log10pvalue_ND","diffexpressed"
"1","A0A087WNW4",15.15371035,15.07656511,14.07288625,13.47712581,0.27563612,1.340131698,1.340131698,0.27563612,0.996315489,5.59663872073449,"NS_INT"
"2","A0A286YCV9",14.94281532,15.06241194,15.90104492,15.47328208,0.198858242,-0.684549865,-0.684549865,0.198858242,0.988262249,7.01456404270957,"NS"
"3","A0A286YCV9;Q9EQW7",14.42081554,14.29827741,15.73227344,15.38377178,0.246005784,-1.198476138,-1.198476138,0.246005784,0.990420869,6.09054681800064,"NS_POS"
"4","A11111",16.62037576,16.89927393,17.10784225,16.77573901,0.792787025,-0.181965783,-0.181965783,0.792787025,0.997566344,1.00843466263717,"NS"
"5","A11112",15.72748099,16.40432826,16.8095026,16.37839371,0.5313692,-0.528043529,-0.528043529,0.5313692,0.997566344,2.74603622409186,"NS"
"6","A2A432",13.25858298,13.14031356,13.17103277,12.90642203,0.808052418,0.160720865,0.160720865,0.808052418,0.997566344,0.92560465822241,"NS"
"7","A2A5R2",14.28119263,13.53240223,12.91359875,13.21634645,0.29072418,0.841824831,0.841824831,0.29072418,0.996315489,5.36518845753282,"NS"
"8","A2A8Z1",17.81506818,17.63086241,17.32364673,16.77023611,0.33867819,0.676023879,0.676023879,0.33867819,0.997566344,4.70212769896937,"NS"
"9","A2AGT5",15.39121002,15.47164346,14.62102161,14.67975498,0.263995582,0.781038449,0.781038449,0.263995582,0.996315489,5.78403341043335,"NS"
"10","A2AIX1",15.19905362,15.13839181,15.1102386,14.64983619,0.556210779,0.288685318,0.288685318,0.556210779,0.997566344,2.54760599048162,"NS"
"11","A2AJ88",15.21295229,15.04332639,15.2280295,14.88240424,0.911813925,0.072922469,0.072922469,0.911813925,0.997566344,0.400937796439469,"NS"
"12","A2AN08",16.11098412,15.99636594,15.93112992,15.76311542,0.747012529,0.206552358,0.206552358,0.747012529,0.997566344,1.26672114074919,"NS"
"13","A2APT9",16.95046432,16.94145232,15.6561266,15.51519663,0.104149569,1.3602967,1.3602967,0.104149569,0.988262249,9.82342522944358,"NS_INT"
"14","A2ARP1",15.40331688,15.43959003,15.38398683,15.27953804,0.845386331,0.089691018,0.089691018,0.845386331,0.997566344,0.729447785312077,"NS"
"15","A2ARP1;Q6ZQB6",15.64176954,15.52331691,15.48538909,15.30936977,0.648691997,0.185163796,0.185163796,0.648691997,0.997566344,1.8796145998588,"NS"
"16","A2AWA9",15.12174613,14.94349387,15.65251697,15.3560688,0.436535308,-0.471672883,-0.471672883,0.436535308,0.997566344,3.5998062378104,"NS"
"17","A3KGS3",15.48880471,15.07208222,14.69090416,14.01004738,0.350711189,0.92996769,0.92996769,0.350711189,0.997566344,4.55050378277488,"NS"
"18","A6H8H2",15.86348705,16.05768124,15.3177659,15.23910572,0.231485388,0.682148339,0.682148339,0.231485388,0.988262249,6.35476417653592,"NS"
"19","A8DUK4",17.20871233,17.82170711,18.29043829,17.2327546,0.671232208,-0.246386721,-0.246386721,0.671232208,0.997566344,1.7312721275582,"NS"
"20","A8DUK4;P02088",17.83959868,17.7412958,18.4360056,17.66255022,0.628569927,-0.258830669,-0.258830669,0.628569927,0.997566344,2.01646400999604,"NS"
"21","A8DUK4;P02088;P02089",15.77387374,15.78603985,16.43176278,15.02376986,0.924007814,0.052190477,0.052190477,0.924007814,0.997566344,0.343243560929535,"NS"
"22","A8DUK4;P02088;P02089;CON__Q3SX09",16.38991697,15.77640733,16.39616993,16.74478129,0.428627282,-0.487313458,-0.487313458,0.428627282,0.997566344,3.67920189698826,"NS"
