CONTENT ID	CONTENT TYPE	LIPID ID	SPECIES	EXPERIMENT ID	METHODS
1	lipid	Lysobisphosphatidic acid	Homo sapiens	91	Immunofluorescence
2	lipid	Sphingomyelin (SM)	Homo sapiens	71	Thin layer chromatography
3	lipid	Ganglioside GM3	Homo sapiens	71	Thin layer chromatography
4	lipid	Phosphatidylserine (PS)	Homo sapiens	71	Thin layer chromatography
5	lipid	Phosphatidylinositol (PI)	Homo sapiens	71	Thin layer chromatography
6	lipid	Phosphatidylcholine (PC)	Homo sapiens	71	Thin layer chromatography
7	lipid	Phosphatidylethanolamine (PE)	Homo sapiens	71	Thin layer chromatography
8	lipid	Diacylglycerol (DG)	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
9	lipid	Phosphatidylethanolamine (PE)	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
10	lipid	Phosphatidylcholine (PC)	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
11	lipid	Lysophosphatidylcholine (LPC)	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
12	lipid	Phosphatidic acid (PA)	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
13	lipid	FA14:0	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
14	lipid	FA16:0	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
15	lipid	FA18:0	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
16	lipid	FA20:0	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
17	lipid	FA24:0	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
18	lipid	FA16:1?7	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
19	lipid	FA18:1?9	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
20	lipid	FA20:1?9	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
21	lipid	FA24:1?9	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
22	lipid	FA18:2?6	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
