Protein,INT_F.1,INT_F.2,INT_M.1,INT_M.2,pvalue,log2FC,imputed_log2FC,imputed_Pvalue,imputed_adjPvalue
A0A087WNW4,14.72408746,15.14322376,15.15371035,15.07656511,0.874889679,-0.181482121,-0.181482121,0.874889679,0.99991031
A0A286YCV9,14.82581711,15.34824646,14.94281532,15.06241194,0.862318158,0.084418155,0.084418155,0.862318158,0.99991031
A0A286YCV9;Q9EQW7,13.80382841,15.27964685,14.42081554,14.29827741,0.849582084,0.182191158,0.182191158,0.849582084,0.99991031
A11111,16.75022094,17.64451467,16.62037576,16.89927393,0.534712868,0.437542959,0.437542959,0.534712868,0.99991031
A11112,16.10477825,17.56529132,15.72748099,16.40432826,0.372614291,0.769130159,0.769130159,0.372614291,0.99991031
A2A432,12.72030522,13.88326296,13.25858298,13.14031356,0.876836247,0.102335825,0.102335825,0.876836247,0.99991031
A2A5R2,13.85703646,14.82065303,14.28119263,13.53240223,0.57090443,0.432047314,0.432047314,0.57090443,0.99991031
A2A8Z1,17.6495987,18.39125856,17.81506818,17.63086241,0.661267129,0.297463338,0.297463338,0.661267129,0.99991031
A2AGT5,15.07276067,15.9884628,15.39121002,15.47164346,0.879342505,0.099184994,0.099184994,0.879342505,0.99991031
A2AIX1,14.88012693,15.48819134,15.19905362,15.13839181,0.974420183,0.01543642,0.01543642,0.974420183,0.99991031
A2AJ88,15.13354362,16.02935194,15.21295229,15.04332639,0.501505279,0.453308442,0.453308442,0.501505279,0.99991031
A2AN08,15.91491974,16.39222698,16.11098412,15.99636594,0.875488564,0.09989833,0.09989833,0.875488564,0.99991031
A2APT9,16.53974459,17.50360694,16.95046432,16.94145232,0.91639376,0.07571745,0.07571745,0.91639376,0.99991031
A2ARP1,15.17219622,15.66704682,15.40331688,15.43959003,0.996815442,-0.001831935,-0.001831935,0.996815442,0.99991031
A2ARP1;Q6ZQB6,15.05418033,15.88402739,15.64176954,15.52331691,0.778656739,-0.113439364,-0.113439364,0.778656739,0.99991031
A2AWA9,14.79086709,15.56353524,15.12174613,14.94349387,0.805890287,0.144581162,0.144581162,0.805890287,0.99991031
A3KGS3,15.13581804,15.45929949,15.48880471,15.07208222,0.985624783,0.017115306,0.017115306,0.985624783,0.99991031
A6H8H2,15.67538502,16.33175671,15.86348705,16.05768124,0.934955711,0.042986722,0.042986722,0.934955711,0.99991031
A8DUK4,17.47835128,16.88410324,17.20871233,17.82170711,0.568137481,-0.333982461,-0.333982461,0.568137481,0.99991031
A8DUK4;P02088,17.89700802,16.84302478,17.83959868,17.7412958,0.441071533,-0.420430844,-0.420430844,0.441071533,0.99991031
A8DUK4;P02088;P02089,15.47090918,15.19867717,15.77387374,15.78603985,0.431364171,-0.445163619,-0.445163619,0.431364171,0.99991031
A8DUK4;P02088;P02089;CON__Q3SX09,15.89749098,16.24564555,16.38991697,15.77640733,0.98445076,-0.01159389,-0.01159389,0.98445076,0.99991031
A8DUK4;P02088;P02089;CON__Q3SX09;P02104;CON__P02070,16.57344009,16.54239712,16.45058302,16.69152544,0.967083323,-0.013135624,-0.013135624,0.967083323,0.99991031
B1AY13,14.36165252,15.06478103,14.67997301,14.53372135,0.86425922,0.106369594,0.106369594,0.86425922,0.99991031
B2RQC6,14.80039618,15.48227737,14.65331076,15.20942972,0.743123956,0.20996653,0.20996653,0.743123956,0.99991031
B2RXC1,15.49585503,15.98731889,15.69463863,15.65466499,0.896060409,0.066935151,0.066935151,0.896060409,0.99991031
B2RXM2;J3QNY1,15.34099869,16.38913465,15.43451814,15.68838692,0.653634013,0.303614139,0.303614139,0.653634013,0.99991031
D3YTP3,17.14292856,17.2413896,16.74195933,16.98413485,0.516238343,0.329111994,0.329111994,0.516238343,0.99991031
D3Z3L3,14.04712391,14.37958143,14.47256393,14.27583351,0.752501882,-0.160846044,-0.160846044,0.752501882,0.99991031
D3Z3N4,13.59549061,15.64038617,13.82257083,14.54321311,0.677133563,0.435046417,0.435046417,0.677133563,0.99991031
D3Z4K0,15.09963547,15.37038091,14.67524036,14.98610868,0.498861619,0.404333668,0.404333668,0.498861619,0.99991031
D4AFX7,14.72347931,15.08330974,14.66778569,14.95880652,0.844782623,0.090098427,0.090098427,0.844782623,0.99991031
E9PV24,14.56832667,15.08373983,14.93663849,14.79076295,0.946423587,-0.037667468,-0.037667468,0.946423587,0.99991031
E9PVA8,15.88723392,16.28033806,15.96817863,15.71156099,0.659791793,0.243916184,0.243916184,0.659791793,0.99991031
E9PWG2,16.31028197,16.82443589,16.39040897,16.3384473,0.645843021,0.202930796,0.202930796,0.645843021,0.99991031
E9PWQ3,14.839595,15.16255089,14.67229716,15.10356868,0.835561351,0.113140027,0.113140027,0.835561351,0.99991031
E9PYG6,12.77885742,13.2911707,12.75730666,13.02124027,0.738719941,0.145740595,0.145740595,0.738719941,0.99991031
E9PYK3,14.23054588,14.27496047,14.17102038,14.14394118,0.834092856,0.095272398,0.095272398,0.834092856,0.99991031
E9Q0S6,15.53093472,16.41868127,15.72393109,15.7993437,0.710670413,0.2131706,0.2131706,0.710670413,0.99991031
E9Q3H6,15.9617888,16.31023999,15.94825315,16.14984633,0.901978563,0.086964656,0.086964656,0.901978563,0.99991031
E9Q3H6;Q3THF9,14.03032228,15.26238852,14.67237009,14.95060146,0.869432791,-0.165130372,-0.165130372,0.869432791,0.99991031
E9Q3L2,12.10882479,13.13011698,11.94706714,12.0694095,0.365210901,0.611232571,0.611232571,0.365210901,0.99991031
E9Q4Z2,16.70796438,17.48064712,17.35011003,17.63328907,0.611048465,-0.397393794,-0.397393794,0.611048465,0.99991031
E9Q512,14.44983286,15.09296433,14.87310092,14.9279151,0.786289803,-0.129109418,-0.129109418,0.786289803,0.99991031
E9Q555,15.68723898,15.68535108,15.43892177,15.56789667,0.719387142,0.182885803,0.182885803,0.719387142,0.99991031
E9Q5N9,17.15481811,17.06497427,17.97292371,17.60037755,0.625776787,-0.676754442,-0.676754442,0.625776787,0.99991031
Q9QYR9,11.00176003,11.16735542,10.44356521,10.43139313,0.016065625,0.64707855,0.64707855,0.016065625,0.99991031
E9Q6E5,15.49003606,15.2772874,15.7389103,15.36077851,0.647697437,-0.166182677,-0.166182677,0.647697437,0.99991031
E9Q6P5,14.98472996,15.96812676,14.94516946,15.46515185,0.712464471,0.271267705,0.271267705,0.712464471,0.99991031
E9Q6R7,15.75312004,16.39260763,16.01605422,16.13458486,0.996298971,-0.00245571,-0.00245571,0.996298971,0.99991031
E9Q7G0,14.76125707,14.86709761,15.17805336,14.90041715,0.452811916,-0.225057914,-0.225057914,0.452811916,0.99991031
E9Q8I9,15.72073123,16.48505884,16.01720647,16.2880534,0.936590813,-0.049734906,-0.049734906,0.936590813,0.99991031
E9QA15,13.95101145,13.89320671,13.52894756,14.0987832,0.853053421,0.108243706,0.108243706,0.853053421,0.99991031
F6ZDS4,14.82717309,15.14770939,14.99681767,14.90956501,0.942893125,0.034249898,0.034249898,0.942893125,0.99991031
F8VPN4,13.3693247,14.28402881,13.63911456,13.53661149,0.637607306,0.238813731,0.238813731,0.637607306,0.99991031
