Protein,INT_M.1,INT_M.2,NegControl.1,NegControl.2,pvalue,log2FC,imputed_log2FC,imputed_Pvalue,imputed_adjPvalue
A0A087WNW4,15.15371035,15.07656511,11.89882809,14.81783308,0.169626423,1.756807147,1.756807147,0.169626423,0.18214168
Q8VDY9,17.22128502,17.62378149,8.745844,9.177247,NA,Inf,8.460987755,0.038738944,0.050718457
Q6PIU9,16.5023812,16.02444712,8.745844,9.177247,NA,Inf,7.30186866,0.024561591,0.037035517
Q62264,14.73629622,15.1719977,8.745844,9.177247,NA,Inf,5.99260146,0.043256027,0.055256524
Q9CQB2,15.09926561,14.60420572,8.745844,9.177247,NA,Inf,5.890190165,0.034244012,0.046592437
Q62261;Q68FG2;P15508,14.76544151,14.4274438,8.745844,9.177247,NA,Inf,5.634897155,0.031469543,0.043879687
Q8VDS8,14.3940607,14.60837034,8.745844,9.177247,NA,Inf,5.53967002,0.048349954,0.059886341
O88587,15.74737518,16.28861825,10.16008997,10.98764928,0.000446297,5.444127092,5.444127092,0.000446297,0.009557519
D3Z3L3,14.47256393,14.27583351,8.745844,9.177247,NA,Inf,5.41265322,0.012883625,0.024764515
P50247,18.84799935,18.34845154,12.98678422,13.50605959,0.000165643,5.351803541,5.351803541,0.000165643,0.009557519
Q6P8I4,16.71150547,16.27727852,10.58629059,11.84631846,0.00044128,5.278087464,5.278087464,0.00044128,0.009557519
Q61249,15.68208514,15.85438492,10.3585186,10.62582177,0.00022387,5.276064842,5.276064842,0.00022387,0.009557519
Q811D0;Q91XM9,16.36951215,16.00360575,8.745844,10.91453463,0.005259877,5.272024324,5.272024324,0.005259877,0.015029128
Q9DBR0,14.32916565,13.90378772,8.745844,9.177247,NA,Inf,5.154931185,0.026776606,0.039438582
O70310,16.59677339,16.19539469,11.11648192,11.39765777,0.000205326,5.139014192,5.139014192,0.000205326,0.009557519
Q9D706,15.73285638,15.73685112,10.48542683,10.71192504,0.000687692,5.136177817,5.136177817,0.000687692,0.009557519
A3KGS3,15.48880471,15.07208222,13.30819833,15.67787355,0.423515099,0.787407522,0.787407522,0.423515099,0.43664112
Q810A7,17.06896717,17.10298038,12.15775745,11.81322003,0.000430289,5.100485032,5.100485032,0.000430289,0.009557519
A8DUK4,17.20871233,17.82170711,16.69311248,16.74015268,0.20410431,0.798577139,0.798577139,0.20410431,0.217018934
A8DUK4;P02088,17.83959868,17.7412958,17.59517874,17.7363731,0.813988862,0.124671326,0.124671326,0.813988862,0.82053299
A8DUK4;P02088;P02089,15.77387374,15.78603985,14.60661927,15.111584,0.137016379,0.920855159,0.920855159,0.137016379,0.149189511
A8DUK4;P02088;P02089;CON__Q3SX09,16.38991697,15.77640733,15.91883995,15.05790713,0.341466395,0.594788609,0.594788609,0.341466395,0.354516066
Q8R550,16.649629,16.13745106,11.04512166,11.8402834,0.000658246,4.950837498,4.950837498,0.000658246,0.009557519
A2A8Z1,17.81506818,17.63086241,12.6874926,12.86000238,0.000574623,4.949217805,4.949217805,0.000574623,0.009557519
Q5ND04,14.06524782,13.69653291,8.745844,9.177247,NA,Inf,4.919344865,0.013886188,0.025897581
O54754,13.77090177,13.97846288,8.745844,9.177247,NA,Inf,4.913136825,0.008513103,0.019654897
Q91W18,13.7619667,13.98468547,8.745844,9.177247,NA,Inf,4.911780585,0.029969908,0.042405338
Q62261;P15508,16.83331015,16.41765476,8.745844,11.71626216,0.001830795,4.909220292,4.909220292,0.001830795,0.010608817
P49722,15.90604502,16.1518688,11.02693835,11.22140587,0.0021576,4.904784804,4.904784804,0.0021576,0.010793657
Q9Z0H4,15.30317427,15.10025168,8.745844,10.31684718,0.011060113,4.884865788,4.884865788,0.011060113,0.022733902
Q3TLH4,14.64096627,14.32790345,9.528975686,9.678082913,0.000679663,4.880905559,4.880905559,0.000679663,0.009557519
P42932,17.4206339,17.62506927,12.68681953,12.66432023,0.000149573,4.847281708,4.847281708,0.000149573,0.009557519
O35685,16.11190959,15.87595026,10.4841449,11.83246579,0.001410496,4.835624578,4.835624578,0.001410496,0.00966012
Q8BGD9,17.44803546,17.54021154,12.36111509,12.95756076,0.000229438,4.834785575,4.834785575,0.000229438,0.009557519
Q9EPL8,15.8902299,16.15937367,10.58168745,11.83317558,0.001549706,4.817370274,4.817370274,0.001549706,0.010062349
E9PWQ3,14.67229716,15.10356868,14.45093947,13.22970548,0.098783368,1.047610442,1.047610442,0.098783368,0.11074064
P50518,15.38019047,15.56854995,8.745844,10.6809748,0.03734052,4.793395406,4.793395406,0.03734052,0.04946203
Q922F4,15.29120668,14.44740614,8.745844,10.09645162,0.006588973,4.772854787,4.772854787,0.006588973,0.016943847
Q8BR92,15.85579586,15.45199776,10.68676289,11.10268031,0.000639267,4.759175213,4.759175213,0.000639267,0.009557519
Q9Z2D6,16.35865061,16.75264811,11.98575534,11.62559768,0.000808725,4.74997285,4.74997285,0.000808725,0.009557519
Q8CIN4;O88643,17.0558967,17.14240626,12.30095308,12.44081727,4.76E-05,4.728266305,4.728266305,4.76E-05,0.009557519
O08715,16.24457602,16.0127991,10.88349189,11.92256171,0.000570193,4.725660764,4.725660764,0.000570193,0.009557519
E9Q4Z2,17.35011003,17.63328907,14.91970728,16.5779771,0.063373236,1.742857354,1.742857354,0.063373236,0.074748991
