Protein,POS_F.1,POS_F.2,POS_M.1,POS_M.2,pvalue,log2FC,imputed_log2FC,imputed_Pvalue,imputed_adjPvalue
A0A087WNW4,12.78847365,14.50295608,14.07288625,13.47712581,0.910629185,-0.129291166,-0.129291166,0.910629185,0.993582016
A0A286YCV9,14.4857968,15.63469552,15.90104492,15.47328208,0.233206599,-0.626917339,-0.626917339,0.233206599,0.992111037
A0A286YCV9;Q9EQW7,13.9126087,15.36850646,15.73227344,15.38377178,0.3607463,-0.917465029,-0.917465029,0.3607463,0.992111037
A11111,15.87356804,17.59518943,17.10784225,16.77573901,0.764867149,-0.207411896,-0.207411896,0.764867149,0.992111037
A11112,15.40483123,17.01406283,16.8095026,16.37839371,0.645313236,-0.384501121,-0.384501121,0.645313236,0.992111037
A2A432,11.95243462,13.51796029,13.17103277,12.90642203,0.649024834,-0.303529943,-0.303529943,0.649024834,0.992111037
A2A5R2,11.63357121,13.36436781,12.91359875,13.21634645,0.46318025,-0.566003087,-0.566003087,0.46318025,0.992111037
A2A8Z1,15.5727089,17.35221587,17.32364673,16.77023611,0.402501555,-0.584479034,-0.584479034,0.402501555,0.992111037
A2AGT5,13.60235091,15.04131692,14.62102161,14.67975498,0.619357025,-0.328554382,-0.328554382,0.619357025,0.992111037
A2AIX1,14.08006801,15.12782278,15.1102386,14.64983619,0.572965176,-0.276092,-0.276092,0.572965176,0.992111037
A2AJ88,14.16694763,15.83555701,15.2280295,14.88240424,0.934660071,-0.053964552,-0.053964552,0.934660071,0.994694107
A2AN08,14.7819874,16.31132623,15.93112992,15.76311542,0.640960285,-0.300465855,-0.300465855,0.640960285,0.992111037
A2APT9,14.50332288,16.163342,15.6561266,15.51519663,0.728024426,-0.25232918,-0.25232918,0.728024426,0.992111037
A2ARP1,14.09582922,15.33394029,15.38398683,15.27953804,0.216923156,-0.616877684,-0.616877684,0.216923156,0.992111037
A2ARP1;Q6ZQB6,14.51212316,15.16219461,15.48538909,15.30936977,0.202801592,-0.560220541,-0.560220541,0.202801592,0.992111037
A2AWA9,14.19913855,15.47418996,15.65251697,15.3560688,0.285165977,-0.667628629,-0.667628629,0.285165977,0.992111037
A3KGS3,13.79585778,15.14213841,14.69090416,14.01004738,0.900786418,0.118522323,0.118522323,0.900786418,0.9927985
A6H8H2,14.11635939,15.46899561,15.3177659,15.23910572,0.376800553,-0.485758304,-0.485758304,0.376800553,0.992111037
A8DUK4,16.09370131,17.16224722,18.29043829,17.2327546,0.092930948,-1.133622176,-1.133622176,0.092930948,0.992111037
A8DUK4;P02088,16.3185075,17.20630857,18.4360056,17.66255022,0.050646485,-1.286869874,-1.286869874,0.050646485,0.992111037
A8DUK4;P02088;P02089,14.8065226,15.43594747,16.43176278,15.02376986,0.296360701,-0.60653128,-0.60653128,0.296360701,0.992111037
A8DUK4;P02088;P02089;CON__Q3SX09,14.48538909,15.84320954,16.39616993,16.74478129,0.055552127,-1.406176297,-1.406176297,0.055552127,0.992111037
A8DUK4;P02088;P02089;CON__Q3SX09;P02104;CON__P02070,16.28883004,16.87795509,17.02117519,16.62356718,0.465814604,-0.238978624,-0.238978624,0.465814604,0.992111037
B1AY13,13.66412074,14.9792976,14.7237938,14.60807223,0.585613738,-0.344223846,-0.344223846,0.585613738,0.992111037
B2RQC6,14.18960993,15.40968625,15.14138557,15.38828416,0.477432733,-0.465186772,-0.465186772,0.477432733,0.992111037
B2RXC1,14.38673779,15.50875422,15.68926093,15.60211889,0.211322136,-0.697943909,-0.697943909,0.211322136,0.992111037
B2RXM2;J3QNY1,14.85141206,16.35439876,16.10598682,15.83619167,0.588214937,-0.368183839,-0.368183839,0.588214937,0.992111037
D3YTP3,15.21257941,16.50317817,15.96426864,15.75756157,0.9951103,-0.003036315,-0.003036315,0.9951103,0.997561311
D3Z3L3,13.45108229,14.67225958,14.79568457,14.37931067,0.331424499,-0.525826684,-0.525826684,0.331424499,0.992111037
D3Z3N4,12.78947251,14.50133962,13.43775207,14.61332905,0.715391594,-0.380134498,-0.380134498,0.715391594,0.992111037
D3Z4K0,13.86524997,15.35035221,15.11231732,14.62759088,0.65649562,-0.262153011,-0.262153011,0.65649562,0.992111037
D4AFX7,14.01890308,15.30293342,15.09384455,14.87801956,0.490474742,-0.325013805,-0.325013805,0.490474742,0.992111037
E9PV24,14.8801494,15.86364806,15.71059509,15.71491666,0.550812435,-0.340857143,-0.340857143,0.550812435,0.992111037
E9PVA8,14.41689992,15.98784288,15.61560487,15.50468225,0.523361325,-0.35777216,-0.35777216,0.523361325,0.992111037
E9PWG2,15.11989107,16.31853833,16.26673895,16.19215889,0.273981758,-0.510234217,-0.510234217,0.273981758,0.992111037
E9PWQ3,15.00362684,15.92909378,15.33489725,15.13707617,0.674769787,0.230373601,0.230373601,0.674769787,0.992111037
E9PYG6,12.13686298,13.13522831,12.62962983,12.6308359,0.989303741,0.005812779,0.005812779,0.989303741,0.997072537
E9PYK3,13.88302507,14.50928017,14.31288296,14.48350091,0.659529345,-0.202039314,-0.202039314,0.659529345,0.992111037
E9Q0S6,14.41865415,15.83391974,16.08418225,15.94035585,0.163509628,-0.885982104,-0.885982104,0.163509628,0.992111037
E9Q3H6,14.29784769,15.21025278,14.78535029,14.8443625,0.931345619,-0.060806161,-0.060806161,0.931345619,0.994133373
E9Q3H6;Q3THF9,11.11341661,12.77762519,11.92625893,12.73072486,0.704820728,-0.382970991,-0.382970991,0.704820728,0.992111037
E9Q3L2,11.19685503,12.83870101,12.87479052,12.92754277,0.209757993,-0.883388624,-0.883388624,0.209757993,0.992111037
E9Q4Z2,15.39209303,16.78758136,16.03073956,16.02373904,0.935267712,0.062597899,0.062597899,0.935267712,0.994694107
E9Q512,13.55809935,14.68228198,14.68461086,14.5026276,0.342202342,-0.473428561,-0.473428561,0.342202342,0.992111037
E9Q555,15.4776318,16.39618665,16.18777733,16.13268046,0.661946313,-0.223319669,-0.223319669,0.661946313,0.992111037
E9Q5N9,16.61266696,17.41170958,16.76939881,15.98566408,0.646920636,0.634656825,0.634656825,0.646920636,0.992111037
Q3V037,10.05568,10.53537259,9.774474,9.871751,NA,Inf,0.472413795,0.044097679,0.992111037
E9Q6E5,14.64565843,15.62716336,15.37592183,15.3421094,0.543988745,-0.222604722,-0.222604722,0.543988745,0.992111037
