Protein,NegControl.1,NegControl.2,POS_M.1,POS_M.2,pvalue,imputed_log2FC,imputed_Pvalue,imputed_adjPvalue
A0A087WNW4,11.89882809,14.81783308,14.07288625,13.47712581,0.719255565,0.41667545,0.719255565,0.744404361
Q8VDY9,8.745844,9.177247,17.49661976,17.43721564,NA,8.5053722,0.004575514,0.014577176
Q9Z0F7,10.9968495,11.64850534,18.85033364,18.48307374,0.000387737,7.344026278,0.000387737,0.010646166
Q6PIU9,8.745844,9.177247,15.78853992,15.16474983,NA,6.515099375,0.044211351,0.060130393
D3Z3L3,8.745844,9.177247,14.79568457,14.37931067,NA,5.62595212,0.002819158,0.012345891
O88587,10.16008997,10.98764928,16.10003996,16.18340727,0.000401501,5.567853986,0.000401501,0.010646166
Q62264,8.745844,9.177247,14.1203999,14.81898154,NA,5.50814522,0.041365172,0.056877112
Q62261;Q68FG2;P15508,8.745844,9.177247,14.52307183,14.19867524,NA,5.399328035,0.006514444,0.017227744
Q8C5W0,8.745844,10.31944633,15.82252104,15.32941095,0.00087205,5.256519667,0.00087205,0.010646166
P49817,15.15546386,14.88986445,20.46257649,19.97986458,0.000733538,5.198556375,0.000733538,0.010646166
E9Q616,13.30413312,13.28960933,18.51706265,18.41756045,2.96E-05,5.170440328,2.96E-05,0.010646166
O55239,13.6439689,14.28084325,19.16575103,18.96933031,0.000181039,5.105134593,0.000181039,0.010646166
P49722,11.02693835,11.22140587,16.37619323,16.04163776,0.001837336,5.084743392,0.001837336,0.011075587
Q8VDS8,8.745844,9.177247,14.30013803,13.75811909,NA,5.06758306,0.031234886,0.045852474
Q8R0W0;A0A2I3BRT4,8.745844,9.669452026,14.77694701,14.67154107,0.000496864,5.054792015,0.000496864,0.010646166
O54754,8.745844,9.177247,14.178337,13.80451332,NA,5.02987966,0.044108276,0.060040362
A3KGS3,13.30819833,15.67787355,14.69090416,14.01004738,0.880846762,-0.142560168,0.880846762,0.897945228
Q9Z0P4,10.37478723,10.32571591,15.30855875,15.25044085,0.00019751,4.929248234,0.00019751,0.010646166
A8DUK4,16.69311248,16.74015268,18.29043829,17.2327546,0.114310927,1.04496386,0.114310927,0.137748475
A8DUK4;P02088,17.59517874,17.7363731,18.4360056,17.66255022,0.479942979,0.383501995,0.479942979,0.513031628
A8DUK4;P02088;P02089,14.60661927,15.111584,16.43176278,15.02376986,0.15592445,0.868664682,0.15592445,0.182091716
A8DUK4;P02088;P02089;CON__Q3SX09,15.91883995,15.05790713,16.39616993,16.74478129,0.114136425,1.082102067,0.114136425,0.137696517
Q810A7,12.15775745,11.81322003,16.99843617,16.70603728,0.000536221,4.866747984,0.000536221,0.010646166
Q5ND04,8.745844,9.177247,14.29404631,13.34332454,NA,4.857139925,0.046425254,0.062514734
Q9Z0F7;Q91ZZ3,13.18012334,11.65616962,17.34053809,17.18178199,0.000844973,4.843013559,0.000844973,0.010646166
Q9WTQ5,12.66692102,12.40700936,17.4745783,17.24885021,0.000178112,4.824749067,0.000178112,0.010646166
Q78ZA7;P28656,11.84705735,12.62010525,17.1341054,16.96983617,0.001769482,4.818389487,0.001769482,0.011075587
Q9D706,10.48542683,10.71192504,15.62704933,15.16675153,0.000941907,4.7982245,0.000941907,0.010646166
Q8CHU3,11.05018877,10.8788939,15.95862068,15.47126241,0.001986846,4.750400213,0.001986846,0.011075587
Q62261;P15508,8.745844,11.71626216,16.17434056,16.73938508,0.002088024,4.740600657,0.002088024,0.011211317
Q9Z0H4,8.745844,10.31684718,15.26047854,14.82007922,0.0124089,4.723431696,0.0124089,0.024365381
Q61249,10.3585186,10.62582177,15.36956026,15.03514874,0.000383577,4.710184313,0.000383577,0.010646166
A11111,11.93186522,12.53198696,17.10784225,16.77573901,0.000819412,4.709864539,0.000819412,0.010646166
P70677,12.56464968,12.7215051,17.20007483,17.48856195,0.000139019,4.701241,0.000139019,0.010646166
P49817;P51637,14.9393414,14.97772329,19.74784954,19.46658658,0.000827911,4.64868572,0.000827911,0.010646166
P18760,12.75907675,11.63254088,17.25617182,16.41235483,0.006576143,4.638454513,0.006576143,0.017243627
Q922F4,8.745844,10.09645162,15.47867484,13.98085361,0.00732181,4.633312596,0.00732181,0.018338318
Q91VJ2,12.30813982,12.21871029,17.01558343,16.75429465,0.000600736,4.621513982,0.000600736,0.010646166
Q3U7R1,13.0488583,12.82236463,17.69998306,17.38698721,0.000164896,4.607873666,0.000164896,0.010646166
E9Q3H6,12.88485735,14.75801496,14.78535029,14.8443625,0.198998901,0.993420242,0.198998901,0.226869896
E9Q3H6;Q3THF9,11.17167721,13.19607954,11.92625893,12.73072486,0.885496838,0.144613516,0.885496838,0.900993033
P27546,10.99457835,11.17990537,15.95890602,15.40590232,0.000331188,4.595162311,0.000331188,0.010646166
E9Q4Z2,14.91970728,16.5779771,16.03073956,16.02373904,0.719727836,0.278397107,0.719727836,0.744419896
Q9R0A0,10.24037405,11.03303823,15.25509491,15.14839651,0.000277143,4.56503957,0.000277143,0.010646166
Q62417,12.43586336,12.56517834,17.25580077,16.85868324,0.000783741,4.556721159,0.000783741,0.010646166
E9Q5N9,14.77056066,18.71903447,16.76939881,15.98566408,0.789414857,-0.367266119,0.789414857,0.811343047
Q9DCD2,8.745844,9.177247,13.69870467,13.30078153,NA,4.5381976,0.001883616,0.011075587
O35685,10.4841449,11.83246579,15.57675683,15.73156656,0.001957174,4.495856354,0.001957174,0.011075587
Q9QZS7,12.27262978,11.51209846,16.96882426,15.78335638,0.00035364,4.483726199,0.00035364,0.010646166
Q60598,11.5735827,11.74673555,16.30394124,15.97032827,0.000355652,4.476975627,0.000355652,0.010646166
Q9ESJ7,8.745844,10.99060038,16.19844504,14.72685676,0.007766987,4.472050517,0.007766987,0.018673364
Q9EPL8,10.58168745,11.83317558,15.60360099,15.75056827,0.002167148,4.469653117,0.002167148,0.011271939
P63073,9.808047121,9.833696559,14.38437905,14.17679648,0.004521642,4.459715923,0.004521642,0.014526779
Q71LX4,12.08536123,12.08069315,16.78647165,16.29361463,0.000312161,4.457015949,0.000312161,0.010646166
Q9WVC3,8.745844,12.49051047,17.7215282,16.16936443,0.016865639,4.454935839,0.016865639,0.029877323
Q6P8I4,10.58629059,11.84631846,15.85277871,15.43162528,0.001000364,4.425897466,0.001000364,0.010646166
Q99P72,11.40867247,11.75106761,16.23324517,15.75144072,0.000848195,4.41247291,0.000848195,0.010646166
G3X9I7,9.772034091,13.04229207,14.30634655,13.42862189,0.083723754,2.460321137,0.083723754,0.104286359
G3X9K3,13.46135154,13.54411923,13.94599242,13.67253584,0.330476779,0.306528743,0.330476779,0.362300469
O70310,11.11648192,11.39765777,15.81444579,15.5245157,0.000423247,4.412410898,0.000423247,0.010646166
O08528,13.42897554,14.60074252,15.15577251,15.31334432,0.166002916,1.219699386,0.166002916,0.192213903
Q3UHX2,11.33060289,11.84200112,16.09918517,15.89282032,0.001193821,4.409700733,0.001193821,0.010646166
A0A286YCV9;Q9EQW7,12.13699111,10.16490693,15.73227344,15.38377178,0.004753864,4.407073592,0.004753864,0.014685561
Q8CIN4;O88643,12.30095308,12.44081727,16.87843415,16.65745802,6.79E-05,4.39706091,6.79E-05,0.010646166
P14824,12.81706132,13.14127053,17.52423752,17.2276903,0.000325965,4.396797981,0.000325965,0.010646166
O08582,11.09447361,12.30597622,13.4472124,12.75755669,0.097831085,1.402159629,0.097831085,0.120293811
Q91W18,8.745844,9.177247,13.49847527,13.21298267,NA,4.39418347,0.049141204,0.065361013
P97447,12.77375737,11.88809633,16.5140976,16.93410548,0.000714261,4.39317469,0.000714261,0.010646166
Q63850,10.56555638,10.15019139,14.86324093,14.62358638,0.001043497,4.385539772,0.001043497,0.010646166
Q8VCI5,11.22593041,12.03839891,16.23781697,15.78707089,0.000280966,4.38027927,0.000280966,0.010646166
Q69ZR2,11.93243623,11.59949447,16.33891044,15.93311431,0.000204135,4.370047022,0.000204135,0.010646166
O08739;Q3V1D3,13.71263447,14.70989155,15.25672469,15.6462493,0.102446528,1.240223988,0.102446528,0.125212423
O08749,14.77378223,17.48151494,17.2738128,17.47514472,0.27726671,1.246830173,0.27726671,0.30811618
O08756,14.04206239,14.83987497,15.14985884,15.50671006,0.238895894,0.887315768,0.238895894,0.268711504
