"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045333","GO:0045333","cellular respiration","48/271","320/30636",1.68341996424308e-44,4.19844939082224e-41,3.6964358372748e-41,"E9Q3H6/E9Q7L0/P00405/P13707/P35486/P54071/P56392/P70404/P97807/P99028/Q3THF9/Q3V384/Q60597/Q791V5/Q7TMF3/Q80U63/Q80X68/Q8K2B3/Q8K3J1/Q8R1I1/Q91VA7/Q91VD9/Q91WD5/Q91WS0/Q99KI0/Q99LC3/Q9CPP6/Q9CQ69/Q9CQA3/Q9CQN1/Q9CWE0/Q9CXZ1/Q9CZ13/Q9CZU6/Q9D051/Q9D0M3/Q9D2G2/Q9D6J6/Q9D6M3/Q9D6R2/Q9DB41/Q9DC70/Q9DCJ5/Q9DCT2/Q9WUM5/Q9Z1P6/Q9Z2I8/Q9Z2I9",48
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds","52/271","486/30636",1.61035273046152e-40,2.00810985488551e-37,1.76799778723301e-37,"E9Q3H6/E9Q7L0/P00405/P13707/P35486/P45952/P54071/P56392/P70404/P97807/P99028/Q3THF9/Q3V384/Q60597/Q791V5/Q7TMF3/Q80U63/Q80X68/Q8K2B3/Q8K3J1/Q8R1I1/Q8VCB3/Q91VA7/Q91VD9/Q91WD5/Q91WS0/Q99KI0/Q99LC3/Q9CPP6/Q9CQ69/Q9CQA3/Q9CQN1/Q9CWE0/Q9CXZ1/Q9CZ13/Q9CZU6/Q9D051/Q9D0M3/Q9D2G2/Q9D6J6/Q9D6M3/Q9D6R2/Q9DB41/Q9DC70/Q9DCJ5/Q9DCT2/Q9ET01/Q9WUM5/Q9Z1E4/Q9Z1P6/Q9Z2I8/Q9Z2I9",52
"GO:0009060","GO:0009060","aerobic respiration","39/271","239/30636",1.15230607928654e-37,9.57950453913543e-35,8.43407186453235e-35,"E9Q7L0/P00405/P35486/P54071/P56392/P70404/P97807/P99028/Q3V384/Q60597/Q791V5/Q7TMF3/Q80X68/Q8K2B3/Q8K3J1/Q8R1I1/Q91VA7/Q91VD9/Q91WD5/Q99KI0/Q99LC3/Q9CQ69/Q9CQA3/Q9CWE0/Q9CXZ1/Q9CZ13/Q9CZU6/Q9D051/Q9D0M3/Q9D2G2/Q9D6J6/Q9D6R2/Q9DC70/Q9DCJ5/Q9DCT2/Q9WUM5/Q9Z1P6/Q9Z2I8/Q9Z2I9",39
"GO:0006099","GO:0006099","tricarboxylic acid cycle","19/271","38/30636",1.56130026460081e-29,9.73470714978607e-27,8.57071671567709e-27,"E9Q7L0/P35486/P54071/P70404/P97807/Q60597/Q80X68/Q8K2B3/Q91VA7/Q99KI0/Q9CQA3/Q9CXZ1/Q9CZU6/Q9D051/Q9D2G2/Q9D6R2/Q9WUM5/Q9Z2I8/Q9Z2I9",19
"GO:0022904","GO:0022904","respiratory electron transport chain","25/271","134/30636",5.73395676279404e-26,2.86009763328167e-23,2.51811238046071e-23,"P00405/P13707/P99028/Q3V384/Q791V5/Q7TMF3/Q8K2B3/Q8K3J1/Q8R1I1/Q91VD9/Q91WD5/Q99LC3/Q9CPP6/Q9CQ69/Q9CQA3/Q9CXZ1/Q9CZ13/Q9D0M3/Q9D6J6/Q9D6M3/Q9DB41/Q9DC70/Q9DCJ5/Q9DCT2/Q9Z1P6",25
"GO:0022900","GO:0022900","electron transport chain","25/271","146/30636",5.49318480873012e-25,2.28333381882882e-22,2.0103128966686e-22,"P00405/P13707/P99028/Q3V384/Q791V5/Q7TMF3/Q8K2B3/Q8K3J1/Q8R1I1/Q91VD9/Q91WD5/Q99LC3/Q9CPP6/Q9CQ69/Q9CQA3/Q9CXZ1/Q9CZ13/Q9D0M3/Q9D6J6/Q9D6M3/Q9DB41/Q9DC70/Q9DCJ5/Q9DCT2/Q9Z1P6",25
"GO:0046034","GO:0046034","ATP metabolic process","34/271","438/30636",4.96175030042279e-22,1.76780074989349e-19,1.55642272581683e-19,"O08528/O08739/O88343/P00405/P09041/P09411/P13707/P52480/P56392/P99028/Q3V384/Q60597/Q791V5/Q7TMF3/Q7TNG8/Q8BRK8/Q8K1M6/Q8K2B3/Q8K3J1/Q8R1I1/Q91VD9/Q91WD5/Q99LC3/Q9CQ69/Q9CZ13/Q9D0M3/Q9D6J6/Q9DBJ1/Q9DC70/Q9DCJ5/Q9DCT2/Q9JHS4/Q9WTP7/Q9Z1P6",34
"GO:0006637","GO:0006637","acyl-CoA metabolic process","22/271","134/30636",1.05713992910099e-21,2.92945220353095e-19,2.57917414281246e-19,"E9Q4Z2/O70571/P35486/P63030/Q60597/Q61586/Q80X68/Q8BKZ9/Q8BWT1/Q8JZR0/Q8K2C8/Q8QZT1/Q8VHQ9/Q99NB1/Q9CZU6/Q9D023/Q9D051/Q9DBL1/Q9JK42/Q9WUM5/Q9Z2I8/Q9Z2I9",22
"GO:0035383","GO:0035383","thioester metabolic process","22/271","134/30636",1.05713992910099e-21,2.92945220353095e-19,2.57917414281246e-19,"E9Q4Z2/O70571/P35486/P63030/Q60597/Q61586/Q80X68/Q8BKZ9/Q8BWT1/Q8JZR0/Q8K2C8/Q8QZT1/Q8VHQ9/Q99NB1/Q9CZU6/Q9D023/Q9D051/Q9DBL1/Q9JK42/Q9WUM5/Q9Z2I8/Q9Z2I9",22
"GO:0033865","GO:0033865","nucleoside bisphosphate metabolic process","23/271","166/30636",6.80341533064678e-21,1.41397648621942e-18,1.24490564734467e-18,"E9Q4Z2/O70571/P35486/P63030/Q3ULD5/Q60597/Q61586/Q80X68/Q8BKZ9/Q8BWT1/Q8JZR0/Q8K2C8/Q8QZT1/Q8VHQ9/Q99NB1/Q9CZU6/Q9D023/Q9D051/Q9DBL1/Q9JK42/Q9WUM5/Q9Z2I8/Q9Z2I9",23
"GO:0033875","GO:0033875","ribonucleoside bisphosphate metabolic process","23/271","166/30636",6.80341533064678e-21,1.41397648621942e-18,1.24490564734467e-18,"E9Q4Z2/O70571/P35486/P63030/Q3ULD5/Q60597/Q61586/Q80X68/Q8BKZ9/Q8BWT1/Q8JZR0/Q8K2C8/Q8QZT1/Q8VHQ9/Q99NB1/Q9CZU6/Q9D023/Q9D051/Q9DBL1/Q9JK42/Q9WUM5/Q9Z2I8/Q9Z2I9",23
"GO:0034032","GO:0034032","purine nucleoside bisphosphate metabolic process","23/271","166/30636",6.80341533064678e-21,1.41397648621942e-18,1.24490564734467e-18,"E9Q4Z2/O70571/P35486/P63030/Q3ULD5/Q60597/Q61586/Q80X68/Q8BKZ9/Q8BWT1/Q8JZR0/Q8K2C8/Q8QZT1/Q8VHQ9/Q99NB1/Q9CZU6/Q9D023/Q9D051/Q9DBL1/Q9JK42/Q9WUM5/Q9Z2I8/Q9Z2I9",23
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport","19/271","100/30636",3.59226139999737e-20,6.89161533199494e-18,6.06757674525871e-18,"P00405/P99028/Q3V384/Q791V5/Q7TMF3/Q8K2B3/Q8K3J1/Q8R1I1/Q91VD9/Q91WD5/Q99LC3/Q9CQ69/Q9CZ13/Q9D0M3/Q9D6J6/Q9DC70/Q9DCJ5/Q9DCT2/Q9Z1P6",19
"GO:0006635","GO:0006635","fatty acid beta-oxidation","19/271","104/30636",7.90534969060598e-20,1.40828158059795e-17,1.2398916883161e-17,"E9Q4Z2/P42125/P45952/P47934/P50544/P51174/P55096/Q07417/Q8BH95/Q8BMS1/Q8BWT1/Q8JZR0/Q8QZT1/Q99JY0/Q99LC5/Q9CQ62/Q9DCW4/Q9JJZ2/Q9WUR2",19
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport","18/271","96/30636",4.59725504092253e-19,7.6437027147072e-17,6.72973615113292e-17,"P99028/Q3V384/Q791V5/Q7TMF3/Q8K2B3/Q8K3J1/Q8R1I1/Q91VD9/Q91WD5/Q99LC3/Q9CQ69/Q9CZ13/Q9D0M3/Q9D6J6/Q9DC70/Q9DCJ5/Q9DCT2/Q9Z1P6",18
"GO:0009062","GO:0009062","fatty acid catabolic process","20/271","143/30636",2.0975356355482e-18,3.26953367191076e-16,2.87859166825891e-16,"E9Q4Z2/P42125/P45952/P47934/P50544/P51174/P55096/Q07417/Q8BH95/Q8BMS1/Q8BWT1/Q8JZR0/Q8QZT1/Q91ZP3/Q99JY0/Q99LC5/Q9CQ62/Q9DCW4/Q9JJZ2/Q9WUR2",20
"GO:0046395","GO:0046395","carboxylic acid catabolic process","27/271","332/30636",3.3230934500256e-18,4.87517356727284e-16,4.29224330449126e-16,"E9Q4Z2/P42125/P45952/P47934/P50247/P50544/P51174/P55096/Q07417/Q3ULD5/Q3URE1/Q7TNG8/Q8BH95/Q8BMS1/Q8BWT1/Q8CHT0/Q8JZR0/Q8QZT1/Q91ZP3/Q99JY0/Q99LC5/Q9CQ62/Q9DBL1/Q9DCW4/Q9EQ20/Q9JJZ2/Q9WUR2",27
"GO:0019646","GO:0019646","aerobic electron transport chain","16/271","74/30636",3.82778159070737e-18,5.30360404845787e-16,4.66944584690969e-16,"P99028/Q3V384/Q8K2B3/Q8K3J1/Q8R1I1/Q91VD9/Q91WD5/Q99LC3/Q9CQ69/Q9CZ13/Q9D0M3/Q9D6J6/Q9DC70/Q9DCJ5/Q9DCT2/Q9Z1P6",16
"GO:0016054","GO:0016054","organic acid catabolic process","27/271","335/30636",4.18070475255674e-18,5.48772508046132e-16,4.83155130960296e-16,"E9Q4Z2/P42125/P45952/P47934/P50247/P50544/P51174/P55096/Q07417/Q3ULD5/Q3URE1/Q7TNG8/Q8BH95/Q8BMS1/Q8BWT1/Q8CHT0/Q8JZR0/Q8QZT1/Q91ZP3/Q99JY0/Q99LC5/Q9CQ62/Q9DBL1/Q9DCW4/Q9EQ20/Q9JJZ2/Q9WUR2",27
"GO:0072329","GO:0072329","monocarboxylic acid catabolic process","21/271","174/30636",6.54204798295901e-18,8.15793383474989e-16,7.18248004865921e-16,"E9Q4Z2/P42125/P45952/P47934/P50544/P51174/P55096/Q07417/Q7TNG8/Q8BH95/Q8BMS1/Q8BWT1/Q8JZR0/Q8QZT1/Q91ZP3/Q99JY0/Q99LC5/Q9CQ62/Q9DCW4/Q9JJZ2/Q9WUR2",21
"GO:0019395","GO:0019395","fatty acid oxidation","20/271","164/30636",3.31974852085883e-17,3.94259657667711e-15,3.47117564637169e-15,"E9Q4Z2/O70571/P42125/P45952/P47934/P50544/P51174/P55096/Q07417/Q8BH95/Q8BMS1/Q8BWT1/Q8JZR0/Q8QZT1/Q99JY0/Q99LC5/Q9CQ62/Q9DCW4/Q9JJZ2/Q9WUR2",20
"GO:0006790","GO:0006790","sulfur compound metabolic process","30/271","483/30636",7.36200693317208e-17,8.34583876878689e-15,7.34791696774974e-15,"E9Q4Z2/O70571/P16332/P35486/P38647/P50247/P63030/Q60597/Q61586/Q68FL4/Q80SW1/Q80X68/Q80Y14/Q8BKZ9/Q8BWT1/Q8JZR0/Q8K2C8/Q8QZT1/Q8VHQ9/Q8WTY4/Q99NB1/Q9CZU6/Q9D023/Q9D051/Q9D924/Q9DBL1/Q9JK42/Q9WUM5/Q9Z2I8/Q9Z2I9",30
"GO:0034440","GO:0034440","lipid oxidation","20/271","174/30636",1.0776149157172e-16,1.16850939121683e-14,1.02878934287693e-14,"E9Q4Z2/O70571/P42125/P45952/P47934/P50544/P51174/P55096/Q07417/Q8BH95/Q8BMS1/Q8BWT1/Q8JZR0/Q8QZT1/Q99JY0/Q99LC5/Q9CQ62/Q9DCW4/Q9JJZ2/Q9WUR2",20
"GO:0006119","GO:0006119","oxidative phosphorylation","20/271","175/30636",1.20714448763271e-16,1.25442431339833e-14,1.1044313163166e-14,"P00405/P56392/P99028/Q3V384/Q791V5/Q7TMF3/Q8K2B3/Q8K3J1/Q8R1I1/Q91VD9/Q91WD5/Q99LC3/Q9CQ69/Q9CZ13/Q9D0M3/Q9D6J6/Q9DC70/Q9DCJ5/Q9DCT2/Q9Z1P6",20
"GO:0007006","GO:0007006","mitochondrial membrane organization","20/271","176/30636",1.3512527724434e-16,1.31265511514497e-14,1.15569939230676e-14,"O08528/P51881/P58281/Q3ULF4/Q5U458/Q60930/Q78IK4/Q791V5/Q80U63/Q8BGH2/Q8BGX2/Q8BK08/Q8BWT1/Q8CAQ8/Q8JZQ2/Q920A7/Q9CRB8/Q9D0L4/Q9D880/Q9Z2I0",20
"GO:0006839","GO:0006839","mitochondrial transport","25/271","318/30636",1.36844558916476e-16,1.31265511514497e-14,1.15569939230676e-14,"O08528/O35857/P12242/P51881/P56501/P58281/P63030/P63038/Q3ULF4/Q5NCE8/Q60930/Q791V5/Q80U63/Q8BGH2/Q8BGX2/Q8BWT1/Q8JZQ2/Q925N0/Q99LP6/Q9D023/Q9D6M3/Q9D880/Q9DB41/Q9Z0X1/Q9Z2I0",25
"GO:0006084","GO:0006084","acetyl-CoA metabolic process","13/271","56/30636",2.04892425663648e-15,1.89259892446347e-13,1.66629863522171e-13,"E9Q4Z2/O70571/P35486/P63030/Q80X68/Q8BKZ9/Q8BWT1/Q8QZT1/Q99NB1/Q9CZU6/Q9D023/Q9D051/Q9JK42",13
"GO:1990542","GO:1990542","mitochondrial transmembrane transport","17/271","131/30636",2.8566754544392e-15,2.54448163691834e-13,2.24023496163916e-13,"O35857/P12242/P51881/P56501/P58281/P63030/P63038/Q5NCE8/Q8JZQ2/Q925N0/Q99LP6/Q9D023/Q9D6M3/Q9D880/Q9DB41/Q9Z0X1/Q9Z2I0",17
"GO:0033108","GO:0033108","mitochondrial respiratory chain complex assembly","16/271","122/30636",1.60601186480248e-14,1.38117020373013e-12,1.2160220508087e-12,"Q7TMF3/Q8BGH2/Q8K0Z7/Q8K3J1/Q91VD9/Q91WD5/Q99LC3/Q9CPP6/Q9CQC7/Q9CXZ1/Q9D8Y1/Q9DC69/Q9DC70/Q9DCJ5/Q9DCT2/Q9Z0X1",16
"GO:0010257","GO:0010257","NADH dehydrogenase complex assembly","13/271","77/30636",1.68933294379805e-13,1.35909560059107e-11,1.19658693404507e-11,"Q7TMF3/Q8K3J1/Q91VD9/Q91WD5/Q99LC3/Q9CPP6/Q9CQC7/Q9CXZ1/Q9D8Y1/Q9DC69/Q9DC70/Q9DCJ5/Q9DCT2",13
"GO:0032981","GO:0032981","mitochondrial respiratory chain complex I assembly","13/271","77/30636",1.68933294379805e-13,1.35909560059107e-11,1.19658693404507e-11,"Q7TMF3/Q8K3J1/Q91VD9/Q91WD5/Q99LC3/Q9CPP6/Q9CQC7/Q9CXZ1/Q9D8Y1/Q9DC69/Q9DC70/Q9DCJ5/Q9DCT2",13
"GO:0035384","GO:0035384","thioester biosynthetic process","11/271","46/30636",2.14814749161374e-13,1.62347874063172e-11,1.42935746969897e-11,"E9Q4Z2/O70571/P35486/P63030/Q8BKZ9/Q8JZR0/Q8QZT1/Q99NB1/Q9D023/Q9D051/Q9JK42",11
"GO:0071616","GO:0071616","acyl-CoA biosynthetic process","11/271","46/30636",2.14814749161374e-13,1.62347874063172e-11,1.42935746969897e-11,"E9Q4Z2/O70571/P35486/P63030/Q8BKZ9/Q8JZR0/Q8QZT1/Q99NB1/Q9D023/Q9D051/Q9JK42",11
"GO:0007007","GO:0007007","inner mitochondrial membrane organization","11/271","50/30636",5.82985255909866e-13,4.15929864702137e-11,3.66196639416139e-11,"P58281/Q5U458/Q78IK4/Q8BGH2/Q8BGX2/Q8BK08/Q8CAQ8/Q8JZQ2/Q920A7/Q9D0L4/Q9Z2I0",11
"GO:0043648","GO:0043648","dicarboxylic acid metabolic process","15/271","128/30636",5.83702697055926e-13,4.15929864702137e-11,3.66196639416139e-11,"E9Q7L0/P70404/P97807/Q3URE1/Q60597/Q80X68/Q8CHT0/Q8K2B3/Q91VA7/Q9CQA3/Q9CZU6/Q9D2G2/Q9D6R2/Q9WUM5/Q9Z2I9",15
"GO:0006090","GO:0006090","pyruvate metabolic process","18/271","220/30636",1.41151890737834e-12,9.77868931944882e-11,8.60943988535442e-11,"O08528/O70571/O88343/P09041/P09411/P13707/P16125/P35486/P52480/P63030/Q60597/Q791V5/Q8BKZ9/Q8BRK8/Q9D023/Q9D051/Q9DBJ1/Q9JK42",18
"GO:0006085","GO:0006085","acetyl-CoA biosynthetic process","9/271","28/30636",1.73131619078125e-12,1.16700069724553e-10,1.02746104522609e-10,"O70571/P35486/P63030/Q8BKZ9/Q8QZT1/Q99NB1/Q9D023/Q9D051/Q9JK42",9
"GO:0030258","GO:0030258","lipid modification","21/271","330/30636",2.42612226504148e-12,1.59230234974038e-10,1.4019088766971e-10,"E9Q4Z2/O70571/P06728/P42125/P45952/P47934/P50544/P51174/P55096/Q07417/Q8BH95/Q8BMS1/Q8BWT1/Q8JZR0/Q8QZT1/Q99JY0/Q99LC5/Q9CQ62/Q9DCW4/Q9JJZ2/Q9WUR2",21
"GO:0044242","GO:0044242","cellular lipid catabolic process","21/271","349/30636",7.01933848337615e-12,4.28940823619115e-10,3.77651862604767e-10,"E9Q4Z2/P06728/P42125/P45952/P47934/P50544/P51174/P55096/Q07417/Q8BH95/Q8BMS1/Q8BWT1/Q8JZR0/Q8QZT1/Q91ZP3/Q99JY0/Q99LC5/Q9CQ62/Q9DCW4/Q9JJZ2/Q9WUR2",21
"GO:0033866","GO:0033866","nucleoside bisphosphate biosynthetic process","11/271","62/30636",7.22354233841333e-12,4.28940823619115e-10,3.77651862604767e-10,"E9Q4Z2/O70571/P35486/P63030/Q8BKZ9/Q8JZR0/Q8QZT1/Q99NB1/Q9D023/Q9D051/Q9JK42",11
"GO:0034030","GO:0034030","ribonucleoside bisphosphate biosynthetic process","11/271","62/30636",7.22354233841333e-12,4.28940823619115e-10,3.77651862604767e-10,"E9Q4Z2/O70571/P35486/P63030/Q8BKZ9/Q8JZR0/Q8QZT1/Q99NB1/Q9D023/Q9D051/Q9JK42",11
"GO:0034033","GO:0034033","purine nucleoside bisphosphate biosynthetic process","11/271","62/30636",7.22354233841333e-12,4.28940823619115e-10,3.77651862604767e-10,"E9Q4Z2/O70571/P35486/P63030/Q8BKZ9/Q8JZR0/Q8QZT1/Q99NB1/Q9D023/Q9D051/Q9JK42",11
