"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098973","GO:0098973","structural constituent of postsynaptic actin cytoskeleton","3/34","13/30629",3.54695012001412e-07,5.28495567882104e-05,3.62162275411968e-05,"P60710/P63260/Q8BFZ3",3
"GO:0099186","GO:0099186","structural constituent of postsynapse","3/34","48/30629",2.08880841142873e-05,0.00155616226651441,0.00106639166267677,"P60710/P63260/Q8BFZ3",3
"GO:0098918","GO:0098918","structural constituent of synapse","3/34","70/30629",6.50147114332828e-05,0.00322906400118638,0.00221278140667664,"P60710/P63260/Q8BFZ3",3
"GO:0005522","GO:0005522","profilin binding","2/34","29/30629",0.000476544559355322,0.0177512848359858,0.0121644269098595,"P63260/P70429",2
"GO:0005200","GO:0005200","structural constituent of cytoskeleton","3/34","157/30629",0.000703553059337615,0.0209658811682609,0.0143672940538418,"P60710/P63260/Q8BFZ3",3
"GO:0051015","GO:0051015","actin filament binding","4/34","453/30629",0.00154109845066321,0.038270611524803,0.0262257104761985,"O89053/Q8BTM8/Q8C5W0/Q9CQI6",4
"GO:0008374","GO:0008374","O-acyltransferase activity","2/34","79/30629",0.00349291272601494,0.0743491423108894,0.0509492532967593,"P97742/Q9DBL9",2
"GO:0051018","GO:0051018","protein kinase A binding","2/34","97/30629",0.00521304590518793,0.085635269679959,0.0586833003105336,"Q70FJ1/Q9WTQ5",2
"GO:0005544","GO:0005544","calcium-dependent phospholipid binding","2/34","100/30629",0.00553071757788515,0.085635269679959,0.0586833003105336,"P10107/Q3U7R1",2
"GO:0015459","GO:0015459","potassium channel regulator activity","2/34","102/30629",0.00574733353556772,0.085635269679959,0.0586833003105336,"Q70FJ1/Q8BTM8",2
"GO:0005080","GO:0005080","protein kinase C binding","2/34","115/30629",0.00724836666217755,0.0981824211513141,0.0672814895915046,"Q8BTM8/Q91VJ2",2
"GO:0000182","GO:0000182","rDNA binding","1/34","10/30629",0.0110469193687434,0.121271417280988,0.0831036911074236,"Q9QZQ8",1
"GO:0032552","GO:0032552","deoxyribonucleotide binding","1/34","11/30629",0.0121450742641177,0.121271417280988,0.0831036911074236,"Q60710",1
"GO:0034987","GO:0034987","immunoglobulin receptor binding","1/34","12/30629",0.0132420455710288,0.121271417280988,0.0831036911074236,"Q8BTM8",1
