"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005884","GO:0005884","actin filament","2/4","262/31010",0.000421925898042398,0.015790957048369,0.00141464340858849,"P10107/P60710",2
"GO:0019897","GO:0019897","extrinsic component of plasma membrane","2/4","331/31010",0.000671955619079533,0.015790957048369,0.00141464340858849,"P10107/P48025",2
"GO:0042629","GO:0042629","mast cell granule","1/4","10/31010",0.00128934500793276,0.0164411984281825,0.00147289571585062,"P10107",1
"GO:0098871","GO:0098871","postsynaptic actin cytoskeleton","1/4","13/31010",0.00167590526775274,0.0164411984281825,0.00147289571585062,"P60710",1
"GO:0031232","GO:0031232","extrinsic component of external side of plasma membrane","1/4","15/31010",0.00193354975786308,0.0164411984281825,0.00147289571585062,"P10107",1
"GO:0001527","GO:0001527","microfibril","1/4","19/31010",0.00244868912760166,0.0164411984281825,0.00147289571585062,"Q61554",1
"GO:0099571","GO:0099571","postsynaptic cytoskeleton","1/4","19/31010",0.00244868912760166,0.0164411984281825,0.00147289571585062,"P60710",1
"GO:0032009","GO:0032009","early phagosome","1/4","25/31010",0.00322102425254223,0.0181569111178019,0.0016265989803182,"P48025",1
"GO:0035267","GO:0035267","NuA4 histone acetyltransferase complex","1/4","35/31010",0.00450725274397867,0.0181569111178019,0.0016265989803182,"P60710",1
"GO:0043189","GO:0043189","H4/H2A histone acetyltransferase complex","1/4","35/31010",0.00450725274397867,0.0181569111178019,0.0016265989803182,"P60710",1
"GO:0044305","GO:0044305","calyx of Held","1/4","35/31010",0.00450725274397867,0.0181569111178019,0.0016265989803182,"P60710",1
"GO:0042101","GO:0042101","T cell receptor complex","1/4","36/31010",0.00463580709390687,0.0181569111178019,0.0016265989803182,"P48025",1
"GO:0001533","GO:0001533","cornified envelope","1/4","47/31010",0.00604908334167698,0.0218697628506783,0.00195921727665651,"P10107",1
"GO:1902562","GO:1902562","H4 histone acetyltransferase complex","1/4","53/31010",0.00681932666714169,0.02217138812512,0.0019862385778383,"P60710",1
"GO:0002102","GO:0002102","podosome","1/4","55/31010",0.00707597493354895,0.02217138812512,0.0019862385778383,"P60710",1
"GO:0016328","GO:0016328","lateral plasma membrane","1/4","123/31010",0.0157724605633371,0.0409998628507644,0.00367300003142346,"P10107",1
"GO:0000123","GO:0000123","histone acetyltransferase complex","1/4","133/31010",0.0170465207394451,0.0409998628507644,0.00367300003142346,"P60710",1
"GO:0031248","GO:0031248","protein acetyltransferase complex","1/4","149/31010",0.0190824437041835,0.0409998628507644,0.00367300003142346,"P60710",1
"GO:1902493","GO:1902493","acetyltransferase complex","1/4","149/31010",0.0190824437041835,0.0409998628507644,0.00367300003142346,"P60710",1
"GO:0098685","GO:0098685","Schaffer collateral - CA1 synapse","1/4","163/31010",0.0208612804814012,0.0409998628507644,0.00367300003142346,"P60710",1
"GO:0070062","GO:0070062","extracellular exosome","1/4","168/31010",0.0214959926252127,0.0409998628507644,0.00367300003142346,"P10107",1
"GO:0001725","GO:0001725","stress fiber","1/4","175/31010",0.0223840711470932,0.0409998628507644,0.00367300003142346,"P60710",1
"GO:0097517","GO:0097517","contractile actin filament bundle","1/4","175/31010",0.0223840711470932,0.0409998628507644,0.00367300003142346,"P60710",1
"GO:1903561","GO:1903561","extracellular vesicle","1/4","181/31010",0.0231448000508124,0.0409998628507644,0.00367300003142346,"P10107",1
"GO:0032432","GO:0032432","actin filament bundle","1/4","192/31010",0.0245383165213092,0.0409998628507644,0.00367300003142346,"P60710",1
"GO:0043230","GO:0043230","extracellular organelle","1/4","195/31010",0.0249181075754117,0.0409998628507644,0.00367300003142346,"P10107",1
"GO:0065010","GO:0065010","extracellular membrane-bounded organelle","1/4","195/31010",0.0249181075754117,0.0409998628507644,0.00367300003142346,"P10107",1
"GO:0031234","GO:0031234","extrinsic component of cytoplasmic side of plasma membrane","1/4","196/31010",0.0250446799450271,0.0409998628507644,0.00367300003142346,"P48025",1
"GO:0042641","GO:0042641","actomyosin","1/4","198/31010",0.0252977877164291,0.0409998628507644,0.00367300003142346,"P60710",1
"GO:0045335","GO:0045335","phagocytic vesicle","1/4","214/31010",0.0273208761612183,0.0421880426723653,0.00377944391241794,"P48025",1
"GO:0005604","GO:0005604","basement membrane","1/4","218/31010",0.0278261558051771,0.0421880426723653,0.00377944391241794,"Q61554",1
"GO:0030863","GO:0030863","cortical cytoskeleton","1/4","266/31010",0.0338741691607737,0.0485629042638735,0.00435054013562136,"P60710",1
"GO:0070160","GO:0070160","tight junction","1/4","270/31010",0.0343768932932288,0.0485629042638735,0.00435054013562136,"P60710",1
"GO:0005912","GO:0005912","adherens junction","1/4","276/31010",0.0351306115951425,0.0485629042638735,0.00435054013562136,"P60710",1
