"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045333","GO:0045333","cellular respiration","13/88","320/30636",8.21800720149792e-12,1.08231154843728e-08,9.351227141915e-09,"Q91VA7/Q9DC70/Q60597/P99028/Q9Z2I8/Q9D6J6/Q8K3J1/Q3V384/Q9DCT2/Q9CQA3/Q80U63/Q9D6M3/Q91VD9",13
"GO:0009060","GO:0009060","aerobic respiration","11/88","239/30636",9.76262102085912e-11,6.42868594223573e-08,5.55441753870985e-08,"Q91VA7/Q9DC70/Q60597/P99028/Q9Z2I8/Q9D6J6/Q8K3J1/Q3V384/Q9DCT2/Q9CQA3/Q91VD9",11
"GO:0022904","GO:0022904","respiratory electron transport chain","9/88","134/30636",1.90469736123321e-10,8.3616214158138e-08,7.22448367541439e-08,"Q9DC70/P99028/Q9D6J6/Q8K3J1/Q3V384/Q9DCT2/Q9CQA3/Q9D6M3/Q91VD9",9
"GO:0022900","GO:0022900","electron transport chain","9/88","146/30636",4.10142281837281e-10,1.35039346294925e-07,1.16674685964763e-07,"Q9DC70/P99028/Q9D6J6/Q8K3J1/Q3V384/Q9DCT2/Q9CQA3/Q9D6M3/Q91VD9",9
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds","13/88","486/30636",1.39877623970287e-09,3.68437661537737e-07,3.18332024235538e-07,"Q91VA7/Q9DC70/Q60597/P99028/Q9Z2I8/Q9D6J6/Q8K3J1/Q3V384/Q9DCT2/Q9CQA3/Q80U63/Q9D6M3/Q91VD9",13
"GO:0019646","GO:0019646","aerobic electron transport chain","7/88","74/30636",1.94779547810188e-09,4.27541107443364e-07,3.69397703829498e-07,"Q9DC70/P99028/Q9D6J6/Q8K3J1/Q3V384/Q9DCT2/Q91VD9",7
"GO:0032543","GO:0032543","mitochondrial translation","7/88","93/30636",9.8126137245108e-09,1.84617318216867e-06,1.59510307311221e-06,"Q8BFR5/Q14C51/Q6PB66/Q8K0Z7/Q8BJZ4/Q8BYL4/Q9CZD3",7
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport","7/88","96/30636",1.22602516836337e-08,2.01834393341819e-06,1.74385948289579e-06,"Q9DC70/P99028/Q9D6J6/Q8K3J1/Q3V384/Q9DCT2/Q91VD9",7
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport","7/88","100/30636",1.63138479120789e-08,2.38725974446755e-06,2.06260463075524e-06,"Q9DC70/P99028/Q9D6J6/Q8K3J1/Q3V384/Q9DCT2/Q91VD9",7
"GO:0046034","GO:0046034","ATP metabolic process","11/88","438/30636",5.36543113021272e-08,7.06627279849015e-06,6.10529584395784e-06,"O88343/Q9DC70/Q60597/P99028/Q9D6J6/Q8K3J1/Q3V384/Q9DCT2/Q91VD9/O08739/P17710",11
"GO:0006120","GO:0006120","mitochondrial electron transport, NADH to ubiquinone","5/88","42/30636",1.36344892488176e-07,1.63242021279025e-05,1.41041941415998e-05,"Q9DC70/Q9D6J6/Q8K3J1/Q9DCT2/Q91VD9",5
"GO:0140053","GO:0140053","mitochondrial gene expression","7/88","142/30636",1.83812668482138e-07,1.95348514428979e-05,1.68782115731708e-05,"Q8BFR5/Q14C51/Q6PB66/Q8K0Z7/Q8BJZ4/Q8BYL4/Q9CZD3",7
"GO:0072655","GO:0072655","establishment of protein localization to mitochondrion","7/88","143/30636",1.9282693147887e-07,1.95348514428979e-05,1.68782115731708e-05,"P10637/O35857/Q9Z0X1/Q80U63/Q9D880/Q8BGX2/P17710",7
