"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098798","GO:0098798","mitochondrial protein-containing complex","16/93","345/31010",6.82964365266163e-15,1.03810583520457e-12,7.40477153920156e-13,"Q9DC70/P99028/Q9D6J6/Q78IK4/Q8K3J1/Q9DCT2/Q9CQA3/Q91VD9/Q9D880/O35129/Q61733/Q8BJZ4/Q9D7N3/Q99MR8/D3YTP3/Q8BGX2",16
"GO:0098800","GO:0098800","inner mitochondrial membrane protein complex","11/93","177/31010",6.22470222958039e-12,4.7307736944811e-10,3.37444384024621e-10,"Q9DC70/P99028/Q9D6J6/Q78IK4/Q8K3J1/Q9DCT2/Q9CQA3/Q91VD9/Q9D880/O35129/Q8BGX2",11
"GO:1990204","GO:1990204","oxidoreductase complex","10/93","150/31010",2.96833934736949e-11,1.50395860266721e-09,1.07276825536512e-09,"Q9DC70/Q60597/P99028/Q9D6J6/Q91VT4/Q8K3J1/Q9DCT2/Q9CQA3/Q8BKZ9/Q91VD9",10
"GO:0005759","GO:0005759","mitochondrial matrix","13/93","394/31010",1.91438981917532e-10,7.27468131286621e-09,5.18900398355415e-09,"Q8VHQ9/Q8BFR5/O35857/Q91VT4/Q91ZA3/Q99MN9/Q6PB66/P53395/Q61733/Q8BJZ4/Q9D7N3/Q99MR8/P38647",13
"GO:0005746","GO:0005746","mitochondrial respirasome","7/93","105/31010",3.10841614420983e-08,9.44958507839788e-07,6.74035500744447e-07,"Q9DC70/P99028/Q9D6J6/Q8K3J1/Q9DCT2/Q9CQA3/Q91VD9",7
"GO:0005741","GO:0005741","mitochondrial outer membrane","10/93","319/31010",4.38089127458306e-08,1.10982578956104e-06,7.91634739091324e-07,"Q924L1/Q8JZR0/Q9Z0X1/O08715/Q80U63/Q64516/O35129/Q91ZP3/D3YTP3/P17710",10
"GO:0098803","GO:0098803","respiratory chain complex","7/93","113/31010",5.17291097530933e-08,1.12326066892431e-06,8.01217790160693e-07,"Q9DC70/P99028/Q9D6J6/Q8K3J1/Q9DCT2/Q9CQA3/Q91VD9",7
"GO:0019867","GO:0019867","outer membrane","10/93","343/31010",8.61991831356312e-08,1.45580842629066e-06,1.03842290794971e-06,"Q924L1/Q8JZR0/Q9Z0X1/O08715/Q80U63/Q64516/O35129/Q91ZP3/D3YTP3/P17710",10
"GO:0031968","GO:0031968","organelle outer membrane","10/93","343/31010",8.61991831356312e-08,1.45580842629066e-06,1.03842290794971e-06,"Q924L1/Q8JZR0/Q9Z0X1/O08715/Q80U63/Q64516/O35129/Q91ZP3/D3YTP3/P17710",10
"GO:0070469","GO:0070469","respirasome","7/93","128/31010",1.22083997628208e-07,1.85567676394876e-06,1.32364755323215e-06,"Q9DC70/P99028/Q9D6J6/Q8K3J1/Q9DCT2/Q9CQA3/Q91VD9",7
"GO:0005747","GO:0005747","mitochondrial respiratory chain complex I","5/93","66/31010",1.68309244618736e-06,1.96792347554214e-05,1.40371272839917e-05,"Q9DC70/Q9D6J6/Q8K3J1/Q9DCT2/Q91VD9",5
"GO:0030964","GO:0030964","NADH dehydrogenase complex","5/93","66/31010",1.68309244618736e-06,1.96792347554214e-05,1.40371272839917e-05,"Q9DC70/Q9D6J6/Q8K3J1/Q9DCT2/Q91VD9",5
"GO:0045271","GO:0045271","respiratory chain complex I","5/93","66/31010",1.68309244618736e-06,1.96792347554214e-05,1.40371272839917e-05,"Q9DC70/Q9D6J6/Q8K3J1/Q9DCT2/Q91VD9",5
"GO:0043209","GO:0043209","myelin sheath","8/93","372/31010",1.66816157602615e-05,0.000181114685397125,0.000129188452880221,"Q8BFR5/Q9D6J6/Q8VEM8/Q9DCT2/Q9Z329/Q91VD9/Q811D0/P38647",8
