"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006120","GO:0006120","mitochondrial electron transport, NADH to ubiquinone","2/16","42/30636",0.000217506556589425,0.0387266177774905,0.0219207270438626,"Q8K3J1/Q9D6J6",2
"GO:0009060","GO:0009060","aerobic respiration","3/16","239/30636",0.000243563633820695,0.0387266177774905,0.0219207270438626,"Q9D2G2/Q8K3J1/Q9D6J6",3
"GO:0045333","GO:0045333","cellular respiration","3/16","320/30636",0.00057153761685563,0.0535449834711368,0.0303084812100774,"Q9D2G2/Q8K3J1/Q9D6J6",3
"GO:0019646","GO:0019646","aerobic electron transport chain","2/16","74/30636",0.000675712910402412,0.0535449834711368,0.0303084812100774,"Q8K3J1/Q9D6J6",2
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport","2/16","96/30636",0.0011331681820371,0.0535449834711368,0.0303084812100774,"Q8K3J1/Q9D6J6",2
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport","2/16","100/30636",0.00122858746145016,0.0535449834711368,0.0303084812100774,"Q8K3J1/Q9D6J6",2
"GO:0032387","GO:0032387","negative regulation of intracellular transport","2/16","115/30636",0.00161953899401008,0.0535449834711368,0.0303084812100774,"P10637/O08715",2
"GO:0006790","GO:0006790","sulfur compound metabolic process","3/16","483/30636",0.00187172829563998,0.0535449834711368,0.0303084812100774,"Q8VHQ9/Q8WTY4/P63030",3
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds","3/16","486/30636",0.00190507177426427,0.0535449834711368,0.0303084812100774,"Q9D2G2/Q8K3J1/Q9D6J6",3
"GO:1990542","GO:1990542","mitochondrial transmembrane transport","2/16","131/30636",0.00209357981065716,0.0535449834711368,0.0303084812100774,"O35857/P63030",2
"GO:0006637","GO:0006637","acyl-CoA metabolic process","2/16","134/30636",0.00218894586517226,0.0535449834711368,0.0303084812100774,"Q8VHQ9/P63030",2
"GO:0022904","GO:0022904","respiratory electron transport chain","2/16","134/30636",0.00218894586517226,0.0535449834711368,0.0303084812100774,"Q8K3J1/Q9D6J6",2
"GO:0035383","GO:0035383","thioester metabolic process","2/16","134/30636",0.00218894586517226,0.0535449834711368,0.0303084812100774,"Q8VHQ9/P63030",2
"GO:0072655","GO:0072655","establishment of protein localization to mitochondrion","2/16","143/30636",0.00248721994125111,0.0549225009202741,0.0310882080680797,"P10637/O35857",2
"GO:0022900","GO:0022900","electron transport chain","2/16","146/30636",0.00259068400567331,0.0549225009202741,0.0310882080680797,"Q8K3J1/Q9D6J6",2
"GO:0070585","GO:0070585","protein localization to mitochondrion","2/16","156/30636",0.00295004922103317,0.0557593995252668,0.031561924259585,"P10637/O35857",2
"GO:0033865","GO:0033865","nucleoside bisphosphate metabolic process","2/16","166/30636",0.00333153644962286,0.0557593995252668,0.031561924259585,"Q8VHQ9/P63030",2
"GO:0033875","GO:0033875","ribonucleoside bisphosphate metabolic process","2/16","166/30636",0.00333153644962286,0.0557593995252668,0.031561924259585,"Q8VHQ9/P63030",2
"GO:0034032","GO:0034032","purine nucleoside bisphosphate metabolic process","2/16","166/30636",0.00333153644962286,0.0557593995252668,0.031561924259585,"Q8VHQ9/P63030",2
"GO:0006119","GO:0006119","oxidative phosphorylation","2/16","175/30636",0.00369361489017382,0.0587284767537638,0.0332425340115644,"Q8K3J1/Q9D6J6",2
"GO:0061732","GO:0061732","mitochondrial acetyl-CoA biosynthetic process from pyruvate","1/16","11/30636",0.00573083008660624,0.0794763911363983,0.0449866364923009,"P63030",1
"GO:1902474","GO:1902474","positive regulation of protein localization to synapse","1/16","11/30636",0.00573083008660624,0.0794763911363983,0.0449866364923009,"P10637",1
"GO:1903828","GO:1903828","negative regulation of cellular protein localization","2/16","235/30636",0.00654983828029447,0.0794763911363983,0.0449866364923009,"P10637/O08715",2
