"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005759","GO:0005759","mitochondrial matrix","6/18","394/31010",6.60836657420483e-08,4.03110361026494e-06,2.22597610920584e-06,"Q99LC5/Q8VHQ9/Q91ZA3/Q99MN9/P53395/O35857",6
"GO:1990204","GO:1990204","oxidoreductase complex","4/18","150/31010",1.52660768247185e-06,4.65615343153915e-05,2.57112872837365e-05,"Q99LC5/Q9D2G2/Q8K3J1/Q9D6J6",4
"GO:0005747","GO:0005747","mitochondrial respiratory chain complex I","2/18","66/31010",0.0006677315780715,0.0081463252524723,0.0044984022101659,"Q8K3J1/Q9D6J6",2
"GO:0030964","GO:0030964","NADH dehydrogenase complex","2/18","66/31010",0.0006677315780715,0.0081463252524723,0.0044984022101659,"Q8K3J1/Q9D6J6",2
"GO:0045271","GO:0045271","respiratory chain complex I","2/18","66/31010",0.0006677315780715,0.0081463252524723,0.0044984022101659,"Q8K3J1/Q9D6J6",2
"GO:0098798","GO:0098798","mitochondrial protein-containing complex","3/18","345/31010",0.000983985184345718,0.0100038493741815,0.0055241273507128,"Q99LC5/Q8K3J1/Q9D6J6",3
"GO:0005746","GO:0005746","mitochondrial respirasome","2/18","105/31010",0.00167706175912086,0.0132577665632231,0.00732094098400585,"Q8K3J1/Q9D6J6",2
"GO:0098803","GO:0098803","respiratory chain complex","2/18","113/31010",0.00193833997448459,0.0132577665632231,0.00732094098400585,"Q8K3J1/Q9D6J6",2
"GO:0030426","GO:0030426","growth cone","3/18","443/31010",0.00201433409566645,0.0132577665632231,0.00732094098400585,"P10637/Q9ER39/P70302",3
"GO:0030427","GO:0030427","site of polarized growth","3/18","455/31010",0.00217340435462674,0.0132577665632231,0.00732094098400585,"P10637/Q9ER39/P70302",3
"GO:0070469","GO:0070469","respirasome","2/18","128/31010",0.00247691404065946,0.0137356142254752,0.00758480854556008,"Q8K3J1/Q9D6J6",2
"GO:0098800","GO:0098800","inner mitochondrial membrane protein complex","2/18","177/31010",0.00466748305775379,0.0237263722102484,0.0131017068287826,"Q8K3J1/Q9D6J6",2
"GO:0045252","GO:0045252","oxoglutarate dehydrogenase complex","1/18","10/31010",0.00579027880956584,0.027169769798732,0.0150031515713447,"Q9D2G2",1
"GO:0097418","GO:0097418","neurofibrillary tangle","1/18","13/31010",0.00752117841033884,0.0327708487879049,0.0180960683557025,"P10637",1
"GO:0045240","GO:0045240","dihydrolipoyl dehydrogenase complex","1/18","14/31010",0.00809751221001687,0.0329298829874019,0.0181838870681081,"Q9D2G2",1
"GO:0042406","GO:0042406","extrinsic component of endoplasmic reticulum membrane","1/18","15/31010",0.0086735299148889,0.0330678328005139,0.0182600629787135,"Q9ER39",1
