"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1902905","GO:1902905","positive regulation of supramolecular fiber organization","5/20","389/30636",4.26270302019123e-06,0.00194841179945734,0.00108624907338167,"P70460/Q70FJ1/Q8BTM8/P49817/P70429",5
"GO:0051495","GO:0051495","positive regulation of cytoskeleton organization","5/20","435/30636",7.3344093330626e-06,0.00194841179945734,0.00108624907338167,"P70460/Q70FJ1/Q8BTM8/P49817/P70429",5
"GO:0060306","GO:0060306","regulation of membrane repolarization","3/20","61/30636",8.35792534744835e-06,0.00194841179945734,0.00108624907338167,"Q70FJ1/Q8BTM8/P49817",3
"GO:0031334","GO:0031334","positive regulation of protein-containing complex assembly","5/20","454/30636",9.02042499748768e-06,0.00194841179945734,0.00108624907338167,"P70460/Q70FJ1/P49817/P70429/P48025",5
"GO:0032271","GO:0032271","regulation of protein polymerization","5/20","454/30636",9.02042499748768e-06,0.00194841179945734,0.00108624907338167,"P70460/Q70FJ1/P49817/Q9CQI6/P70429",5
"GO:0032273","GO:0032273","positive regulation of protein polymerization","4/20","246/30636",1.77652289965313e-05,0.00280227498672161,0.00156228196140815,"P70460/Q70FJ1/P49817/P70429",4
"GO:0098903","GO:0098903","regulation of membrane repolarization during action potential","2/20","10/30636",1.81628934324549e-05,0.00280227498672161,0.00156228196140815,"Q8BTM8/P49817",2
"GO:0086009","GO:0086009","membrane repolarization","3/20","87/30636",2.43501620113401e-05,0.00328727187153091,0.00183267008822191,"Q70FJ1/Q8BTM8/P49817",3
"GO:0030048","GO:0030048","actin filament-based movement","4/20","288/30636",3.29091220423703e-05,0.00394909464508443,0.00220163950973518,"Q70FJ1/Q8BTM8/P49817/P70429",4
"GO:0051657","GO:0051657","maintenance of organelle location","2/20","17/30636",5.47419999650154e-05,0.00591213599622167,0.00329604462947251,"Q70FJ1/P07724",2
"GO:1900084","GO:1900084","regulation of peptidyl-tyrosine autophosphorylation","2/20","21/30636",8.43957736989174e-05,0.00826193695812312,0.00460607011700431,"P49817/P48025",2
"GO:0007193","GO:0007193","adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway","3/20","139/30636",9.84645985896644e-05,0.00826193695812312,0.00460607011700431,"Q8BTM8/Q9Z0P4/Q9WTQ5",3
