"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005884","GO:0005884","actin filament","3/20","262/31010",0.000611092422038488,0.0330735480798482,0.018593980379819,"Q8BTM8/P10107/Q9CQI6",3
"GO:0005925","GO:0005925","focal adhesion","3/20","331/31010",0.00120064153627395,0.0330735480798482,0.018593980379819,"P70460/P49817/P70429",3
"GO:0019897","GO:0019897","extrinsic component of plasma membrane","3/20","331/31010",0.00120064153627395,0.0330735480798482,0.018593980379819,"Q3U7R1/P10107/P48025",3
"GO:0030055","GO:0030055","cell-substrate junction","3/20","358/31010",0.00150334309453856,0.0330735480798482,0.018593980379819,"P70460/P49817/P70429",3
"GO:0070062","GO:0070062","extracellular exosome","2/20","168/31010",0.0051992592688351,0.052980999519377,0.0297859686293148,"P07724/P10107",2
"GO:1903561","GO:1903561","extracellular vesicle","2/20","181/31010",0.00600745912786705,0.052980999519377,0.0297859686293148,"P07724/P10107",2
"GO:0042629","GO:0042629","mast cell granule","1/20","10/31010",0.00643177684680929,0.052980999519377,0.0297859686293148,"P10107",1
"GO:0043230","GO:0043230","extracellular organelle","2/20","195/31010",0.00693798795848253,0.052980999519377,0.0297859686293148,"P07724/P10107",2
"GO:0065010","GO:0065010","extracellular membrane-bounded organelle","2/20","195/31010",0.00693798795848253,0.052980999519377,0.0297859686293148,"P07724/P10107",2
"GO:0031234","GO:0031234","extrinsic component of cytoplasmic side of plasma membrane","2/20","196/31010",0.00700681403227152,0.052980999519377,0.0297859686293148,"Q3U7R1/P48025",2
"GO:0030175","GO:0030175","filopodium","2/20","207/31010",0.00778444307568601,0.052980999519377,0.0297859686293148,"P70460/Q9Z0P4",2
"GO:0045335","GO:0045335","phagocytic vesicle","2/20","214/31010",0.00829875167892525,0.052980999519377,0.0297859686293148,"P70429/P48025",2
"GO:0044307","GO:0044307","dendritic branch","1/20","13/31010",0.00835363367303077,0.052980999519377,0.0297859686293148,"Q70FJ1",1
"GO:0005901","GO:0005901","caveola","2/20","220/31010",0.0087515100682433,0.052980999519377,0.0297859686293148,"P49817/Q91VJ2",2
"GO:0002095","GO:0002095","caveolar macromolecular signaling complex","1/20","15/31010",0.00963290900352309,0.052980999519377,0.0297859686293148,"P49817",1
"GO:0031232","GO:0031232","extrinsic component of external side of plasma membrane","1/20","15/31010",0.00963290900352309,0.052980999519377,0.0297859686293148,"P10107",1
"GO:0030863","GO:0030863","cortical cytoskeleton","2/20","266/31010",0.0125793390627056,0.056392149053373,0.0317037201615853,"Q8BTM8/Q9CQI6",2
"GO:0044853","GO:0044853","plasma membrane raft","2/20","282/31010",0.0140544734733075,0.056392149053373,0.0317037201615853,"P49817/Q91VJ2",2
"GO:0034992","GO:0034992","microtubule organizing center attachment site","1/20","22/31010",0.0140980372633432,0.056392149053373,0.0317037201615853,"Q8C5W0",1
"GO:0034993","GO:0034993","meiotic nuclear membrane microtubule tethering complex","1/20","22/31010",0.0140980372633432,0.056392149053373,0.0317037201615853,"Q8C5W0",1
"GO:0106083","GO:0106083","nuclear membrane protein complex","1/20","22/31010",0.0140980372633432,0.056392149053373,0.0317037201615853,"Q8C5W0",1
"GO:0106094","GO:0106094","nuclear membrane microtubule tethering complex","1/20","22/31010",0.0140980372633432,0.056392149053373,0.0317037201615853,"Q8C5W0",1
"GO:0005640","GO:0005640","nuclear outer membrane","1/20","24/31010",0.0153702712955324,0.0586879454195638,0.0329944190755921,"Q8C5W0",1
"GO:0032009","GO:0032009","early phagosome","1/20","25/31010",0.0160058032962447,0.0586879454195638,0.0329944190755921,"P48025",1
"GO:0032591","GO:0032591","dendritic spine membrane","1/20","27/31010",0.0172756983995243,0.0608104583663254,0.0341876978853743,"Q9Z0P4",1
"GO:0009898","GO:0009898","cytoplasmic side of plasma membrane","2/20","337/31010",0.0196632340615423,0.066244150213752,0.0372425246417027,"Q3U7R1/P48025",2
"GO:0031527","GO:0031527","filopodium membrane","1/20","34/31010",0.021708081576291,0.066244150213752,0.0372425246417027,"Q9Z0P4",1
"GO:0098562","GO:0098562","cytoplasmic side of membrane","2/20","360/31010",0.0222459332711293,0.066244150213752,0.0372425246417027,"Q3U7R1/P48025",2
"GO:0042101","GO:0042101","T cell receptor complex","1/20","36/31010",0.0229709843104322,0.066244150213752,0.0372425246417027,"P48025",1
"GO:0030027","GO:0030027","lamellipodium","2/20","370/31010",0.0234108076706462,0.066244150213752,0.0372425246417027,"P70460/P70429",2
"GO:0043209","GO:0043209","myelin sheath","2/20","372/31010",0.0236467868357068,0.066244150213752,0.0372425246417027,"Q61753/P07724",2
"GO:0031514","GO:0031514","motile cilium","2/20","382/31010",0.024841556330157,0.066244150213752,0.0372425246417027,"Q70FJ1/P10107",2
"GO:0042383","GO:0042383","sarcolemma","2/20","382/31010",0.024841556330157,0.066244150213752,0.0372425246417027,"P49817/P10107",2
"GO:0030139","GO:0030139","endocytic vesicle","2/20","410/31010",0.028316434468825,0.0719569430055079,0.0404542622160152,"P70429/P48025",2
"GO:0002080","GO:0002080","acrosomal membrane","1/20","45/31010",0.0286349049608515,0.0719569430055079,0.0404542622160152,"P49817",1
"GO:0001533","GO:0001533","cornified envelope","1/20","47/31010",0.0298893109967615,0.0719569430055079,0.0404542622160152,"P10107",1
"GO:0098858","GO:0098858","actin-based cell projection","2/20","425/31010",0.0302546237636795,0.0719569430055079,0.0404542622160152,"P70460/Q9Z0P4",2
"GO:0016327","GO:0016327","apicolateral plasma membrane","1/20","50/31010",0.0317680349395195,0.0735680809125715,0.0413600454891251,"Q9Z0P4",1
"GO:0000242","GO:0000242","pericentriolar material","1/20","53/31010",0.0336433021136091,0.0759130919486564,0.0426784129376418,"Q70FJ1",1
"GO:0016323","GO:0016323","basolateral plasma membrane","2/20","461/31010",0.0351166735748759,0.077256681864727,0.0434337804741886,"P49817/Q9Z0P4",2
"GO:0097440","GO:0097440","apical dendrite","1/20","75/31010",0.0472902092666467,0.101500936962559,0.0570639238904338,"Q8BTM8",1
"GO:0005778","GO:0005778","peroxisomal membrane","1/20","87/31010",0.0546566042467508,0.111855376132885,0.0628851995005456,"P49817",1
"GO:0031903","GO:0031903","microbody membrane","1/20","87/31010",0.0546566042467508,0.111855376132885,0.0628851995005456,"P49817",1
"GO:0032590","GO:0032590","dendrite membrane","1/20","91/31010",0.0571000216008787,0.114200043201757,0.064203373570366,"Q9Z0P4",1
"GO:0044295","GO:0044295","axonal growth cone","1/20","102/31010",0.0637885213654897,0.124741997336958,0.07013007027317,"Q8BTM8",1
"GO:0016328","GO:0016328","lateral plasma membrane","1/20","123/31010",0.0764325123700458,0.144227398306873,0.0810847813447729,"P10107",1
"GO:0005801","GO:0005801","cis-Golgi network","1/20","124/31010",0.0770305422775343,0.144227398306873,0.0810847813447729,"Q70FJ1",1
"GO:0005795","GO:0005795","Golgi stack","1/20","136/31010",0.0841782671914391,0.154326823184305,0.0867626876753867,"Q70FJ1",1
"GO:0043198","GO:0043198","dendritic shaft","1/20","146/31010",0.0900945034188816,0.161802373486971,0.0909654492091823,"Q8BTM8",1
