"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015459","GO:0015459","potassium channel regulator activity","3/20","102/30629",3.92255369846531e-05,0.00337339618068017,0.00181676171297341,"Q70FJ1/Q8BTM8/P49817",3
"GO:0005522","GO:0005522","profilin binding","2/20","29/30629",0.000162728785819476,0.00699733779023747,0.00376845609266155,"P70460/P70429",2
"GO:0099106","GO:0099106","ion channel regulator activity","3/20","263/30629",0.000640384234275287,0.0165088258253836,0.00889092210914171,"Q70FJ1/Q8BTM8/P49817",3
"GO:0016247","GO:0016247","channel regulator activity","3/20","280/30629",0.000767852363971329,0.0165088258253836,0.00889092210914171,"Q70FJ1/Q8BTM8/P49817",3
"GO:0044325","GO:0044325","transmembrane transporter binding","3/20","314/30629",0.00106894404323264,0.0183858375436014,0.00990179745310237,"Q70FJ1/Q8BTM8/P49817",3
"GO:0051018","GO:0051018","protein kinase A binding","2/20","97/30629",0.00181716948883601,0.0237071152793306,0.0127676018640214,"Q70FJ1/Q9WTQ5",2
"GO:0005544","GO:0005544","calcium-dependent phospholipid binding","2/20","100/30629",0.00192964891808505,0.0237071152793306,0.0127676018640214,"Q3U7R1/P10107",2
"GO:0005080","GO:0005080","protein kinase C binding","2/20","115/30629",0.00254038514292574,0.0261291902267199,0.0140720241123094,"Q8BTM8/Q91VJ2",2
"GO:0061134","GO:0061134","peptidase regulator activity","3/20","438/30629",0.00276290329444789,0.0261291902267199,0.0140720241123094,"P22599/P07759/P49817",3
"GO:0051015","GO:0051015","actin filament binding","3/20","453/30629",0.00303827793333952,0.0261291902267199,0.0140720241123094,"Q8BTM8/Q8C5W0/Q9CQI6",3
"GO:0004867","GO:0004867","serine-type endopeptidase inhibitor activity","2/20","187/30629",0.00655304508687218,0.0512328979519098,0.0275917687868302,"P22599/P07759",2
"GO:0034987","GO:0034987","immunoglobulin receptor binding","1/20","12/30629",0.00780902881670675,0.0519511231029708,0.0279785730297517,"Q8BTM8",1
"GO:0004859","GO:0004859","phospholipase inhibitor activity","1/20","13/30629",0.00845715957490223,0.0519511231029708,0.0279785730297517,"P10107",1
"GO:1903136","GO:1903136","cuprous ion binding","1/20","13/30629",0.00845715957490223,0.0519511231029708,0.0279785730297517,"Q9Z0F7",1
"GO:0008429","GO:0008429","phosphatidylethanolamine binding","1/20","14/30629",0.00910488810927956,0.0522013584932028,0.0281133387233895,"Q3U7R1",1
"GO:0140678","GO:0140678","molecular function inhibitor activity","2/20","236/30629",0.0102511639902747,0.0526074113474101,0.0283320207990948,"P49817/P10107",2
"GO:0005527","GO:0005527","macrolide binding","1/20","16/30629",0.010399139452395,0.0526074113474101,0.0283320207990948,"P07724",1
"GO:0019870","GO:0019870","potassium channel inhibitor activity","1/20","18/30629",0.0116917847363684,0.0532720957770439,0.0286899903817617,"P49817",1
"GO:0017124","GO:0017124","SH3 domain binding","2/20","263/30629",0.0126032947602608,0.0532720957770439,0.0286899903817617,"P70460/P70429",2
"GO:0031628","GO:0031628","opioid receptor binding","1/20","21/30629",0.0136277454313368,0.0532720957770439,0.0286899903817617,"Q8BTM8",1
"GO:0055102","GO:0055102","lipase inhibitor activity","1/20","21/30629",0.0136277454313368,0.0532720957770439,0.0286899903817617,"P10107",1
"GO:1990814","GO:1990814","DNA/DNA annealing activity","1/20","21/30629",0.0136277454313368,0.0532720957770439,0.0286899903817617,"P10107",1
"GO:0004866","GO:0004866","endopeptidase inhibitor activity","2/20","336/30629",0.0200116079049003,0.0680518518626891,0.0366497121414727,"P22599/P07759",2
"GO:0015643","GO:0015643","toxic substance binding","1/20","31/30629",0.0200549615966154,0.0680518518626891,0.0366497121414727,"P07724",1
