"","UNIPROT","SYMBOL","X.1","NegControl.1","NegControl.2","INT.1","INT.2","INT.3","INT.4","POS.1","POS.2","POS.3","POS.4","pvalue","imputed_log2FC","imputed_Pvalue","imputed_adjPvalue","X","log10pvalue","diffexpressed","unpacked"
"1","A0A087WNW4",NA,1434,11.89882809,14.81783308,14.72408746,15.14322376,15.15371035,15.07656511,12.78847365,14.50295608,14.07288625,13.47712581,0.085714006,-1.31403622,0.085714006,0.295288601,NA,10.6694820688058,"NS_INT","A0A087WNW4"
"2","A0A087WQ54",NA,1361,8.745844,11.58515034,16.45693189,16.78455817,16.15406651,16.02743089,14.59420795,15.90717234,15.68904248,14.87060553,0.022692882,-1.090489788,0.022692882,0.156734736,NA,16.441103451369,"INT","A0A087WQ54"
"3","A0A0A6YVU8",NA,445,12.44237335,11.55923367,13.74199358,14.25532369,13.7497647,13.84607799,13.10227101,14.62719187,13.8957646,13.69837911,0.854386334,-0.067388342,0.854386334,0.919847902,NA,0.683457068462485,"NS","A0A0A6YVU8"
"4","A0A0A6YW05",NA,451,14.72312762,14.98535277,16.67065625,17.76946338,16.55857019,17.21095666,15.86043231,17.73165049,17.34143195,16.97634036,0.874119783,-0.07494784,0.874119783,0.933491433,NA,0.584290507392043,"NS","A0A0A6YW05"
"5","A0A0A6YW67",NA,256,15.01704795,14.55640476,16.88083932,18.24354096,17.0451644,17.33373219,16.4943782,17.92919183,17.79955453,17.97013478,0.70677822,0.172495621,0.70677822,0.838463244,NA,1.50716842130125,"NS","A0A0A6YW67"
"9","A0A0G2JFD5","Gm21083",351,15.51289475,14.99355761,17.37075551,17.31707692,17.51922159,16.90512842,16.79842117,17.59754339,17.48329621,17.38169503,0.874503938,0.037193342,0.874503938,0.933491433,NA,0.582382304988335,"NS","A0A0G2JFD5"
"10","A0A0G2JFY7",NA,351,15.51289475,14.99355761,17.37075551,17.31707692,17.51922159,16.90512842,16.79842117,17.59754339,17.48329621,17.38169503,0.874503938,0.037193342,0.874503938,0.933491433,NA,0.582382304988335,"NS","A0A0G2JFY7"
"11","A0A0G2JGJ6","Gm21190",351,15.51289475,14.99355761,17.37075551,17.31707692,17.51922159,16.90512842,16.79842117,17.59754339,17.48329621,17.38169503,0.874503938,0.037193342,0.874503938,0.933491433,NA,0.582382304988335,"NS","A0A0G2JGJ6"
"12","A0A0N4SVE0",NA,1547,15.04413794,18.53183832,18.75802147,18.86096571,18.90917821,18.71736182,16.35223313,17.92178284,17.34273446,16.33971085,0.045987135,-1.822266483,0.045987135,0.21936738,NA,13.3736364614347,"INT","A0A0N4SVE0"
"13","A0A0N4SVP8",NA,1296,14.97946985,15.41923602,17.07389051,17.94740865,17.21000539,17.19055776,15.71228517,17.04622877,16.44503102,16.59409129,0.027596128,-0.906056515,0.027596128,0.167842122,NA,15.5915184931883,"INT","A0A0N4SVP8"
"14","A0A140T8L3",NA,879,14.79066116,15.73987926,16.61740861,17.27183711,17.05047498,17.10462294,15.96507214,17.07312068,16.64577699,16.69963785,0.218811935,-0.415183996,0.218811935,0.459617854,NA,6.59928993292545,"NS","A0A140T8L3"
"15","A0A140T8T4",NA,431,15.77928332,15.06449017,16.89474673,17.60030495,17.01192607,17.24144323,16.36226919,17.63459837,16.92300243,17.61948924,0.884043898,-0.052265433,0.884043898,0.938145543,NA,0.535261691658609,"NS","A0A140T8T4"
"16","A0A1B0GRG8",NA,1175,14.26231511,14.29397449,16.12456562,16.99567883,16.26064393,16.40887702,14.81738343,16.08650946,16.01087772,16.03025761,0.071368467,-0.711184295,0.071368467,0.274364626,NA,11.4649363182078,"NS","A0A1B0GRG8"
"17","A0A1B0GSH8",NA,582,13.48876526,14.25182863,16.08967806,16.40070393,15.92609126,16.04217235,15.27467482,16.45423502,16.24497049,15.71026834,0.540140013,-0.193624234,0.540140013,0.737690187,NA,2.67493649451934,"NS","A0A1B0GSH8"
"18","A0A1D5RLD8",NA,1227,15.87233821,16.53711221,17.52985754,16.67769212,17.42963558,18.00541622,15.81658371,17.10318534,16.76214842,16.83762793,0.082010635,-0.780764012,0.082010635,0.289972526,NA,10.8612982539277,"NS","A0A1D5RLD8"
"22","A0A1W2P6Q8",NA,793,11.52169858,12.83144581,14.47895917,15.22697658,15.0160683,15.01550217,13.82724345,14.93801741,14.89723097,14.64487023,0.371539317,-0.357536039,0.371539317,0.609401667,NA,4.29995221600175,"NS","A0A1W2P6Q8"
"23","A0A1W2P7H4",NA,793,11.52169858,12.83144581,14.47895917,15.22697658,15.0160683,15.01550217,13.82724345,14.93801741,14.89723097,14.64487023,0.371539317,-0.357536039,0.371539317,0.609401667,NA,4.29995221600175,"NS","A0A1W2P7H4"
"24","A0A1W2P7S8",NA,793,11.52169858,12.83144581,14.47895917,15.22697658,15.0160683,15.01550217,13.82724345,14.93801741,14.89723097,14.64487023,0.371539317,-0.357536039,0.371539317,0.609401667,NA,4.29995221600175,"NS","A0A1W2P7S8"
"25","A0A1W2P7Z8",NA,793,11.52169858,12.83144581,14.47895917,15.22697658,15.0160683,15.01550217,13.82724345,14.93801741,14.89723097,14.64487023,0.371539317,-0.357536039,0.371539317,0.609401667,NA,4.29995221600175,"NS","A0A1W2P7Z8"
"26","A0A1W2P855",NA,793,11.52169858,12.83144581,14.47895917,15.22697658,15.0160683,15.01550217,13.82724345,14.93801741,14.89723097,14.64487023,0.371539317,-0.357536039,0.371539317,0.609401667,NA,4.29995221600175,"NS","A0A1W2P855"
"27","A0A1Y7VKY1",NA,1345,12.99162813,13.37000622,14.76264157,16.28767631,15.04379629,15.40610533,13.54133866,14.7934509,14.69827058,14.24220651,0.037156382,-1.056238213,0.037156382,0.193498091,NA,14.299665808445,"INT","A0A1Y7VKY1"
"28","A0A1Y7VP24",NA,718,11.28493974,11.44325439,13.43853198,14.40720136,13.7588478,13.75936809,12.7091269,14.28836145,13.574357,13.59374125,0.426438311,-0.299590658,0.426438311,0.653190304,NA,3.70143785434374,"NS","A0A1Y7VP24"
"29","A0A286YCV9","Kif13b",181,12.41536232,11.82528739,14.82581711,15.34824646,14.94281532,15.06241194,14.4857968,15.63469552,15.90104492,15.47328208,0.343816805,0.328882118,0.343816805,0.588060222,NA,4.63672899782757,"NS","A0A286YCV9"
"33","A0A2I3BRT4",NA,224,8.745844,9.669452026,13.89595389,13.93470446,13.85953479,14.38147536,13.25424621,14.25111252,14.77694701,14.67154107,0.570928254,0.220544577,0.570928254,0.760698406,NA,2.43418464170292,"NS","A0A2I3BRT4"
"34","A11111",NA,525,11.93186522,12.53198696,16.75022094,17.64451467,16.62037576,16.89927393,15.87356804,17.59518943,17.10784225,16.77573901,0.743798039,-0.140511645,0.743798039,0.861197294,NA,1.285449709792,"NS","A11111"
"35","A11112",NA,427,12.14450025,13.04309597,16.10477825,17.56529132,15.72748099,16.40432826,15.40483123,17.01406283,16.8095026,16.37839371,0.928287123,-0.048772111,0.928287123,0.962806894,NA,0.323176739448686,"NS","A11112"
"36","A2A432","Cul4b",797,10.14267432,10.36648674,12.72030522,13.88326296,13.25858298,13.14031356,11.95243462,13.51796029,13.17103277,12.90642203,0.37592284,-0.363653749,0.37592284,0.612754229,NA,4.24901286990027,"NS","A2A432"
"37","A2A4X6",NA,366,10.87828087,10.33617179,12.73286698,13.70401169,12.45879108,13.06255214,11.91262741,13.67275681,13.33678548,13.05636676,0.991195854,0.005078645,0.991195854,0.996711519,NA,0.0384052320653668,"NS","A2A4X6"
