"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098798","GO:0098798","mitochondrial protein-containing complex","52/282","345/31010",1.14869700655271e-47,3.3541952591339e-45,2.78105591060129e-45,"D3YTP3/O35129/P51881/P67778/P99028/Q3ULF4/Q5U458/Q61733/Q62425/Q78IK4/Q7TMF3/Q8BGH2/Q8BGX2/Q8BJZ4/Q8BMS1/Q8CAQ8/Q8JZQ2/Q8K2B3/Q8K3J1/Q8R1I1/Q91VD9/Q91WD5/Q920A7/Q99JY0/Q99LC3/Q99LC5/Q99LP6/Q99MR8/Q9CPP6/Q9CQ69/Q9CQA3/Q9CQC7/Q9CR68/Q9CR88/Q9CXZ1/Q9CZ13/Q9D051/Q9D0M3/Q9D6J6/Q9D7N3/Q9D880/Q9DB77/Q9DC69/Q9DC70/Q9DCJ5/Q9DCT2/Q9DCW4/Q9ERS2/Q9JHS4/Q9JK42/Q9WUM5/Q9Z1P6",52
"GO:1990204","GO:1990204","oxidoreductase complex","37/282","150/31010",1.99331210859087e-42,2.91023567854267e-40,2.41295676303106e-40,"E9Q7L0/P13707/P35486/P99028/Q60597/Q62425/Q64521/Q7TMF3/Q8BKZ9/Q8K2B3/Q8K3J1/Q8R1I1/Q91VD9/Q91VT4/Q91WD5/Q99LC3/Q99LC5/Q9CPP6/Q9CQ69/Q9CQA3/Q9CQC7/Q9CR68/Q9CXZ1/Q9CZ13/Q9D051/Q9D0M3/Q9D2G2/Q9D6J6/Q9DB77/Q9DC69/Q9DC70/Q9DCJ5/Q9DCT2/Q9DCW4/Q9ERS2/Q9JK42/Q9Z1P6",37
"GO:0005759","GO:0005759","mitochondrial matrix","48/282","394/31010",1.83231903613039e-39,1.78345719516691e-37,1.47871360810523e-37,"E9Q7L0/O35857/P16332/P38647/P45952/P50544/P51174/P51881/P53395/P63038/Q07417/Q3UFY8/Q3ULD5/Q60930/Q61733/Q6PB66/Q80X68/Q80Y14/Q8BFR5/Q8BJZ4/Q8BMS1/Q8BWT1/Q8CGK3/Q8QZT1/Q8VHQ9/Q91VT4/Q91YM4/Q91ZA3/Q925I1/Q99JY0/Q99LC5/Q99LP6/Q99MN9/Q99MR8/Q99NB1/Q9CQN1/Q9CR88/Q9CXI0/Q9CZU6/Q9D051/Q9D7N3/Q9DC69/Q9DCW4/Q9JHS4/Q9JK42/Q9WTP7/Q9WUM5/Q9Z1P6",48
"GO:0098800","GO:0098800","inner mitochondrial membrane protein complex","36/282","177/31010",5.36638405686458e-38,3.91746036151114e-36,3.24807456073383e-36,"O35129/P67778/P99028/Q3ULF4/Q5U458/Q62425/Q78IK4/Q7TMF3/Q8BGX2/Q8CAQ8/Q8JZQ2/Q8K2B3/Q8K3J1/Q8R1I1/Q91VD9/Q91WD5/Q920A7/Q99LC3/Q99LP6/Q9CPP6/Q9CQ69/Q9CQA3/Q9CQC7/Q9CR68/Q9CXZ1/Q9CZ13/Q9D0M3/Q9D6J6/Q9D880/Q9DB77/Q9DC69/Q9DC70/Q9DCJ5/Q9DCT2/Q9ERS2/Q9Z1P6",36
"GO:0070469","GO:0070469","respirasome","28/282","128/31010",1.08314440421356e-30,6.3255633206072e-29,5.24469922040251e-29,"P00405/P56392/P99028/Q62425/Q7TMF3/Q8K2B3/Q8K3J1/Q8R1I1/Q91VD9/Q91WD5/Q99LC3/Q9CPP6/Q9CQ69/Q9CQA3/Q9CQC7/Q9CR68/Q9CXZ1/Q9CZ13/Q9D0M3/Q9D6J6/Q9DB77/Q9DC69/Q9DC70/Q9DCJ5/Q9DCT2/Q9ERS2/Q9JLR9/Q9Z1P6",28
"GO:0005746","GO:0005746","mitochondrial respirasome","26/282","105/31010",4.15055878746973e-30,2.01993860990194e-28,1.67478687915445e-28,"P56392/P99028/Q62425/Q7TMF3/Q8K2B3/Q8K3J1/Q8R1I1/Q91VD9/Q91WD5/Q99LC3/Q9CPP6/Q9CQ69/Q9CQA3/Q9CQC7/Q9CR68/Q9CXZ1/Q9CZ13/Q9D0M3/Q9D6J6/Q9DB77/Q9DC69/Q9DC70/Q9DCJ5/Q9DCT2/Q9ERS2/Q9Z1P6",26
"GO:0098803","GO:0098803","respiratory chain complex","26/282","113/31010",3.40938833096752e-29,1.42220198948931e-27,1.17918694153764e-27,"P00405/P99028/Q62425/Q7TMF3/Q8K2B3/Q8K3J1/Q8R1I1/Q91VD9/Q91WD5/Q99LC3/Q9CPP6/Q9CQ69/Q9CQA3/Q9CQC7/Q9CR68/Q9CXZ1/Q9CZ13/Q9D0M3/Q9D6J6/Q9DB77/Q9DC69/Q9DC70/Q9DCJ5/Q9DCT2/Q9ERS2/Q9Z1P6",26
"GO:0005747","GO:0005747","mitochondrial respiratory chain complex I","16/282","66/31010",8.11727126866722e-19,2.37024321045083e-17,1.9652340966247e-17,"Q62425/Q7TMF3/Q8K3J1/Q91VD9/Q91WD5/Q99LC3/Q9CPP6/Q9CQC7/Q9CXZ1/Q9D6J6/Q9DC69/Q9DC70/Q9DCJ5/Q9DCT2/Q9ERS2/Q9Z1P6",16
"GO:0030964","GO:0030964","NADH dehydrogenase complex","16/282","66/31010",8.11727126866722e-19,2.37024321045083e-17,1.9652340966247e-17,"Q62425/Q7TMF3/Q8K3J1/Q91VD9/Q91WD5/Q99LC3/Q9CPP6/Q9CQC7/Q9CXZ1/Q9D6J6/Q9DC69/Q9DC70/Q9DCJ5/Q9DCT2/Q9ERS2/Q9Z1P6",16
"GO:0045271","GO:0045271","respiratory chain complex I","16/282","66/31010",8.11727126866722e-19,2.37024321045083e-17,1.9652340966247e-17,"Q62425/Q7TMF3/Q8K3J1/Q91VD9/Q91WD5/Q99LC3/Q9CPP6/Q9CQC7/Q9CXZ1/Q9D6J6/Q9DC69/Q9DC70/Q9DCJ5/Q9DCT2/Q9ERS2/Q9Z1P6",16
