"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005884","GO:0005884","actin filament","7/33","262/31010",1.00451573983308e-08,1.40632203576631e-06,8.24760291652423e-07,"O89053/P10107/P60710/P63260/Q8BFZ3/Q8BTM8/Q9CQI6",7
"GO:0045335","GO:0045335","phagocytic vesicle","5/33","214/31010",3.02865868502668e-06,0.000212006107951867,0.000124334409174779,"O89053/P48025/P63260/P70429/Q9CZE3",5
"GO:0030139","GO:0030139","endocytic vesicle","5/33","410/31010",6.89792295076358e-05,0.00321903071035634,0.00188785259705108,"O89053/P48025/P63260/P70429/Q9CZE3",5
"GO:0030863","GO:0030863","cortical cytoskeleton","4/33","266/31010",0.000178067578059845,0.00623236523209456,0.00365507133912313,"O89053/P60710/Q8BTM8/Q9CQI6",4
"GO:0043209","GO:0043209","myelin sheath","4/33","372/31010",0.000633351741249972,0.0105865637682737,0.00620866145808533,"P07724/P27773/P60710/P63260",4
"GO:0035267","GO:0035267","NuA4 histone acetyltransferase complex","2/33","35/31010",0.000639212473500845,0.0105865637682737,0.00620866145808533,"P60710/Q8BFZ3",2
"GO:0043189","GO:0043189","H4/H2A histone acetyltransferase complex","2/33","35/31010",0.000639212473500845,0.0105865637682737,0.00620866145808533,"P60710/Q8BFZ3",2
"GO:0044305","GO:0044305","calyx of Held","2/33","35/31010",0.000639212473500845,0.0105865637682737,0.00620866145808533,"P60710/P63260",2
"GO:0098685","GO:0098685","Schaffer collateral - CA1 synapse","3/33","163/31010",0.000692774479244557,0.0105865637682737,0.00620866145808533,"P60710/P63260/Q9WTQ5",3
"GO:0070062","GO:0070062","extracellular exosome","3/33","168/31010",0.000756183126305264,0.0105865637682737,0.00620866145808533,"P07724/P10107/P63260",3
"GO:1903561","GO:1903561","extracellular vesicle","3/33","181/31010",0.00093802741332303,0.0119385307150204,0.0070015443291097,"P07724/P10107/P63260",3
"GO:0043230","GO:0043230","extracellular organelle","3/33","195/31010",0.00116254789446281,0.0125197465557533,0.00734240775450194,"P07724/P10107/P63260",3
"GO:0065010","GO:0065010","extracellular membrane-bounded organelle","3/33","195/31010",0.00116254789446281,0.0125197465557533,0.00734240775450194,"P07724/P10107/P63260",3
"GO:1902562","GO:1902562","H4 histone acetyltransferase complex","2/33","53/31010",0.00146277813449569,0.0146277813449569,0.00857869883388452,"P60710/Q8BFZ3",2
"GO:0031227","GO:0031227","intrinsic component of endoplasmic reticulum membrane","3/33","275/31010",0.003091600613113,0.0288549390557214,0.0169224454612501,"P27773/Q05421/Q3U7R1",3
"GO:0019897","GO:0019897","extrinsic component of plasma membrane","3/33","331/31010",0.0051874123194118,0.0445237000149828,0.0261116436178095,"P10107/P48025/Q3U7R1",3
"GO:0019867","GO:0019867","outer membrane","3/33","343/31010",0.00572447571621208,0.0445237000149828,0.0261116436178095,"P97742/Q8C5W0/Q9CZE3",3
"GO:0031968","GO:0031968","organelle outer membrane","3/33","343/31010",0.00572447571621208,0.0445237000149828,0.0261116436178095,"P97742/Q8C5W0/Q9CZE3",3
"GO:0030027","GO:0030027","lamellipodium","3/33","370/31010",0.00705179886612218,0.0519606232240582,0.0304731474547108,"O89053/P60710/P70429",3
"GO:0000123","GO:0000123","histone acetyltransferase complex","2/33","133/31010",0.00883663212236981,0.0618564248565887,0.036276700291834,"P60710/Q8BFZ3",2
"GO:0001740","GO:0001740","Barr body","1/33","10/31010",0.0105924418017727,0.0627831436499146,0.0368201895089725,"Q9QZQ8",1
"GO:0042629","GO:0042629","mast cell granule","1/33","10/31010",0.0105924418017727,0.0627831436499146,0.0368201895089725,"P10107",1
"GO:0031248","GO:0031248","protein acetyltransferase complex","2/33","149/31010",0.0109828541558468,0.0627831436499146,0.0368201895089725,"P60710/Q8BFZ3",2
"GO:1902493","GO:1902493","acetyltransferase complex","2/33","149/31010",0.0109828541558468,0.0627831436499146,0.0368201895089725,"P60710/Q8BFZ3",2
"GO:0097180","GO:0097180","serine protease inhibitor complex","1/33","12/31010",0.0126978351586794,0.0627831436499146,0.0368201895089725,"Q60854",1
"GO:0044307","GO:0044307","dendritic branch","1/33","13/31010",0.0137489020481485,0.0627831436499146,0.0368201895089725,"Q70FJ1",1
"GO:0097179","GO:0097179","protease inhibitor complex","1/33","13/31010",0.0137489020481485,0.0627831436499146,0.0368201895089725,"Q60854",1
"GO:0098871","GO:0098871","postsynaptic actin cytoskeleton","1/33","13/31010",0.0137489020481485,0.0627831436499146,0.0368201895089725,"P60710",1
"GO:1904090","GO:1904090","peptidase inhibitor complex","1/33","13/31010",0.0137489020481485,0.0627831436499146,0.0368201895089725,"Q60854",1
"GO:0033162","GO:0033162","melanosome membrane","1/33","14/31010",0.014798883860337,0.0627831436499146,0.0368201895089725,"Q9CZE3",1
"GO:0045009","GO:0045009","chitosome","1/33","14/31010",0.014798883860337,0.0627831436499146,0.0368201895089725,"Q9CZE3",1
"GO:0090741","GO:0090741","pigment granule membrane","1/33","14/31010",0.014798883860337,0.0627831436499146,0.0368201895089725,"Q9CZE3",1
"GO:0097197","GO:0097197","tetraspanin-enriched microdomain","1/33","14/31010",0.014798883860337,0.0627831436499146,0.0368201895089725,"Q60710",1
"GO:0030864","GO:0030864","cortical actin cytoskeleton","2/33","178/31010",0.0153937940155225,0.0633862106521514,0.0371738679012617,"O89053/Q9CQI6",2
"GO:0031232","GO:0031232","extrinsic component of external side of plasma membrane","1/33","15/31010",0.0158477816804625,0.0633911267218501,0.0371767510098068,"P10107",1
"GO:0032432","GO:0032432","actin filament bundle","2/33","192/31010",0.0177532713734826,0.0678898960870245,0.0398151270284806,"P60710/Q8BTM8",2
"GO:0000805","GO:0000805","X chromosome","1/33","17/31010",0.0179423296801422,0.0678898960870245,0.0398151270284806,"Q9QZQ8",1
"GO:0031234","GO:0031234","extrinsic component of cytoplasmic side of plasma membrane","2/33","196/31010",0.01845397029621,0.0679883116176157,0.0398728444073235,"P48025/Q3U7R1",2
"GO:0001527","GO:0001527","microfibril","1/33","19/31010",0.0200325547079364,0.0701139414777774,0.0411194544005011,"Q61554",1
"GO:0099571","GO:0099571","postsynaptic cytoskeleton","1/33","19/31010",0.0200325547079364,0.0701139414777774,0.0411194544005011,"P60710",1
"GO:0005604","GO:0005604","basement membrane","2/33","218/31010",0.0225125634563854,0.0720527284757584,0.0422564873767606,"P07724/Q61554",2
"GO:0034992","GO:0034992","microtubule organizing center attachment site","1/33","22/31010",0.0231598055814938,0.0720527284757584,0.0422564873767606,"Q8C5W0",1
"GO:0034993","GO:0034993","meiotic nuclear membrane microtubule tethering complex","1/33","22/31010",0.0231598055814938,0.0720527284757584,0.0422564873767606,"Q8C5W0",1
"GO:0106083","GO:0106083","nuclear membrane protein complex","1/33","22/31010",0.0231598055814938,0.0720527284757584,0.0422564873767606,"Q8C5W0",1
"GO:0106094","GO:0106094","nuclear membrane microtubule tethering complex","1/33","22/31010",0.0231598055814938,0.0720527284757584,0.0422564873767606,"Q8C5W0",1
"GO:0042824","GO:0042824","MHC class I peptide loading complex","1/33","23/31010",0.0242000704070974,0.0736523881955138,0.043194633678572,"P27773",1
"GO:0005640","GO:0005640","nuclear outer membrane","1/33","24/31010",0.0252392609604446,0.0751807773289839,0.0440909821929379,"Q8C5W0",1
"GO:0032009","GO:0032009","early phagosome","1/33","25/31010",0.0262773783162924,0.0766423534225195,0.0449481471199739,"P48025",1
"GO:0032591","GO:0032591","dendritic spine membrane","1/33","27/31010",0.0283503977293196,0.0793811136420948,0.0465543373239353,"Q9Z0P4",1
"GO:0044233","GO:0044233","mitochondria-associated endoplasmic reticulum membrane","1/33","27/31010",0.0283503977293196,0.0793811136420948,0.0465543373239353,"Q9CZE3",1
"GO:0030176","GO:0030176","integral component of endoplasmic reticulum membrane","2/33","267/31010",0.0327282798324113,0.0898423367948546,0.0526894907518696,"P27773/Q3U7R1",2
"GO:0031307","GO:0031307","integral component of mitochondrial outer membrane","1/33","32/31010",0.0335142403386158,0.0902306470655042,0.0529172215872882,"P97742",1
"GO:0031306","GO:0031306","intrinsic component of mitochondrial outer membrane","1/33","33/31010",0.0345438106810789,0.0912478017990764,0.0535137484235185,"P97742",1
"GO:0031527","GO:0031527","filopodium membrane","1/33","34/31010",0.0355723174521515,0.0922245267278002,0.0540865645471309,"Q9Z0P4",1
"GO:0032426","GO:0032426","stereocilium tip","1/33","36/31010",0.037626144536677,0.0940653613416925,0.0551661517643009,"O89053",1
"GO:0042101","GO:0042101","T cell receptor complex","1/33","36/31010",0.037626144536677,0.0940653613416925,0.0551661517643009,"P48025",1
"GO:0043296","GO:0043296","apical junction complex","2/33","297/31010",0.039723019371733,0.0975653107375899,0.0572187536656542,"P60710/P63260",2
"GO:0043034","GO:0043034","costamere","1/33","41/31010",0.0427421741301779,0.103170765141809,0.0605061630154968,"P63260",1
"GO:0001891","GO:0001891","phagocytic cup","1/33","43/31010",0.0447811929647408,0.105424015384508,0.06182761804505,"O89053",1
"GO:0005741","GO:0005741","mitochondrial outer membrane","2/33","319/31010",0.045181720879075,0.105424015384508,0.06182761804505,"P97742/Q9CZE3",2
"GO:0001533","GO:0001533","cornified envelope","1/33","47/31010",0.0488466033752289,0.112106958566099,0.0657469381064341,"P10107",1
"GO:0009898","GO:0009898","cytoplasmic side of plasma membrane","2/33","337/31010",0.0498434427914236,0.112549709529021,0.0660065965658921,"P48025/Q3U7R1",2
"GO:0005721","GO:0005721","pericentric heterochromatin","1/33","49/31010",0.0508730117927416,0.113051137317204,0.0663006669980593,"Q9QZQ8",1
"GO:0016327","GO:0016327","apicolateral plasma membrane","1/33","50/31010",0.0518846454806338,0.113497661988886,0.0665625386100236,"Q9Z0P4",1
"GO:0000242","GO:0000242","pericentriolar material","1/33","53/31010",0.0549132770340109,0.118274750534793,0.0693641394113823,"Q70FJ1",1
"GO:0098562","GO:0098562","cytoplasmic side of membrane","2/33","360/31010",0.056042861670317,0.118878797482491,0.0697183925085283,"P48025/Q3U7R1",2
"GO:0002102","GO:0002102","podosome","1/33","55/31010",0.0569271506016787,0.118952254988582,0.0697614728504469,"P60710",1
"GO:0043679","GO:0043679","axon terminus","2/33","376/31010",0.0605084344947123,0.122642297158734,0.07192555773219,"P60710/P63260",2
"GO:0031514","GO:0031514","motile cilium","2/33","382/31010",0.0622141189828319,0.122642297158734,0.07192555773219,"P10107/Q70FJ1",2
"GO:0042383","GO:0042383","sarcolemma","2/33","382/31010",0.0622141189828319,0.122642297158734,0.07192555773219,"P10107/Q04857",2
"GO:0044232","GO:0044232","organelle membrane contact site","1/33","61/31010",0.0629438352160048,0.122642297158734,0.07192555773219,"Q9CZE3",1
"GO:0098862","GO:0098862","cluster of actin-based cell projections","2/33","385/31010",0.0630731813959204,0.122642297158734,0.07192555773219,"O89053/Q8BTM8",2
"GO:0042470","GO:0042470","melanosome","1/33","65/31010",0.0669342613313429,0.126632386302541,0.0742656100120164,"Q9CZE3",1
"GO:0048770","GO:0048770","pigment granule","1/33","65/31010",0.0669342613313429,0.126632386302541,0.0742656100120164,"Q9CZE3",1
"GO:0000803","GO:0000803","sex chromosome","1/33","68/31010",0.0699162621123169,0.130510355942992,0.0765399079966417,"Q9QZQ8",1
"GO:0031941","GO:0031941","filamentous actin","1/33","69/31010",0.0709082071498162,0.130620381591767,0.0766044343169759,"P63260",1
"GO:0005790","GO:0005790","smooth endoplasmic reticulum","1/33","71/31010",0.0728890205653716,0.132525491937039,0.0777217170758576,"P27773",1
"GO:0044306","GO:0044306","neuron projection terminus","2/33","422/31010",0.0739954544039659,0.132745778833599,0.0778509078873741,"P60710/P63260",2
"GO:0098858","GO:0098858","actin-based cell projection","2/33","425/31010",0.0749065466275311,0.132745778833599,0.0778509078873741,"O89053/Q9Z0P4",2
"GO:0097440","GO:0097440","apical dendrite","1/33","75/31010",0.0768383695046359,0.134467146633113,0.078860431860021,"Q8BTM8",1
"GO:0005802","GO:0005802","trans-Golgi network","2/33","444/31010",0.0807608534757075,0.139586660328383,0.0818628534256684,"Q8BTM8/Q9CZE3",2
"GO:0001772","GO:0001772","immunological synapse","1/33","81/31010",0.0827318209930332,0.14124945047591,0.082838023587376,"O89053",1
"GO:0000786","GO:0000786","nucleosome","1/33","87/31010",0.088588781815594,0.149426860893773,0.0876337981181526,"Q9QZQ8",1
"GO:0032590","GO:0032590","dendrite membrane","1/33","91/31010",0.0924732579339244,0.154122096556541,0.0903873949730088,"Q9Z0P4",1
"GO:0030016","GO:0030016","myofibril","2/33","494/31010",0.0968146330307263,0.15945939558002,0.093517540264974,"P63260/Q8BTM8",2
"GO:0035861","GO:0035861","site of double-strand break","1/33","97/31010",0.0982698868456243,0.159974234399854,0.093819475813448,"Q60710",1
"GO:0032420","GO:0032420","stereocilium","1/33","102/31010",0.10307297075865,0.163643649985629,0.0959714639013464,"O89053",1
"GO:0044295","GO:0044295","axonal growth cone","1/33","102/31010",0.10307297075865,0.163643649985629,0.0959714639013464,"Q8BTM8",1
"GO:0044815","GO:0044815","DNA packaging complex","1/33","103/31010",0.104030606062293,0.163643649985629,0.0959714639013464,"Q9QZQ8",1
"GO:0032592","GO:0032592","integral component of mitochondrial membrane","1/33","113/31010",0.113552590306051,0.176637362698302,0.103591836770433,"P97742",1
"GO:0098573","GO:0098573","intrinsic component of mitochondrial membrane","1/33","116/31010",0.116389999433775,0.179061537590423,0.105013533323707,"P97742",1
"GO:0016328","GO:0016328","lateral plasma membrane","1/33","123/31010",0.122976413816655,0.186536354009767,0.10939726024633,"P10107",1
"GO:0005801","GO:0005801","cis-Golgi network","1/33","124/31010",0.123913435163631,0.186536354009767,0.10939726024633,"Q70FJ1",1
"GO:0032421","GO:0032421","stereocilium bundle","1/33","127/31010",0.126718678193663,0.188729946245881,0.110683727873524,"O89053",1
"GO:0005758","GO:0005758","mitochondrial intermembrane space","1/33","130/31010",0.129515210140643,0.19023295694664,0.111565192795774,"P27773",1
"GO:0005581","GO:0005581","collagen trimer","1/33","131/31010",0.130445456191982,0.19023295694664,0.111565192795774,"Q04857",1
"GO:0005795","GO:0005795","Golgi stack","1/33","136/31010",0.135082245539637,0.194964065727312,0.114339828020529,"Q70FJ1",1
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","1/33","142/31010",0.140614750107188,0.200148371998369,0.117380248239645,"P27773",1
"GO:0090734","GO:0090734","site of DNA damage","1/33","143/31010",0.141533491627418,0.200148371998369,0.117380248239645,"Q60710",1
"GO:0043198","GO:0043198","dendritic shaft","1/33","146/31010",0.144284005225231,0.201997607315324,0.118464762184927,"Q8BTM8",1
"GO:0031970","GO:0031970","organelle envelope lumen","1/33","148/31010",0.146112931375755,0.202532776164413,0.118778620607701,"P27773",1
"GO:0008076","GO:0008076","voltage-gated potassium channel complex","1/33","150/31010",0.147938066761293,0.203052248495892,0.119083273553982,"Q70FJ1",1
"GO:0032589","GO:0032589","neuron projection membrane","1/33","153/31010",0.150668678802402,0.204792378954721,0.12010380119149,"Q9Z0P4",1
"GO:0005811","GO:0005811","lipid droplet","1/33","166/31010",0.162403592643653,0.218620220866456,0.12821336261341,"Q9DBL9",1
"GO:0001725","GO:0001725","stress fiber","1/33","175/31010",0.170435500267727,0.225103490919639,0.132015581140841,"P60710",1
"GO:0097517","GO:0097517","contractile actin filament bundle","1/33","175/31010",0.170435500267727,0.225103490919639,0.132015581140841,"P60710",1
"GO:0000792","GO:0000792","heterochromatin","1/33","179/31010",0.173981216599915,0.226677301476924,0.132938567783459,"Q9QZQ8",1
"GO:0034705","GO:0034705","potassium channel complex","1/33","180/31010",0.174865346853627,0.226677301476924,0.132938567783459,"Q70FJ1",1
"GO:0042641","GO:0042641","actomyosin","1/33","198/31010",0.190623658317038,0.244837726278764,0.143589042479275,"P60710",1
