"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0150105","GO:0150105","protein localization to cell-cell junction","3/33","47/30636",1.78753747448551e-05,0.0201991734616863,0.0136793657257996,"P60710/P63260/Q8BTM8",3
"GO:1902396","GO:1902396","protein localization to bicellular tight junction","2/33","12/30636",7.37611743477055e-05,0.0328127603487887,0.0222215899148294,"P63260/Q8BTM8",2
"GO:0016479","GO:0016479","negative regulation of transcription by RNA polymerase I","2/33","13/30636",8.71135230498815e-05,0.0328127603487887,0.0222215899148294,"Q8BTM8/Q9QZQ8",2
"GO:0051657","GO:0051657","maintenance of organelle location","2/33","17/30636",0.000151481086952929,0.0427934070642025,0.0289807237407314,"P07724/Q70FJ1",2
"GO:1903036","GO:1903036","positive regulation of response to wounding","3/33","124/30636",0.000323109404325607,0.0625930130908411,0.0423894927964988,"P10107/P63260/Q8BTM8",3
"GO:0071257","GO:0071257","cellular response to electrical stimulus","2/33","25/30636",0.000332352281898271,0.0625930130908411,0.0423894927964988,"P60710/Q9Z0P4",2
"GO:0007194","GO:0007194","negative regulation of adenylate cyclase activity","2/33","29/30636",0.000448572681595292,0.0637519997614291,0.0431743864243679,"Q70FJ1/Q9Z0P4",2
"GO:0007193","GO:0007193","adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway","3/33","139/30636",0.000451341591231356,0.0637519997614291,0.0431743864243679,"Q8BTM8/Q9WTQ5/Q9Z0P4",3
"GO:0031280","GO:0031280","negative regulation of cyclase activity","2/33","32/30636",0.00054690347538606,0.0672595735529665,0.0455497996953951,"Q70FJ1/Q9Z0P4",2
"GO:0060009","GO:0060009","Sertoli cell development","2/33","34/30636",0.000617741487212273,0.0672595735529665,0.0455497996953951,"Q70FJ1/Q8BTM8",2
"GO:0051350","GO:0051350","negative regulation of lyase activity","2/33","35/30636",0.00065473921157755,0.0672595735529665,0.0455497996953951,"Q70FJ1/Q9Z0P4",2
"GO:1902905","GO:1902905","positive regulation of supramolecular fiber organization","4/33","389/30636",0.000782744659053131,0.0698350883820246,0.0472940002363594,"O89053/P70429/Q70FJ1/Q8BTM8",4
"GO:0099623","GO:0099623","regulation of cardiac muscle cell membrane repolarization","2/33","43/30636",0.000988324573533813,0.0698350883820246,0.0472940002363594,"Q70FJ1/Q8BTM8",2
"GO:0060008","GO:0060008","Sertoli cell differentiation","2/33","44/30636",0.00103469087039928,0.0698350883820246,0.0472940002363594,"Q70FJ1/Q8BTM8",2
"GO:0006641","GO:0006641","triglyceride metabolic process","3/33","193/30636",0.00116847151695468,0.0698350883820246,0.0472940002363594,"P97742/Q05421/Q9DBL9",3
"GO:0051495","GO:0051495","positive regulation of cytoskeleton organization","4/33","435/30636",0.00118411082650559,0.0698350883820246,0.0472940002363594,"O89053/P70429/Q70FJ1/Q8BTM8",4
