"","Entry","From","Reviewed","Entry.Name","Protein.names","Gene.Names","Organism","Length","Gene.Ontology..biological.process.","Gene.Ontology..cellular.component.","Gene.Ontology..GO.","Gene.Ontology..molecular.function.","X.1","NegControl.1","NegControl.2","INT.1","INT.2","INT.3","INT.4","POS.1","POS.2","POS.3","POS.4","pvalue","imputed_log2FC","imputed_Pvalue","imputed_adjPvalue","X","log10pvalue","diffexpressed","unpacked"
"1","A0A087WNW4","A0A087WNW4","unreviewed","A0A087WNW4_MOUSE","Predicted gene 29554","Gm29554","Mus musculus (Mouse)",188,"meiotic cell cycle [GO:0051321]; spermatid development [GO:0007286]","synaptonemal complex [GO:0000795]","synaptonemal complex [GO:0000795]; meiotic cell cycle [GO:0051321]; spermatid development [GO:0007286]","",1434,11.89882809,14.81783308,14.72408746,15.14322376,15.15371035,15.07656511,12.78847365,14.50295608,14.07288625,13.47712581,0.085714006,-1.31403622,0.085714006,0.295288601,NA,10.6694820688058,"NS_INT","A0A087WNW4"
"2","A0A087WQ54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1361,8.745844,11.58515034,16.45693189,16.78455817,16.15406651,16.02743089,14.59420795,15.90717234,15.68904248,14.87060553,0.022692882,-1.090489788,0.022692882,0.156734736,NA,16.441103451369,"INT","A0A087WQ54"
"3","A0A0A6YVU8","A0A0A6YVU8","unreviewed","A0A0A6YVU8_MOUSE","Adhesion-regulating molecule 1B","Adrm1b Gm9774","Mus musculus (Mouse)",407,"proteasome assembly [GO:0043248]; transcription elongation by RNA polymerase II promoter [GO:0006368]; ubiquitin-dependent protein catabolic process [GO:0006511]","cytosol [GO:0005829]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; proteasome complex [GO:0000502]; proteasome regulatory particle, lid subcomplex [GO:0008541]","cytosol [GO:0005829]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; proteasome complex [GO:0000502]; proteasome regulatory particle, lid subcomplex [GO:0008541]; endopeptidase activator activity [GO:0061133]; molecular function inhibitor activity [GO:0140678]; protease binding [GO:0002020]; proteasome binding [GO:0070628]; ubiquitin binding [GO:0043130]; proteasome assembly [GO:0043248]; transcription elongation by RNA polymerase II promoter [GO:0006368]; ubiquitin-dependent protein catabolic process [GO:0006511]","endopeptidase activator activity [GO:0061133]; molecular function inhibitor activity [GO:0140678]; protease binding [GO:0002020]; proteasome binding [GO:0070628]; ubiquitin binding [GO:0043130]",445,12.44237335,11.55923367,13.74199358,14.25532369,13.7497647,13.84607799,13.10227101,14.62719187,13.8957646,13.69837911,0.854386334,-0.067388342,0.854386334,0.919847902,NA,0.683457068462485,"NS","A0A0A6YVU8"
"4","A0A0A6YW05","A0A0A6YW05","unreviewed","A0A0A6YW05_MOUSE","Predicted gene, 37389","Gm37389","Mus musculus (Mouse)",95,"fatty acid transport [GO:0015908]","cytosol [GO:0005829]; nucleus [GO:0005634]","cytosol [GO:0005829]; nucleus [GO:0005634]; fatty acid binding [GO:0005504]; fatty acid transport [GO:0015908]","fatty acid binding [GO:0005504]",451,14.72312762,14.98535277,16.67065625,17.76946338,16.55857019,17.21095666,15.86043231,17.73165049,17.34143195,16.97634036,0.874119783,-0.07494784,0.874119783,0.933491433,NA,0.584290507392043,"NS","A0A0A6YW05"
"5","A0A0A6YW67","A0A0A6YW67","unreviewed","A0A0A6YW67_MOUSE","Predicted pseudogene 8797","Gm8797","Mus musculus (Mouse)",77,"","","","",256,15.01704795,14.55640476,16.88083932,18.24354096,17.0451644,17.33373219,16.4943782,17.92919183,17.79955453,17.97013478,0.70677822,0.172495621,0.70677822,0.838463244,NA,1.50716842130125,"NS","A0A0A6YW67"
"7","A0A0G2JFD5","A0A0G2JFD5","unreviewed","A0A0G2JFD5_MOUSE","Predicted gene, 21083","Gm21083","Mus musculus (Mouse)",256,"","","","",351,15.51289475,14.99355761,17.37075551,17.31707692,17.51922159,16.90512842,16.79842117,17.59754339,17.48329621,17.38169503,0.874503938,0.037193342,0.874503938,0.933491433,NA,0.582382304988335,"NS","A0A0G2JFD5"
"8","A0A0G2JFY7","A0A0G2JFY7","unreviewed","A0A0G2JFY7_MOUSE","Predicted gene, 21149","Gm21149","Mus musculus (Mouse)",255,"","","","",351,15.51289475,14.99355761,17.37075551,17.31707692,17.51922159,16.90512842,16.79842117,17.59754339,17.48329621,17.38169503,0.874503938,0.037193342,0.874503938,0.933491433,NA,0.582382304988335,"NS","A0A0G2JFY7"
"9","A0A0G2JGJ6","A0A0G2JGJ6","unreviewed","A0A0G2JGJ6_MOUSE","Predicted gene, 21190","Gm21190","Mus musculus (Mouse)",266,"","","","",351,15.51289475,14.99355761,17.37075551,17.31707692,17.51922159,16.90512842,16.79842117,17.59754339,17.48329621,17.38169503,0.874503938,0.037193342,0.874503938,0.933491433,NA,0.582382304988335,"NS","A0A0G2JGJ6"
"10","A0A0N4SVE0","A0A0N4SVE0","unreviewed","A0A0N4SVE0_MOUSE","Electron transfer flavoprotein subunit beta (Beta-ETF)","Etfbl Gm45233","Mus musculus (Mouse)",221,"","mitochondrial matrix [GO:0005759]","mitochondrial matrix [GO:0005759]; electron transfer activity [GO:0009055]","electron transfer activity [GO:0009055]",1547,15.04413794,18.53183832,18.75802147,18.86096571,18.90917821,18.71736182,16.35223313,17.92178284,17.34273446,16.33971085,0.045987135,-1.822266483,0.045987135,0.21936738,NA,13.3736364614347,"INT","A0A0N4SVE0"
"11","A0A0N4SVP8","A0A0N4SVP8","unreviewed","A0A0N4SVP8_MOUSE","RNA helicase (EC 3.6.4.13)","Eif4a3l2","Mus musculus (Mouse)",411,"embryonic cranial skeleton morphogenesis [GO:0048701]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of excitatory postsynaptic potential [GO:0090394]; negative regulation of gene expression [GO:0010629]; negative regulation of selenocysteine incorporation [GO:1904570]; negative regulation of selenocysteine insertion sequence binding [GO:1904574]; negative regulation of translation [GO:0017148]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of translation [GO:0045727]; regulation of mRNA binding [GO:1902415]; regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:2000622]; regulation of translation at postsynapse, modulating synaptic transmission [GO:0099578]","catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; exon-exon junction complex [GO:0035145]; glutamatergic synapse [GO:0098978]; neuronal cell body [GO:0043025]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; postsynaptic cytosol [GO:0099524]; ribonucleoprotein complex [GO:1990904]; U2-type catalytic step 1 spliceosome [GO:0071006]","catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; exon-exon junction complex [GO:0035145]; glutamatergic synapse [GO:0098978]; neuronal cell body [GO:0043025]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; postsynaptic cytosol [GO:0099524]; ribonucleoprotein complex [GO:1990904]; U2-type catalytic step 1 spliceosome [GO:0071006]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; mRNA binding [GO:0003729]; poly(A) binding [GO:0008143]; ribonucleoprotein complex binding [GO:0043021]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; RNA stem-loop binding [GO:0035613]; selenocysteine insertion sequence binding [GO:0035368]; translation regulator activity [GO:0045182]; embryonic cranial skeleton morphogenesis [GO:0048701]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of excitatory postsynaptic potential [GO:0090394]; negative regulation of gene expression [GO:0010629]; negative regulation of selenocysteine incorporation [GO:1904570]; negative regulation of selenocysteine insertion sequence binding [GO:1904574]; negative regulation of translation [GO:0017148]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of translation [GO:0045727]; regulation of mRNA binding [GO:1902415]; regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:2000622]; regulation of translation at postsynapse, modulating synaptic transmission [GO:0099578]","ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; mRNA binding [GO:0003729]; poly(A) binding [GO:0008143]; ribonucleoprotein complex binding [GO:0043021]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; RNA stem-loop binding [GO:0035613]; selenocysteine insertion sequence binding [GO:0035368]; translation regulator activity [GO:0045182]",1296,14.97946985,15.41923602,17.07389051,17.94740865,17.21000539,17.19055776,15.71228517,17.04622877,16.44503102,16.59409129,0.027596128,-0.906056515,0.027596128,0.167842122,NA,15.5915184931883,"INT","A0A0N4SVP8"
