"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050482","GO:0050482","arachidonic acid secretion","2/4","57/30636",2.03574788546375e-05,0.0049977610588135,0.000460721889868111,"P10107/P48025",2
"GO:1903963","GO:1903963","arachidonate transport","2/4","57/30636",2.03574788546375e-05,0.0049977610588135,0.000460721889868111,"P10107/P48025",2
"GO:0046456","GO:0046456","icosanoid biosynthetic process","2/4","85/30636",4.54809312646694e-05,0.00528560169972804,0.000487256668642525,"P10107/P48025",2
"GO:0032309","GO:0032309","icosanoid secretion","2/4","93/30636",5.44816736060393e-05,0.00528560169972804,0.000487256668642525,"P10107/P48025",2
"GO:0046638","GO:0046638","positive regulation of alpha-beta T cell differentiation","2/4","101/30636",6.42909054283469e-05,0.00528560169972804,0.000487256668642525,"P10107/P48025",2
"GO:0071715","GO:0071715","icosanoid transport","2/4","107/30636",7.21778887015826e-05,0.00528560169972804,0.000487256668642525,"P10107/P48025",2
"GO:0015909","GO:0015909","long-chain fatty acid transport","2/4","118/30636",8.78160769929247e-05,0.00528560169972804,0.000487256668642525,"P10107/P48025",2
"GO:0046637","GO:0046637","regulation of alpha-beta T cell differentiation","2/4","130/30636",0.000106613417455948,0.00528560169972804,0.000487256668642525,"P10107/P48025",2
"GO:0032677","GO:0032677","regulation of interleukin-8 production","2/4","135/30636",0.000114980083570285,0.00528560169972804,0.000487256668642525,"P10107/P48025",2
"GO:0032637","GO:0032637","interleukin-8 production","2/4","136/30636",0.000116691112172305,0.00528560169972804,0.000487256668642525,"P10107/P48025",2
"GO:0033627","GO:0033627","cell adhesion mediated by integrin","2/4","137/30636",0.000118414702030567,0.00528560169972804,0.000487256668642525,"Q61554/P48025",2
"GO:0046635","GO:0046635","positive regulation of alpha-beta T cell activation","2/4","145/30636",0.000132655427122413,0.00542781789309207,0.000500366961952962,"P10107/P48025",2
"GO:0015908","GO:0015908","fatty acid transport","2/4","162/30636",0.000165582007181521,0.00625390504047131,0.000576520348891127,"P10107/P48025",2
"GO:0015844","GO:0015844","monoamine transport","2/4","179/30636",0.000202126336810521,0.00699570743775643,0.00064490389071396,"P60710/P48025",2
