"","Entry","From","Reviewed","Entry.Name","Protein.names","Gene.Names","Organism","Length","Gene.Ontology..biological.process.","Gene.Ontology..cellular.component.","Gene.Ontology..GO.","Gene.Ontology..molecular.function.","Subcellular.location..CC.","Transmembrane","Protein","INT_F.1","INT_F.2","INT_M.1","INT_M.2","pvalue","log2FC","imputed_log2FC","imputed_Pvalue","imputed_adjPvalue","Gene"
"1","A0A087WNW4","A0A087WNW4","unreviewed","A0A087WNW4_MOUSE","Predicted gene 29554","Gm29554","Mus musculus (Mouse)",188,"meiotic cell cycle [GO:0051321]; spermatid development [GO:0007286]","synaptonemal complex [GO:0000795]","synaptonemal complex [GO:0000795]; meiotic cell cycle [GO:0051321]; spermatid development [GO:0007286]","","","","A0A087WNW4",14.72408746,15.14322376,15.15371035,15.07656511,0.874889679,-0.181482121,-0.181482121,0.874889679,0.99991031,"Gm29554"
"2","A0A286YCV9","A0A286YCV9","unreviewed","A0A286YCV9_MOUSE","Kinesin family member 13B","Kif13b","Mus musculus (Mouse)",1847,"cytoskeleton-dependent intracellular transport [GO:0030705]; microtubule-based movement [GO:0007018]; regulation of axonogenesis [GO:0050770]","axon [GO:0030424]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; microvillus [GO:0005902]; paranode region of axon [GO:0033270]","axon [GO:0030424]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; microvillus [GO:0005902]; paranode region of axon [GO:0033270]; 14-3-3 protein binding [GO:0071889]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; protein kinase binding [GO:0019901]; cytoskeleton-dependent intracellular transport [GO:0030705]; microtubule-based movement [GO:0007018]; regulation of axonogenesis [GO:0050770]","14-3-3 protein binding [GO:0071889]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; protein kinase binding [GO:0019901]","","","A0A286YCV9;Q9EQW7",13.80382841,15.27964685,14.42081554,14.29827741,0.849582084,0.182191158,0.182191158,0.849582084,0.99991031,"Kif13b"
"3","A0A286YCV9","A0A286YCV9","unreviewed","A0A286YCV9_MOUSE","Kinesin family member 13B","Kif13b","Mus musculus (Mouse)",1847,"cytoskeleton-dependent intracellular transport [GO:0030705]; microtubule-based movement [GO:0007018]; regulation of axonogenesis [GO:0050770]","axon [GO:0030424]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; microvillus [GO:0005902]; paranode region of axon [GO:0033270]","axon [GO:0030424]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; microvillus [GO:0005902]; paranode region of axon [GO:0033270]; 14-3-3 protein binding [GO:0071889]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; protein kinase binding [GO:0019901]; cytoskeleton-dependent intracellular transport [GO:0030705]; microtubule-based movement [GO:0007018]; regulation of axonogenesis [GO:0050770]","14-3-3 protein binding [GO:0071889]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; protein kinase binding [GO:0019901]","","","A0A286YCV9",14.82581711,15.34824646,14.94281532,15.06241194,0.862318158,0.084418155,0.084418155,0.862318158,0.99991031,"Kif13b"
"4","A11111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A11111",16.75022094,17.64451467,16.62037576,16.89927393,0.534712868,0.437542959,0.437542959,0.534712868,0.99991031,NA
"5","A11112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A11112",16.10477825,17.56529132,15.72748099,16.40432826,0.372614291,0.769130159,0.769130159,0.372614291,0.99991031,NA
"6","A2A432","A2A432","reviewed","CUL4B_MOUSE","Cullin-4B (CUL-4B)","Cul4b Kiaa0695","Mus musculus (Mouse)",970,"astrocyte differentiation [GO:0048708]; cell cycle [GO:0007049]; cellular response to UV [GO:0034644]; DNA damage response [GO:0006974]; gene expression [GO:0010467]; neuron projection development [GO:0031175]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of protein catabolic process [GO:0045732]; proteasomal protein catabolic process [GO:0010498]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; ribosome biogenesis [GO:0042254]; ubiquitin-dependent protein catabolic process [GO:0006511]; UV-damage excision repair [GO:0070914]","Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; Cul4A-RING E3 ubiquitin ligase complex [GO:0031464]; Cul4B-RING E3 ubiquitin ligase complex [GO:0031465]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]","Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; Cul4A-RING E3 ubiquitin ligase complex [GO:0031464]; Cul4B-RING E3 ubiquitin ligase complex [GO:0031465]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; damaged DNA binding [GO:0003684]; ubiquitin protein ligase binding [GO:0031625]; astrocyte differentiation [GO:0048708]; cell cycle [GO:0007049]; cellular response to UV [GO:0034644]; DNA damage response [GO:0006974]; gene expression [GO:0010467]; neuron projection development [GO:0031175]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of protein catabolic process [GO:0045732]; proteasomal protein catabolic process [GO:0010498]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; ribosome biogenesis [GO:0042254]; ubiquitin-dependent protein catabolic process [GO:0006511]; UV-damage excision repair [GO:0070914]","damaged DNA binding [GO:0003684]; ubiquitin protein ligase binding [GO:0031625]","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:24357321}. Nucleus {ECO:0000269|PubMed:24357321}. Note=More concentrated in nuclei than in cytoplasm in germinal vesicle (GV) stage oocytes, zygotes and the 2-cell stage, but distributed in the cytoplasm at the MII-stage oocytes. {ECO:0000269|PubMed:24357321}.","","A2A432",12.72030522,13.88326296,13.25858298,13.14031356,0.876836247,0.102335825,0.102335825,0.876836247,0.99991031,"Cul4b"
"7","A2A5R2","A2A5R2","reviewed","BIG2_MOUSE","Brefeldin A-inhibited guanine nucleotide-exchange protein 2 (Brefeldin A-inhibited GEP 2) (ADP-ribosylation factor guanine nucleotide-exchange factor 2)","Arfgef2 Arfgep2 Big2","Mus musculus (Mouse)",1792,"endomembrane system organization [GO:0010256]; endosome organization [GO:0007032]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; intracellular signal transduction [GO:0035556]; positive regulation of tumor necrosis factor production [GO:0032760]; protein transport [GO:0015031]; receptor recycling [GO:0001881]; regulation of ARF protein signal transduction [GO:0032012]","asymmetric synapse [GO:0032279]; axonemal microtubule [GO:0005879]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; microtubule organizing center [GO:0005815]; perinuclear region of cytoplasm [GO:0048471]; postsynapse [GO:0098794]; presynapse [GO:0098793]; recycling endosome [GO:0055037]; symmetric synapse [GO:0032280]; trans-Golgi network [GO:0005802]","asymmetric synapse [GO:0032279]; axonemal microtubule [GO:0005879]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; microtubule organizing center [GO:0005815]; perinuclear region of cytoplasm [GO:0048471]; postsynapse [GO:0098794]; presynapse [GO:0098793]; recycling endosome [GO:0055037]; symmetric synapse [GO:0032280]; trans-Golgi network [GO:0005802]; GABA receptor binding [GO:0050811]; guanyl-nucleotide exchange factor activity [GO:0005085]; myosin binding [GO:0017022]; protein kinase A regulatory subunit binding [GO:0034237]; endomembrane system organization [GO:0010256]; endosome organization [GO:0007032]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; intracellular signal transduction [GO:0035556]; positive regulation of tumor necrosis factor production [GO:0032760]; protein transport [GO:0015031]; receptor recycling [GO:0001881]; regulation of ARF protein signal transduction [GO:0032012]","GABA receptor binding [GO:0050811]; guanyl-nucleotide exchange factor activity [GO:0005085]; myosin binding [GO:0017022]; protein kinase A regulatory subunit binding [GO:0034237]","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Membrane {ECO:0000250}. Golgi apparatus {ECO:0000250}. Cytoplasm, perinuclear region {ECO:0000250}. Golgi apparatus, trans-Golgi network {ECO:0000250}. Endosome {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250}. Cell projection, dendrite {ECO:0000250}. Cytoplasmic vesicle {ECO:0000250}. Synapse {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Note=Translocates from cytoplasm to membranes upon cAMP treatment. Localized in recycling endosomes (By similarity). {ECO:0000250}.","","A2A5R2",13.85703646,14.82065303,14.28119263,13.53240223,0.57090443,0.432047314,0.432047314,0.57090443,0.99991031,"Arfgef2"
"8","A2A8Z1","A2A8Z1","reviewed","OSBL9_MOUSE","Oxysterol-binding protein-related protein 9 (ORP-9) (OSBP-related protein 9)","Osbpl9 Orp9","Mus musculus (Mouse)",736,"","cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; late endosome membrane [GO:0031902]; membrane [GO:0016020]","cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; late endosome membrane [GO:0031902]; membrane [GO:0016020]; sterol binding [GO:0032934]; sterol transporter activity [GO:0015248]","sterol binding [GO:0032934]; sterol transporter activity [GO:0015248]","SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000250}. Golgi apparatus, trans-Golgi network membrane {ECO:0000250}. Note=Localizes at the Golgi-late endosome interface. {ECO:0000250}.","","A2A8Z1",17.6495987,18.39125856,17.81506818,17.63086241,0.661267129,0.297463338,0.297463338,0.661267129,0.99991031,"Osbpl9"
"9","A2AGT5","A2AGT5","reviewed","CKAP5_MOUSE","Cytoskeleton-associated protein 5","Ckap5","Mus musculus (Mouse)",2032,"cell division [GO:0051301]; central nervous system myelin formation [GO:0032289]; centrosome cycle [GO:0007098]; centrosome duplication [GO:0051298]; cytoplasmic translation [GO:0002181]; dendritic spine maintenance [GO:0097062]; establishment or maintenance of microtubule cytoskeleton polarity [GO:0030951]; excitatory postsynaptic potential [GO:0060079]; habituation [GO:0046959]; locomotory behavior [GO:0007626]; long-term synaptic potentiation [GO:0060291]; microtubule polymerization [GO:0046785]; mitotic spindle organization [GO:0007052]; mRNA localization resulting in post-transcriptional regulation of gene expression [GO:0010609]; positive regulation of endocytosis [GO:0045807]; positive regulation of microtubule nucleation [GO:0090063]; protein-RNA complex assembly [GO:0022618]; RNA transport [GO:0050658]; spindle organization [GO:0007051]; visual learning [GO:0008542]","centrosome [GO:0005813]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; kinetochore [GO:0000776]; neuronal ribonucleoprotein granule [GO:0071598]; nucleolus [GO:0005730]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; protein-containing complex [GO:0032991]; spindle pole [GO:0000922]","centrosome [GO:0005813]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; kinetochore [GO:0000776]; neuronal ribonucleoprotein granule [GO:0071598]; nucleolus [GO:0005730]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; protein-containing complex [GO:0032991]; spindle pole [GO:0000922]; microtubule binding [GO:0008017]; microtubule plus end polymerase [GO:0061863]; microtubule plus-end binding [GO:0051010]; ribonucleoprotein complex binding [GO:0043021]; cell division [GO:0051301]; central nervous system myelin formation [GO:0032289]; centrosome cycle [GO:0007098]; centrosome duplication [GO:0051298]; cytoplasmic translation [GO:0002181]; dendritic spine maintenance [GO:0097062]; establishment or maintenance of microtubule cytoskeleton polarity [GO:0030951]; excitatory postsynaptic potential [GO:0060079]; habituation [GO:0046959]; locomotory behavior [GO:0007626]; long-term synaptic potentiation [GO:0060291]; microtubule polymerization [GO:0046785]; mitotic spindle organization [GO:0007052]; mRNA localization resulting in post-transcriptional regulation of gene expression [GO:0010609]; positive regulation of endocytosis [GO:0045807]; positive regulation of microtubule nucleation [GO:0090063]; protein-RNA complex assembly [GO:0022618]; RNA transport [GO:0050658]; spindle organization [GO:0007051]; visual learning [GO:0008542]","microtubule binding [GO:0008017]; microtubule plus end polymerase [GO:0061863]; microtubule plus-end binding [GO:0051010]; ribonucleoprotein complex binding [GO:0043021]","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q14008}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250|UniProtKB:Q14008}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q14008}. Chromosome, centromere, kinetochore {ECO:0000250|UniProtKB:Q14008}. Note=Detected on centrosomes and kinetochores during interphase and mitosis independently from TACC3 and clathrin. Located to spindle poles and microtubules during mitosis. In complex with TACC3 localized to microtubule plus-ends in mitosis and interphase. In complex with TACC3 and clathrin localized to inter-microtubule bridges in mitotic spindles. Accumulation sites at microtubule plus ends protruded approximately 100 nm from MAPRE1/EB1 sites in interphase cells. {ECO:0000250|UniProtKB:Q14008}.","","A2AGT5",15.07276067,15.9884628,15.39121002,15.47164346,0.879342505,0.099184994,0.099184994,0.879342505,0.99991031,"Ckap5"
"10","A2AIX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A2AIX1",14.88012693,15.48819134,15.19905362,15.13839181,0.974420183,0.01543642,0.01543642,0.974420183,0.99991031,NA
