Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Subcellular location [CC]	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology (GO)
A0A0B4J1F4	reviewed	ARRD4_MOUSE	Arrestin domain-containing protein 4	Arrdc4	Mus musculus (Mouse)	415	SUBCELLULAR LOCATION: Early endosome {ECO:0000269|PubMed:19605364}. Cell membrane {ECO:0000269|PubMed:19605364, ECO:0000269|PubMed:27462458}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Cytoplasmic vesicle {ECO:0000269|PubMed:19605364}. Note=Also found in extracellular vesicles different from exosomes. {ECO:0000269|PubMed:27462458}.	extracellular vesicle biogenesis [GO:0140112]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of ubiquitin-protein transferase activity [GO:0051443]; protein K63-linked ubiquitination [GO:0070534]; protein transport [GO:0015031]; protein ubiquitination [GO:0016567]	cytoplasm [GO:0005737]; early endosome [GO:0005769]; endosome [GO:0005768]; extracellular vesicle [GO:1903561]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886]	ubiquitin ligase-substrate adaptor activity [GO:1990756]	cytoplasm [GO:0005737]; early endosome [GO:0005769]; endosome [GO:0005768]; extracellular vesicle [GO:1903561]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886]; ubiquitin ligase-substrate adaptor activity [GO:1990756]; extracellular vesicle biogenesis [GO:0140112]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of ubiquitin-protein transferase activity [GO:0051443]; protein K63-linked ubiquitination [GO:0070534]; protein transport [GO:0015031]; protein ubiquitination [GO:0016567]
A0A0G2JDV3	reviewed	GBP6_MOUSE	Guanylate-binding protein 6 (EC 3.6.5.-) (GTP-binding protein 6) (GBP-6) (Guanine nucleotide-binding protein 6) (Macrophage activation 2 like protein)	Gbp6 Mpa2l	Mus musculus (Mouse)	611	SUBCELLULAR LOCATION: Cytoplasmic vesicle {ECO:0000269|PubMed:18025219}.	adhesion of symbiont to host [GO:0044406]; cellular response to interferon-beta [GO:0035458]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to type II interferon [GO:0071346]; defense response to Gram-positive bacterium [GO:0050830]; defense response to protozoan [GO:0042832]; response to bacterium [GO:0009617]	cytoplasmic vesicle [GO:0031410]; symbiont-containing vacuole membrane [GO:0020005]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	cytoplasmic vesicle [GO:0031410]; symbiont-containing vacuole membrane [GO:0020005]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; adhesion of symbiont to host [GO:0044406]; cellular response to interferon-beta [GO:0035458]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to type II interferon [GO:0071346]; defense response to Gram-positive bacterium [GO:0050830]; defense response to protozoan [GO:0042832]; response to bacterium [GO:0009617]
A0A140LIF8	reviewed	IRGM2_MOUSE	Immunity-related GTPase family M protein 2 (EC 3.6.5.-) (Interferon-inducible GTPase 2)	Irgm2 Iigp2	Mus musculus (Mouse)	395	SUBCELLULAR LOCATION: Cytoplasmic vesicle membrane {ECO:0000269|PubMed:34078740}. Golgi apparatus membrane {ECO:0000269|PubMed:34078740}. Cytoplasm, cytosol {ECO:0000269|PubMed:34078740}. Note=Localizes to parasitophorous vacuole membranes. {ECO:0000269|PubMed:34078740}.	autophagosome assembly [GO:0000045]; CAMKK-AMPK signaling cascade [GO:0061762]; cellular response to interferon-beta [GO:0035458]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to virus [GO:0098586]; defense response [GO:0006952]; defense response to bacterium [GO:0042742]; defense response to Gram-negative bacterium [GO:0050829]; defense response to protozoan [GO:0042832]; innate immune response [GO:0045087]; killing of cells of another organism [GO:0031640]; negative regulation of cGAS/STING signaling pathway [GO:0160049]; negative regulation of defense response to virus [GO:0050687]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; negative regulation of inflammatory response [GO:0050728]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; negative regulation of non-canonical inflammasome complex assembly [GO:0160076]; negative regulation of type I interferon production [GO:0032480]; nucleotide-binding oligomerization domain containing 2 signaling pathway [GO:0070431]; positive regulation of autophagosome maturation [GO:1901098]; positive regulation of autophagy [GO:0010508]; positive regulation of lysosome organization [GO:1905673]; positive regulation of mitochondrial fission [GO:0090141]; positive regulation of mitophagy [GO:1901526]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of peptidyl-threonine phosphorylation [GO:0010800]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; positive regulation of type II interferon-mediated signaling pathway [GO:0060335]; positive regulation of xenophagy [GO:1904417]; protein destabilization [GO:0031648]; protein lipidation involved in autophagosome assembly [GO:0061739]; protein stabilization [GO:0050821]; protein targeting to vacuolar membrane [GO:0044395]; protein targeting to vacuole involved in autophagy [GO:0071211]; protein-containing complex assembly [GO:0065003]; regulation of protein complex stability [GO:0061635]; regulation of protein-containing complex assembly [GO:0043254]; response to bacterium [GO:0009617]	autophagosome membrane [GO:0000421]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; mitochondrion [GO:0005739]; vacuolar membrane [GO:0005774]	BH3 domain binding [GO:0051434]; CARD domain binding [GO:0050700]; cardiolipin binding [GO:1901612]; G protein activity [GO:0003925]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activator activity [GO:0043539]; protein-macromolecule adaptor activity [GO:0030674]	autophagosome membrane [GO:0000421]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; mitochondrion [GO:0005739]; vacuolar membrane [GO:0005774]; BH3 domain binding [GO:0051434]; CARD domain binding [GO:0050700]; cardiolipin binding [GO:1901612]; G protein activity [GO:0003925]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activator activity [GO:0043539]; protein-macromolecule adaptor activity [GO:0030674]; autophagosome assembly [GO:0000045]; CAMKK-AMPK signaling cascade [GO:0061762]; cellular response to interferon-beta [GO:0035458]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to virus [GO:0098586]; defense response [GO:0006952]; defense response to bacterium [GO:0042742]; defense response to Gram-negative bacterium [GO:0050829]; defense response to protozoan [GO:0042832]; innate immune response [GO:0045087]; killing of cells of another organism [GO:0031640]; negative regulation of cGAS/STING signaling pathway [GO:0160049]; negative regulation of defense response to virus [GO:0050687]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; negative regulation of inflammatory response [GO:0050728]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; negative regulation of non-canonical inflammasome complex assembly [GO:0160076]; negative regulation of type I interferon production [GO:0032480]; nucleotide-binding oligomerization domain containing 2 signaling pathway [GO:0070431]; positive regulation of autophagosome maturation [GO:1901098]; positive regulation of autophagy [GO:0010508]; positive regulation of lysosome organization [GO:1905673]; positive regulation of mitochondrial fission [GO:0090141]; positive regulation of mitophagy [GO:1901526]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of peptidyl-threonine phosphorylation [GO:0010800]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; positive regulation of type II interferon-mediated signaling pathway [GO:0060335]; positive regulation of xenophagy [GO:1904417]; protein destabilization [GO:0031648]; protein lipidation involved in autophagosome assembly [GO:0061739]; protein stabilization [GO:0050821]; protein targeting to vacuolar membrane [GO:0044395]; protein targeting to vacuole involved in autophagy [GO:0071211]; protein-containing complex assembly [GO:0065003]; regulation of protein complex stability [GO:0061635]; regulation of protein-containing complex assembly [GO:0043254]; response to bacterium [GO:0009617]
A0A2R3XZC4	unreviewed	A0A2R3XZC4_MOUSE	Stimulator of interferon genes protein	Sting1 STING Tmem173	Mus musculus (Mouse)	378	SUBCELLULAR LOCATION: Cytoplasm, perinuclear region {ECO:0000256|ARBA:ARBA00004556}. Cytoplasmic vesicle, autophagosome membrane {ECO:0000256|ARBA:ARBA00004542}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004542}. Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000256|ARBA:ARBA00004457}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004457}. Mitochondrion outer membrane {ECO:0000256|ARBA:ARBA00004374}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004374}.	antiviral innate immune response [GO:0140374]; autophagosome assembly [GO:0000045]; cellular response to exogenous dsRNA [GO:0071360]; cytosolic pattern recognition receptor signaling pathway [GO:0002753]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of macroautophagy [GO:0016239]; positive regulation of protein binding [GO:0032092]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of type I interferon-mediated signaling pathway [GO:0060340]; protein complex oligomerization [GO:0051259]	autophagosome membrane [GO:0000421]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; endosome [GO:0005768]; Golgi membrane [GO:0000139]; mitochondrial outer membrane [GO:0005741]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]; STING complex [GO:1990231]	2',3'-cyclic GMP-AMP binding [GO:0061507]; cyclic-di-GMP binding [GO:0035438]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activator activity [GO:0043539]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; signaling adaptor activity [GO:0035591]	autophagosome membrane [GO:0000421]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; endosome [GO:0005768]; Golgi membrane [GO:0000139]; mitochondrial outer membrane [GO:0005741]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]; STING complex [GO:1990231]; 2',3'-cyclic GMP-AMP binding [GO:0061507]; cyclic-di-GMP binding [GO:0035438]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activator activity [GO:0043539]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; signaling adaptor activity [GO:0035591]; antiviral innate immune response [GO:0140374]; autophagosome assembly [GO:0000045]; cellular response to exogenous dsRNA [GO:0071360]; cytosolic pattern recognition receptor signaling pathway [GO:0002753]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of macroautophagy [GO:0016239]; positive regulation of protein binding [GO:0032092]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of type I interferon-mediated signaling pathway [GO:0060340]; protein complex oligomerization [GO:0051259]
A1L314	reviewed	MPEG1_MOUSE	Macrophage-expressed gene 1 protein (Macrophage gene 1 protein) (Mpg-1) (Perforin-2) (P-2) (Protein MPS1)	Mpeg1	Mus musculus (Mouse)	713	SUBCELLULAR LOCATION: Cytoplasmic vesicle membrane {ECO:0000269|PubMed:26402460, ECO:0000269|PubMed:26418746}; Single-pass type I membrane protein {ECO:0000255}. Note=Bacterial infection induces translocation of the cytoplasmic vesicles to bacterium-containing phagocytic vesicles and fusing of the vesicles. {ECO:0000269|PubMed:26402460}.	antibacterial innate immune response [GO:0140367]; defense response to bacterium [GO:0042742]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; disruption by host of symbiont membrane [GO:0052337]	cytoplasmic vesicle [GO:0031410]; cytoplasmic vesicle membrane [GO:0030659]; phagocytic vesicle [GO:0045335]		cytoplasmic vesicle [GO:0031410]; cytoplasmic vesicle membrane [GO:0030659]; phagocytic vesicle [GO:0045335]; antibacterial innate immune response [GO:0140367]; defense response to bacterium [GO:0042742]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; disruption by host of symbiont membrane [GO:0052337]
A2A259	reviewed	PK2L1_MOUSE	Polycystin-2-like protein 1 (Polycystin-2L1) (Polycystic kidney disease 2-like 1 protein) (Polycystin-2 homolog)	Pkd2l1 Trpp3	Mus musculus (Mouse)	760	SUBCELLULAR LOCATION: Cell projection, cilium membrane {ECO:0000269|PubMed:24336288, ECO:0000269|PubMed:24336289}; Multi-pass membrane protein {ECO:0000269|PubMed:29567962}. Cell membrane {ECO:0000269|PubMed:15548533, ECO:0000269|PubMed:16891422, ECO:0000269|PubMed:18535624, ECO:0000269|PubMed:19464260, ECO:0000269|PubMed:20406802, ECO:0000269|PubMed:20538909, ECO:0000269|PubMed:21185261, ECO:0000269|PubMed:22420714, ECO:0000269|PubMed:25820328}; Multi-pass membrane protein {ECO:0000269|PubMed:29567962}. Cytoplasmic vesicle {ECO:0000305|PubMed:20538909}. Note=Interaction with PKD1 or PKD1L3 is required for localization to the cell membrane. {ECO:0000269|PubMed:15548533, ECO:0000269|PubMed:16891422, ECO:0000269|PubMed:20538909, ECO:0000269|PubMed:21185261}.	cellular response to acidic pH [GO:0071468]; cellular response to pH [GO:0071467]; detection of chemical stimulus involved in sensory perception of sour taste [GO:0001581]; detection of chemical stimulus involved in sensory perception of taste [GO:0050912]; detection of mechanical stimulus [GO:0050982]; inorganic cation transmembrane transport [GO:0098662]; monoatomic cation transport [GO:0006812]; potassium ion transmembrane transport [GO:0071805]; protein homotetramerization [GO:0051289]; protein tetramerization [GO:0051262]; response to water [GO:0009415]; sensory perception of sour taste [GO:0050915]; smoothened signaling pathway [GO:0007224]; sodium ion transmembrane transport [GO:0035725]	actin cytoskeleton [GO:0015629]; calcium channel complex [GO:0034704]; cation channel complex [GO:0034703]; ciliary membrane [GO:0060170]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; non-motile cilium [GO:0097730]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	alpha-actinin binding [GO:0051393]; calcium activated cation channel activity [GO:0005227]; calcium channel activity [GO:0005262]; calcium ion binding [GO:0005509]; calcium-activated potassium channel activity [GO:0015269]; cytoskeletal protein binding [GO:0008092]; identical protein binding [GO:0042802]; monoatomic cation channel activity [GO:0005261]; muscle alpha-actinin binding [GO:0051371]; sodium channel activity [GO:0005272]	actin cytoskeleton [GO:0015629]; calcium channel complex [GO:0034704]; cation channel complex [GO:0034703]; ciliary membrane [GO:0060170]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; non-motile cilium [GO:0097730]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; alpha-actinin binding [GO:0051393]; calcium activated cation channel activity [GO:0005227]; calcium channel activity [GO:0005262]; calcium ion binding [GO:0005509]; calcium-activated potassium channel activity [GO:0015269]; cytoskeletal protein binding [GO:0008092]; identical protein binding [GO:0042802]; monoatomic cation channel activity [GO:0005261]; muscle alpha-actinin binding [GO:0051371]; sodium channel activity [GO:0005272]; cellular response to acidic pH [GO:0071468]; cellular response to pH [GO:0071467]; detection of chemical stimulus involved in sensory perception of sour taste [GO:0001581]; detection of chemical stimulus involved in sensory perception of taste [GO:0050912]; detection of mechanical stimulus [GO:0050982]; inorganic cation transmembrane transport [GO:0098662]; monoatomic cation transport [GO:0006812]; potassium ion transmembrane transport [GO:0071805]; protein homotetramerization [GO:0051289]; protein tetramerization [GO:0051262]; response to water [GO:0009415]; sensory perception of sour taste [GO:0050915]; smoothened signaling pathway [GO:0007224]; sodium ion transmembrane transport [GO:0035725]
A2A5R2	reviewed	BIG2_MOUSE	Brefeldin A-inhibited guanine nucleotide-exchange protein 2 (Brefeldin A-inhibited GEP 2) (ADP-ribosylation factor guanine nucleotide-exchange factor 2)	Arfgef2 Arfgep2 Big2	Mus musculus (Mouse)	1792	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Membrane {ECO:0000250}. Golgi apparatus {ECO:0000250}. Cytoplasm, perinuclear region {ECO:0000250}. Golgi apparatus, trans-Golgi network {ECO:0000250}. Endosome {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250}. Cell projection, dendrite {ECO:0000250}. Cytoplasmic vesicle {ECO:0000250}. Synapse {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Note=Translocates from cytoplasm to membranes upon cAMP treatment. Localized in recycling endosomes (By similarity). {ECO:0000250}.	endomembrane system organization [GO:0010256]; endosome organization [GO:0007032]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; intracellular signal transduction [GO:0035556]; positive regulation of tumor necrosis factor production [GO:0032760]; protein transport [GO:0015031]; receptor recycling [GO:0001881]; regulation of ARF protein signal transduction [GO:0032012]	asymmetric synapse [GO:0032279]; axonemal microtubule [GO:0005879]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; microtubule organizing center [GO:0005815]; perinuclear region of cytoplasm [GO:0048471]; postsynapse [GO:0098794]; presynapse [GO:0098793]; recycling endosome [GO:0055037]; symmetric synapse [GO:0032280]; trans-Golgi network [GO:0005802]	GABA receptor binding [GO:0050811]; guanyl-nucleotide exchange factor activity [GO:0005085]; myosin binding [GO:0017022]; protein kinase A regulatory subunit binding [GO:0034237]	asymmetric synapse [GO:0032279]; axonemal microtubule [GO:0005879]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; microtubule organizing center [GO:0005815]; perinuclear region of cytoplasm [GO:0048471]; postsynapse [GO:0098794]; presynapse [GO:0098793]; recycling endosome [GO:0055037]; symmetric synapse [GO:0032280]; trans-Golgi network [GO:0005802]; GABA receptor binding [GO:0050811]; guanyl-nucleotide exchange factor activity [GO:0005085]; myosin binding [GO:0017022]; protein kinase A regulatory subunit binding [GO:0034237]; endomembrane system organization [GO:0010256]; endosome organization [GO:0007032]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; intracellular signal transduction [GO:0035556]; positive regulation of tumor necrosis factor production [GO:0032760]; protein transport [GO:0015031]; receptor recycling [GO:0001881]; regulation of ARF protein signal transduction [GO:0032012]
A2A6M5	reviewed	CACO2_MOUSE	Calcium-binding and coiled-coil domain-containing protein 2 (Nuclear domain 10 protein NDP52) (Nuclear domain 10 protein 52)	Calcoco2 Ndp52 Ndp52l1	Mus musculus (Mouse)	331	SUBCELLULAR LOCATION: Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:Q13137}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q13137}. Cytoplasmic vesicle, autophagosome membrane {ECO:0000250|UniProtKB:Q13137}; Peripheral membrane protein {ECO:0000305}.	positive regulation of autophagosome maturation [GO:1901098]; response to type II interferon [GO:0034341]; xenophagy [GO:0098792]	autophagosome [GO:0005776]; autophagosome membrane [GO:0000421]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; perinuclear region of cytoplasm [GO:0048471]; PML body [GO:0016605]	protein homodimerization activity [GO:0042803]	autophagosome [GO:0005776]; autophagosome membrane [GO:0000421]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; perinuclear region of cytoplasm [GO:0048471]; PML body [GO:0016605]; protein homodimerization activity [GO:0042803]; positive regulation of autophagosome maturation [GO:1901098]; response to type II interferon [GO:0034341]; xenophagy [GO:0098792]
A2AH22	reviewed	AMRA1_MOUSE	Activating molecule in BECN1-regulated autophagy protein 1	Ambra1 Kiaa1736	Mus musculus (Mouse)	1300	SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000250|UniProtKB:Q9C0C7}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q9C0C7}. Cytoplasmic vesicle, autophagosome {ECO:0000305|PubMed:17589504, ECO:0000305|PubMed:24089209, ECO:0000305|PubMed:28362576, ECO:0000305|PubMed:32616651}. Mitochondrion {ECO:0000250|UniProtKB:Q9C0C7}. Cytoplasm, cytosol {ECO:0000269|PubMed:21753002, ECO:0000269|PubMed:24980959}. Nucleus {ECO:0000269|PubMed:24980959, ECO:0000269|PubMed:28362576, ECO:0000269|PubMed:32616651}. Cell junction, focal adhesion {ECO:0000269|PubMed:28362576}. Note=Localizes to the cytoskeleton in absence of autophagy induction. Upon autophagy induction, AMBRA1 relocalizes to the endoplasmic reticulum to enable autophagosome nucleation (By similarity). Partially localizes at mitochondria in normal conditions (By similarity). Localizes also to discrete punctae along the ciliary axoneme (PubMed:24089209). {ECO:0000250|UniProtKB:Q9C0C7, ECO:0000269|PubMed:24089209}.	autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; autophagy of mitochondrion [GO:0000422]; cell cycle [GO:0007049]; cell differentiation [GO:0030154]; cellular response to starvation [GO:0009267]; mitophagy [GO:0000423]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of neuron apoptotic process [GO:0043524]; neural tube development [GO:0021915]; positive regulation of autophagy [GO:0010508]; positive regulation of free ubiquitin chain polymerization [GO:1904544]; positive regulation of mitophagy [GO:1901526]; positive regulation of phosphatidylinositol 3-kinase activity [GO:0043552]; positive regulation of protein dephosphorylation [GO:0035307]; positive regulation of regulatory T cell differentiation [GO:0045591]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of G1/S transition of mitotic cell cycle [GO:2000045]; regulation of transcription by RNA polymerase II [GO:0006357]; response to mitochondrial depolarisation [GO:0098780]	autophagosome [GO:0005776]; axoneme [GO:0005930]; Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; focal adhesion [GO:0005925]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; phagocytic vesicle [GO:0045335]	GTPase binding [GO:0051020]; molecular function inhibitor activity [GO:0140678]; protein phosphatase binding [GO:0019903]; ubiquitin ligase-substrate adaptor activity [GO:1990756]; ubiquitin protein ligase binding [GO:0031625]	autophagosome [GO:0005776]; axoneme [GO:0005930]; Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; focal adhesion [GO:0005925]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; phagocytic vesicle [GO:0045335]; GTPase binding [GO:0051020]; molecular function inhibitor activity [GO:0140678]; protein phosphatase binding [GO:0019903]; ubiquitin ligase-substrate adaptor activity [GO:1990756]; ubiquitin protein ligase binding [GO:0031625]; autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; autophagy of mitochondrion [GO:0000422]; cell cycle [GO:0007049]; cell differentiation [GO:0030154]; cellular response to starvation [GO:0009267]; mitophagy [GO:0000423]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of neuron apoptotic process [GO:0043524]; neural tube development [GO:0021915]; positive regulation of autophagy [GO:0010508]; positive regulation of free ubiquitin chain polymerization [GO:1904544]; positive regulation of mitophagy [GO:1901526]; positive regulation of phosphatidylinositol 3-kinase activity [GO:0043552]; positive regulation of protein dephosphorylation [GO:0035307]; positive regulation of regulatory T cell differentiation [GO:0045591]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of G1/S transition of mitotic cell cycle [GO:2000045]; regulation of transcription by RNA polymerase II [GO:0006357]; response to mitochondrial depolarisation [GO:0098780]
A2AJX4	reviewed	MALR1_MOUSE	MAM and LDL-receptor class A domain-containing protein 1	Malrd1 Diet1 Gm13318	Mus musculus (Mouse)	2123	SUBCELLULAR LOCATION: Cytoplasmic vesicle membrane {ECO:0000269|PubMed:23747249}; Single-pass type I membrane protein {ECO:0000255}.	cholesterol homeostasis [GO:0042632]; negative regulation of bile acid biosynthetic process [GO:0070858]	cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; Golgi apparatus [GO:0005794]		cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; Golgi apparatus [GO:0005794]; cholesterol homeostasis [GO:0042632]; negative regulation of bile acid biosynthetic process [GO:0070858]
