"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009055","GO:0009055","electron transfer activity","8/92","106/30629",1.15137857306773e-09,2.33392893680075e-07,1.71677715072217e-07,"Q9DC70/P99028/Q9Z0X1/Q9D6J6/Q8K3J1/Q9DCT2/Q9CQA3/Q91VD9",8
"GO:0003955","GO:0003955","NAD(P)H dehydrogenase (quinone) activity","6/92","39/30629",1.87464171630582e-09,2.33392893680075e-07,1.71677715072217e-07,"Q9DC70/Q9D6J6/Q91VT4/Q8K3J1/Q9DCT2/Q91VD9",6
"GO:0016651","GO:0016651","oxidoreductase activity, acting on NAD(P)H","7/92","107/30629",3.57284748568234e-08,2.01849135308518e-06,1.4847495051229e-06,"Q9DC70/Q9Z0X1/Q9D6J6/Q91VT4/Q8K3J1/Q9DCT2/Q91VD9",7
"GO:0016655","GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","6/92","64/30629",4.05624053758681e-08,2.01849135308518e-06,1.4847495051229e-06,"Q9DC70/Q9D6J6/Q91VT4/Q8K3J1/Q9DCT2/Q91VD9",6
"GO:0008137","GO:0008137","NADH dehydrogenase (ubiquinone) activity","5/92","33/30629",4.86383458574743e-08,2.01849135308518e-06,1.4847495051229e-06,"Q9DC70/Q9D6J6/Q8K3J1/Q9DCT2/Q91VD9",5
"GO:0050136","GO:0050136","NADH dehydrogenase (quinone) activity","5/92","33/30629",4.86383458574743e-08,2.01849135308518e-06,1.4847495051229e-06,"Q9DC70/Q9D6J6/Q8K3J1/Q9DCT2/Q91VD9",5
"GO:0003954","GO:0003954","NADH dehydrogenase activity","5/92","35/30629",6.62140452397731e-08,2.35532818067193e-06,1.73251787544669e-06,"Q9DC70/Q9D6J6/Q8K3J1/Q9DCT2/Q91VD9",5
"GO:0015453","GO:0015453","oxidoreduction-driven active transmembrane transporter activity","6/92","75/30629",1.06092850734758e-07,3.30213997911934e-06,2.42896789840104e-06,"Q9DC70/P99028/Q9D6J6/Q8K3J1/Q9DCT2/Q91VD9",6
"GO:0051536","GO:0051536","iron-sulfur cluster binding","6/92","92/30629",3.60647462743919e-07,8.98012182232359e-06,6.60554300183599e-06,"Q9DC70/Q9D6J6/Q8K3J1/Q8WTY4/Q9CQA3/Q91VD9",6
"GO:0051540","GO:0051540","metal cluster binding","6/92","92/30629",3.60647462743919e-07,8.98012182232359e-06,6.60554300183599e-06,"Q9DC70/Q9D6J6/Q8K3J1/Q8WTY4/Q9CQA3/Q91VD9",6
"GO:0051539","GO:0051539","4 iron, 4 sulfur cluster binding","5/92","54/30629",6.16685208196958e-07,1.3959510621913e-05,1.02682513135187e-05,"Q9DC70/Q8K3J1/Q8WTY4/Q9CQA3/Q91VD9",5
"GO:0051537","GO:0051537","2 iron, 2 sulfur cluster binding","4/92","37/30629",4.66561435170712e-06,9.68114977979227e-05,7.1212008526056e-05,"Q9D6J6/Q8WTY4/Q9CQA3/Q91VD9",4
"GO:0016421","GO:0016421","CoA carboxylase activity","3/92","13/30629",7.33856408572743e-06,0.000140561727488164,0.000103393534487172,"Q91ZA3/Q99MN9/Q99MR8",3
"GO:0016874","GO:0016874","ligase activity","7/92","250/30629",1.07745310276759e-05,0.000191632730420807,0.000140960029986136,"Q8JZR0/Q9Z2I8/Q91ZA3/Q99MN9/Q99MR8/Q8BYL4/Q9CZD3",7
"GO:0016885","GO:0016885","ligase activity, forming carbon-carbon bonds","3/92","17/30629",1.72969232805785e-05,0.000287128926457603,0.000211204536899695,"Q91ZA3/Q99MN9/Q99MR8",3
"GO:0016620","GO:0016620","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","4/92","85/30629",0.000128133758684438,0.00199408161952656,0.00146679434283501,"Q60597/Q9Z2I8/Q8BKZ9/Q8CHT0",4
"GO:0043021","GO:0043021","ribonucleoprotein complex binding","6/92","267/30629",0.000158025577651965,0.00231460993149054,0.00170256659513572,"Q924L1/Q14C51/Q9D880/Q8K0Z7/Q8BGD9/Q9CY58",6
"GO:0015399","GO:0015399","primary active transmembrane transporter activity","6/92","282/30629",0.000212264852300595,0.00293633045682489,0.00215988797077798,"Q9DC70/P99028/Q9D6J6/Q8K3J1/Q9DCT2/Q91VD9",6
"GO:0016903","GO:0016903","oxidoreductase activity, acting on the aldehyde or oxo group of donors","4/92","101/30629",0.00024909520314744,0.00326445818861646,0.0024012501577648,"Q60597/Q9Z2I8/Q8BKZ9/Q8CHT0",4
"GO:0015293","GO:0015293","symporter activity","5/92","231/30629",0.000674314772427501,0.00839521891672239,0.00617530370538869,"O88343/Q9WVL3/Q8VEM8/P53986/Q9D6M3",5
"GO:0008514","GO:0008514","organic anion transmembrane transporter activity","5/92","301/30629",0.00217197358993008,0.0257534011377423,0.0189435290550292,"Q8R0Y8/O88343/P53986/Q9D6M3/P63030",5
"GO:0048038","GO:0048038","quinone binding","2/92","27/30629",0.00298298160519361,0.0337619281678731,0.0248343923111813,"Q9DC70/Q91VT4",2
"GO:0051018","GO:0051018","protein kinase A binding","3/92","97/30629",0.00315329648109119,0.0341378619039872,0.0251109193459894,"O08715/A2A5R2/Q8BR92",3
"GO:0043024","GO:0043024","ribosomal small subunit binding","2/92","30/30629",0.00367529819814204,0.0381312188057237,0.0280483283542419,"Q14C51/Q8BGD9",2
"GO:0008509","GO:0008509","anion transmembrane transporter activity","6/92","498/30629",0.00393740486993845,0.039216552504587,0.0288466714681807,"Q8R0Y8/O88343/Q9WVL3/P53986/Q9D6M3/P63030",6
"GO:0043022","GO:0043022","ribosome binding","3/92","108/30629",0.00426398964951326,0.0408359008741846,0.0300378218224821,"Q924L1/Q8K0Z7/Q9CY58",3
"GO:0051787","GO:0051787","misfolded protein binding","2/92","41/30629",0.0067813801560275,0.0625393947722536,0.0460023449180813,"Q9ER39/P38647",2
"GO:0015291","GO:0015291","secondary active transmembrane transporter activity","5/92","399/30629",0.0071322712823462,0.0634262696180072,0.0466547068845203,"O88343/Q9WVL3/Q8VEM8/P53986/Q9D6M3",5
"GO:0015101","GO:0015101","organic cation transmembrane transporter activity","2/92","43/30629",0.00743881471845259,0.0638712022377481,0.0469819876954901,"Q8R0Y8/Q9Z2Z6",2
"GO:0016878","GO:0016878","acid-thiol ligase activity","2/92","44/30629",0.00777791679270151,0.0645567093794226,0.0474862288396513,"Q8JZR0/Q9Z2I8",2
"GO:0034237","GO:0034237","protein kinase A regulatory subunit binding","2/92","45/30629",0.00812388390774552,0.0652531320331818,0.0479984991493284,"O08715/A2A5R2",2
"GO:0008135","GO:0008135","translation factor activity, RNA binding","3/92","143/30629",0.00924457085673639,0.07193431697898,0.0529130042457938,"Q8BFR5/Q8BGD9/Q05D44",3
"GO:0016645","GO:0016645","oxidoreductase activity, acting on the CH-NH group of donors","2/92","49/30629",0.00957553822153943,0.0722517883988884,0.0531465279281614,"Q9Z0X1/Q8CHT0",2
"GO:0016877","GO:0016877","ligase activity, forming carbon-sulfur bonds","2/92","62/30629",0.0150143898532732,0.108215532327643,0.0796005183893888,"Q8JZR0/Q9Z2I8",2
"GO:0090079","GO:0090079","translation regulator activity, nucleic acid binding","3/92","175/30629",0.015883662316334,0.108215532327643,0.0796005183893888,"Q8BFR5/Q8BGD9/Q05D44",3
"GO:0071949","GO:0071949","FAD binding","2/92","64/30629",0.0159450749650689,0.108215532327643,0.0796005183893888,"Q8R1S0/Q9Z0X1",2
"GO:0003924","GO:0003924","GTPase activity","5/92","489/30629",0.0160802196631438,0.108215532327643,0.0796005183893888,"Q8BFR5/P68368/Q80U63/Q80UG5/Q05D44",5
"GO:0051087","GO:0051087","chaperone binding","3/92","181/30629",0.0173604998409115,0.108229440509351,0.0796107488844938,"P10637/O35857/P38647",3
