Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology (molecular function)	Subcellular location [CC]
A0A2R3XZC4	unreviewed	A0A2R3XZC4_MOUSE	Stimulator of interferon genes protein	Sting1 STING Tmem173	Mus musculus (Mouse)	378	autophagosome membrane [GO:0000421]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; endosome [GO:0005768]; Golgi membrane [GO:0000139]; mitochondrial outer membrane [GO:0005741]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]; STING complex [GO:1990231]	antiviral innate immune response [GO:0140374]; autophagosome assembly [GO:0000045]; cellular response to exogenous dsRNA [GO:0071360]; cytosolic pattern recognition receptor signaling pathway [GO:0002753]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of macroautophagy [GO:0016239]; positive regulation of protein binding [GO:0032092]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of type I interferon-mediated signaling pathway [GO:0060340]; protein complex oligomerization [GO:0051259]	autophagosome membrane [GO:0000421]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; endosome [GO:0005768]; Golgi membrane [GO:0000139]; mitochondrial outer membrane [GO:0005741]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]; STING complex [GO:1990231]; 2',3'-cyclic GMP-AMP binding [GO:0061507]; cyclic-di-GMP binding [GO:0035438]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activator activity [GO:0043539]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; signaling adaptor activity [GO:0035591]; antiviral innate immune response [GO:0140374]; autophagosome assembly [GO:0000045]; cellular response to exogenous dsRNA [GO:0071360]; cytosolic pattern recognition receptor signaling pathway [GO:0002753]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of macroautophagy [GO:0016239]; positive regulation of protein binding [GO:0032092]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of type I interferon-mediated signaling pathway [GO:0060340]; protein complex oligomerization [GO:0051259]	2',3'-cyclic GMP-AMP binding [GO:0061507]; cyclic-di-GMP binding [GO:0035438]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activator activity [GO:0043539]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; signaling adaptor activity [GO:0035591]	SUBCELLULAR LOCATION: Cytoplasm, perinuclear region {ECO:0000256|ARBA:ARBA00004556}. Cytoplasmic vesicle, autophagosome membrane {ECO:0000256|ARBA:ARBA00004542}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004542}. Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000256|ARBA:ARBA00004457}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004457}. Mitochondrion outer membrane {ECO:0000256|ARBA:ARBA00004374}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004374}.
A0A385KNU8	unreviewed	A0A385KNU8_MOUSE	Cannabinoid receptor 1	Cnr1	Mus musculus (Mouse)	473	actin cytoskeleton [GO:0015629]; axon [GO:0030424]; membrane raft [GO:0045121]; mitochondrial outer membrane [GO:0005741]; plasma membrane [GO:0005886]; presynapse [GO:0098793]	adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]; aging [GO:0007568]; maternal process involved in female pregnancy [GO:0060135]; memory [GO:0007613]; negative regulation of action potential [GO:0045759]; negative regulation of blood pressure [GO:0045776]; negative regulation of dopamine secretion [GO:0033602]; negative regulation of fatty acid beta-oxidation [GO:0031999]; negative regulation of mast cell activation [GO:0033004]; negative regulation of nitric-oxide synthase activity [GO:0051001]; negative regulation of serotonin secretion [GO:0014063]; positive regulation of acute inflammatory response to antigenic stimulus [GO:0002866]; positive regulation of apoptotic process [GO:0043065]; positive regulation of blood pressure [GO:0045777]; positive regulation of fever generation [GO:0031622]; positive regulation of neuron projection development [GO:0010976]; regulation of feeding behavior [GO:0060259]; regulation of insulin secretion [GO:0050796]; regulation of penile erection [GO:0060405]; regulation of synaptic transmission, GABAergic [GO:0032228]; regulation of synaptic transmission, glutamatergic [GO:0051966]; response to cocaine [GO:0042220]; response to ethanol [GO:0045471]; response to lipopolysaccharide [GO:0032496]; response to morphine [GO:0043278]; response to nicotine [GO:0035094]; response to nutrient [GO:0007584]; sensory perception of pain [GO:0019233]; spermatogenesis [GO:0007283]	actin cytoskeleton [GO:0015629]; axon [GO:0030424]; membrane raft [GO:0045121]; mitochondrial outer membrane [GO:0005741]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; cannabinoid receptor activity [GO:0004949]; identical protein binding [GO:0042802]; adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]; aging [GO:0007568]; maternal process involved in female pregnancy [GO:0060135]; memory [GO:0007613]; negative regulation of action potential [GO:0045759]; negative regulation of blood pressure [GO:0045776]; negative regulation of dopamine secretion [GO:0033602]; negative regulation of fatty acid beta-oxidation [GO:0031999]; negative regulation of mast cell activation [GO:0033004]; negative regulation of nitric-oxide synthase activity [GO:0051001]; negative regulation of serotonin secretion [GO:0014063]; positive regulation of acute inflammatory response to antigenic stimulus [GO:0002866]; positive regulation of apoptotic process [GO:0043065]; positive regulation of blood pressure [GO:0045777]; positive regulation of fever generation [GO:0031622]; positive regulation of neuron projection development [GO:0010976]; regulation of feeding behavior [GO:0060259]; regulation of insulin secretion [GO:0050796]; regulation of penile erection [GO:0060405]; regulation of synaptic transmission, GABAergic [GO:0032228]; regulation of synaptic transmission, glutamatergic [GO:0051966]; response to cocaine [GO:0042220]; response to ethanol [GO:0045471]; response to lipopolysaccharide [GO:0032496]; response to morphine [GO:0043278]; response to nicotine [GO:0035094]; response to nutrient [GO:0007584]; sensory perception of pain [GO:0019233]; spermatogenesis [GO:0007283]	cannabinoid receptor activity [GO:0004949]; identical protein binding [GO:0042802]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Cell projection, axon {ECO:0000256|ARBA:ARBA00004489}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}. Mitochondrion outer membrane {ECO:0000256|ARBA:ARBA00004294}. Presynapse {ECO:0000256|ARBA:ARBA00034106}. Synapse {ECO:0000256|ARBA:ARBA00034103}.
A2AAE1	reviewed	BLTP1_MOUSE	Bridge-like lipid transfer protein family member 1 (Fragile site-associated protein homolog)	Bltp1 Fsa Kiaa1109 Kiaa1371	Mus musculus (Mouse)	5005	endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-plasma membrane contact site [GO:0140268]; mitochondrial membrane [GO:0031966]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; presynapse [GO:0098793]	adipose tissue development [GO:0060612]; endocytic recycling [GO:0032456]; endosomal transport [GO:0016197]; fat cell differentiation [GO:0045444]; intermembrane lipid transfer [GO:0120009]; lipid metabolic process [GO:0006629]; lipid storage [GO:0019915]; nucleus localization [GO:0051647]; phagocytosis [GO:0006909]; regulation of cell growth [GO:0001558]; spermatogenesis [GO:0007283]; synaptic vesicle endocytosis [GO:0048488]	endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-plasma membrane contact site [GO:0140268]; mitochondrial membrane [GO:0031966]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; phosphatidylethanolamine transfer activity [GO:1904121]; adipose tissue development [GO:0060612]; endocytic recycling [GO:0032456]; endosomal transport [GO:0016197]; fat cell differentiation [GO:0045444]; intermembrane lipid transfer [GO:0120009]; lipid metabolic process [GO:0006629]; lipid storage [GO:0019915]; nucleus localization [GO:0051647]; phagocytosis [GO:0006909]; regulation of cell growth [GO:0001558]; spermatogenesis [GO:0007283]; synaptic vesicle endocytosis [GO:0048488]	phosphatidylethanolamine transfer activity [GO:1904121]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q12150}; Single-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q12150}; Single-pass membrane protein {ECO:0000255}. Mitochondrion membrane {ECO:0000250|UniProtKB:Q12150}; Single-pass membrane protein {ECO:0000255}. Note=Localizes to endoplasmic reticulum-cell membrane and some endoplasmic reticulum-mitochondria contact sites. {ECO:0000250|UniProtKB:Q12150}.
A2AH22	reviewed	AMRA1_MOUSE	Activating molecule in BECN1-regulated autophagy protein 1	Ambra1 Kiaa1736	Mus musculus (Mouse)	1300	autophagosome [GO:0005776]; axoneme [GO:0005930]; Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; focal adhesion [GO:0005925]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; phagocytic vesicle [GO:0045335]	autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; autophagy of mitochondrion [GO:0000422]; cell cycle [GO:0007049]; cell differentiation [GO:0030154]; cellular response to starvation [GO:0009267]; mitophagy [GO:0000423]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of neuron apoptotic process [GO:0043524]; neural tube development [GO:0021915]; positive regulation of autophagy [GO:0010508]; positive regulation of free ubiquitin chain polymerization [GO:1904544]; positive regulation of mitophagy [GO:1901526]; positive regulation of phosphatidylinositol 3-kinase activity [GO:0043552]; positive regulation of protein dephosphorylation [GO:0035307]; positive regulation of regulatory T cell differentiation [GO:0045591]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of G1/S transition of mitotic cell cycle [GO:2000045]; regulation of transcription by RNA polymerase II [GO:0006357]; response to mitochondrial depolarisation [GO:0098780]	autophagosome [GO:0005776]; axoneme [GO:0005930]; Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; focal adhesion [GO:0005925]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; phagocytic vesicle [GO:0045335]; GTPase binding [GO:0051020]; molecular function inhibitor activity [GO:0140678]; protein phosphatase binding [GO:0019903]; ubiquitin ligase-substrate adaptor activity [GO:1990756]; ubiquitin protein ligase binding [GO:0031625]; autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; autophagy of mitochondrion [GO:0000422]; cell cycle [GO:0007049]; cell differentiation [GO:0030154]; cellular response to starvation [GO:0009267]; mitophagy [GO:0000423]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of neuron apoptotic process [GO:0043524]; neural tube development [GO:0021915]; positive regulation of autophagy [GO:0010508]; positive regulation of free ubiquitin chain polymerization [GO:1904544]; positive regulation of mitophagy [GO:1901526]; positive regulation of phosphatidylinositol 3-kinase activity [GO:0043552]; positive regulation of protein dephosphorylation [GO:0035307]; positive regulation of regulatory T cell differentiation [GO:0045591]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of G1/S transition of mitotic cell cycle [GO:2000045]; regulation of transcription by RNA polymerase II [GO:0006357]; response to mitochondrial depolarisation [GO:0098780]	GTPase binding [GO:0051020]; molecular function inhibitor activity [GO:0140678]; protein phosphatase binding [GO:0019903]; ubiquitin ligase-substrate adaptor activity [GO:1990756]; ubiquitin protein ligase binding [GO:0031625]	SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000250|UniProtKB:Q9C0C7}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q9C0C7}. Cytoplasmic vesicle, autophagosome {ECO:0000305|PubMed:17589504, ECO:0000305|PubMed:24089209, ECO:0000305|PubMed:28362576, ECO:0000305|PubMed:32616651}. Mitochondrion {ECO:0000250|UniProtKB:Q9C0C7}. Cytoplasm, cytosol {ECO:0000269|PubMed:21753002, ECO:0000269|PubMed:24980959}. Nucleus {ECO:0000269|PubMed:24980959, ECO:0000269|PubMed:28362576, ECO:0000269|PubMed:32616651}. Cell junction, focal adhesion {ECO:0000269|PubMed:28362576}. Note=Localizes to the cytoskeleton in absence of autophagy induction. Upon autophagy induction, AMBRA1 relocalizes to the endoplasmic reticulum to enable autophagosome nucleation (By similarity). Partially localizes at mitochondria in normal conditions (By similarity). Localizes also to discrete punctae along the ciliary axoneme (PubMed:24089209). {ECO:0000250|UniProtKB:Q9C0C7, ECO:0000269|PubMed:24089209}.
A2AS89	reviewed	GDAH_MOUSE	Guanidino acid hydrolase, mitochondrial (EC 3.5.3.-) (Arginase, mitochondrial) (EC 3.5.3.1) (Guanidinobutyrase, mitochondrial) (EC 3.5.3.7) (Guanidinopropionase, mitochondrial) (EC 3.5.3.17)	Agmat Gdah	Mus musculus (Mouse)	358	mitochondrion [GO:0005739]	putrescine biosynthetic process from arginine, using agmatinase [GO:0033389]; spermidine biosynthetic process [GO:0008295]	mitochondrion [GO:0005739]; agmatinase activity [GO:0008783]; metal ion binding [GO:0046872]; putrescine biosynthetic process from arginine, using agmatinase [GO:0033389]; spermidine biosynthetic process [GO:0008295]	agmatinase activity [GO:0008783]; metal ion binding [GO:0046872]	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}.
A2ASZ8	reviewed	SCMC2_MOUSE	Mitochondrial adenyl nucleotide antiporter SLC25A25 (Short calcium-binding mitochondrial carrier protein 2) (SCaMC-2) (Solute carrier family 25 member 25)	Slc25a25 Kiaa1896 Scamc2	Mus musculus (Mouse)	469	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]	adipose tissue development [GO:0060612]; ADP transport [GO:0015866]; ATP metabolic process [GO:0046034]; ATP transport [GO:0015867]; calcium ion transmembrane transport [GO:0070588]; camera-type eye development [GO:0043010]; cellular respiration [GO:0045333]; multicellular organism growth [GO:0035264]; response to activity [GO:0014823]; response to dietary excess [GO:0002021]; response to food [GO:0032094]	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; ATP transmembrane transporter activity [GO:0005347]; ATP:inorganic phosphate antiporter activity [GO:0140987]; calcium ion binding [GO:0005509]; adipose tissue development [GO:0060612]; ADP transport [GO:0015866]; ATP metabolic process [GO:0046034]; ATP transport [GO:0015867]; calcium ion transmembrane transport [GO:0070588]; camera-type eye development [GO:0043010]; cellular respiration [GO:0045333]; multicellular organism growth [GO:0035264]; response to activity [GO:0014823]; response to dietary excess [GO:0002021]; response to food [GO:0032094]	ATP transmembrane transporter activity [GO:0005347]; ATP:inorganic phosphate antiporter activity [GO:0140987]; calcium ion binding [GO:0005509]	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:15054102}; Multi-pass membrane protein {ECO:0000255}.
A2AUU0	reviewed	METL8_MOUSE	tRNA N(3)-methylcytidine methyltransferase METTL8, mitochondrial (EC 2.1.1.-) (Methyltransferase-like protein 8) (Tension-induced/inhibited protein) (mRNA N(3)-methylcytidine methyltransferase METTL8) (EC 2.1.1.-)	Mettl8 Tip	Mus musculus (Mouse)	281	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nucleus [GO:0005634]	fat cell differentiation [GO:0045444]; mitochondrial tRNA modification [GO:0070900]; mRNA methylation [GO:0080009]; organonitrogen compound metabolic process [GO:1901564]; positive regulation of mitochondrial translation [GO:0070131]; skeletal muscle tissue development [GO:0007519]; tRNA C3-cytosine methylation [GO:0106217]	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; histone acetyltransferase activity [GO:0004402]; mRNA methyltransferase activity [GO:0008174]; tRNA (cytosine-3-)-methyltransferase activity [GO:0052735]; fat cell differentiation [GO:0045444]; mitochondrial tRNA modification [GO:0070900]; mRNA methylation [GO:0080009]; organonitrogen compound metabolic process [GO:1901564]; positive regulation of mitochondrial translation [GO:0070131]; skeletal muscle tissue development [GO:0007519]; tRNA C3-cytosine methylation [GO:0106217]	histone acetyltransferase activity [GO:0004402]; mRNA methyltransferase activity [GO:0008174]; tRNA (cytosine-3-)-methyltransferase activity [GO:0052735]	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q9H825}. Cytoplasm {ECO:0000305|PubMed:15992539}. Nucleus {ECO:0000305|PubMed:15992539}. Note=Mitochondrial protein (By similarity). The cytoplasmic or nuclear localization observed by some groups is either the result of an incorrect localization caused by N-terminal tagging that interferes with mitochondrial targeting, or splice isoforms that lack the N-terminal mitochondrial transit sequence (By similarity). {ECO:0000250|UniProtKB:Q9H825}.; SUBCELLULAR LOCATION: [Isoform 5]: Nucleus {ECO:0000269|PubMed:15992539}. Note=Isoform 5 localizes to the nucleus upon cell stretch in embryonic lung progenitor cells. {ECO:0000269|PubMed:15992539}.
B2RXV4	reviewed	FLVC1_MOUSE	Heme transporter FLVCR1 (Feline leukemia virus subgroup C receptor-related protein 1) (Feline leukemia virus subgroup C receptor) (Major facilitator superfamily domain containing 7B) (Mfsd7b)	Flvcr1 Mfsd7b	Mus musculus (Mouse)	560	mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]	blood vessel development [GO:0001568]; embryonic digit morphogenesis [GO:0042733]; embryonic skeletal system morphogenesis [GO:0048704]; erythrocyte differentiation [GO:0030218]; erythrocyte maturation [GO:0043249]; head morphogenesis [GO:0060323]; heme export [GO:0097037]; heme transport [GO:0015886]; in utero embryonic development [GO:0001701]; limb morphogenesis [GO:0035108]; mitochondrial transport [GO:0006839]; multicellular organism growth [GO:0035264]; regulation of organ growth [GO:0046620]; spleen development [GO:0048536]	mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; heme binding [GO:0020037]; heme transmembrane transporter activity [GO:0015232]; blood vessel development [GO:0001568]; embryonic digit morphogenesis [GO:0042733]; embryonic skeletal system morphogenesis [GO:0048704]; erythrocyte differentiation [GO:0030218]; erythrocyte maturation [GO:0043249]; head morphogenesis [GO:0060323]; heme export [GO:0097037]; heme transport [GO:0015886]; in utero embryonic development [GO:0001701]; limb morphogenesis [GO:0035108]; mitochondrial transport [GO:0006839]; multicellular organism growth [GO:0035264]; regulation of organ growth [GO:0046620]; spleen development [GO:0048536]	heme binding [GO:0020037]; heme transmembrane transporter activity [GO:0015232]	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:23187127}; Multi-pass membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 2]: Mitochondrion membrane {ECO:0000269|PubMed:23187127}; Multi-pass membrane protein {ECO:0000255}. Note=Colocalizes with HADHA. {ECO:0000269|PubMed:23187127}.
B8ZXI1	reviewed	QTRT2_MOUSE	Queuine tRNA-ribosyltransferase accessory subunit 2 (Queuine tRNA-ribosyltransferase domain-containing protein 1)	Qtrt2 Qtrtd1	Mus musculus (Mouse)	415	cytoplasm [GO:0005737]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; protein-containing complex [GO:0032991]; transferase complex [GO:1990234]	tRNA-guanine transglycosylation [GO:0101030]	cytoplasm [GO:0005737]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; protein-containing complex [GO:0032991]; transferase complex [GO:1990234]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; queuine tRNA-ribosyltransferase activity [GO:0008479]; zinc ion binding [GO:0008270]; tRNA-guanine transglycosylation [GO:0101030]	protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; queuine tRNA-ribosyltransferase activity [GO:0008479]; zinc ion binding [GO:0008270]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03043, ECO:0000269|PubMed:19414587}. Mitochondrion outer membrane {ECO:0000255|HAMAP-Rule:MF_03043, ECO:0000269|PubMed:19414587}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_03043, ECO:0000269|PubMed:19414587}; Cytoplasmic side {ECO:0000255|HAMAP-Rule:MF_03043, ECO:0000269|PubMed:19414587}. Note=May associate with the mitochondrion outer membrane. {ECO:0000255|HAMAP-Rule:MF_03043, ECO:0000269|PubMed:19414587}.
B9EJ57	reviewed	MTF1B_MOUSE	Transcription termination factor 1b, mitochondrial (Mitochondrial transcription termination factor 1b) (mTERF1b)	Mterf1b Gm9897 Mterf Mterf1	Mus musculus (Mouse)	379	mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]	DNA geometric change [GO:0032392]; DNA-templated transcription termination [GO:0006353]; regulation of DNA-templated transcription [GO:0006355]; termination of mitochondrial transcription [GO:0006393]; transcription initiation at mitochondrial promoter [GO:0006391]	mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; double-stranded DNA binding [GO:0003690]; nucleic acid binding [GO:0003676]; sequence-specific DNA binding [GO:0043565]; DNA geometric change [GO:0032392]; DNA-templated transcription termination [GO:0006353]; regulation of DNA-templated transcription [GO:0006355]; termination of mitochondrial transcription [GO:0006393]; transcription initiation at mitochondrial promoter [GO:0006391]	double-stranded DNA binding [GO:0003690]; nucleic acid binding [GO:0003676]; sequence-specific DNA binding [GO:0043565]	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q99551}.
