Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Q8CI52,ASTRC_MOUSE,reviewed,Protein Aster-C (GRAM domain-containing protein 1C),Gramd1c,Mus musculus (Mouse),662
P70704,AT8A1_MOUSE,reviewed,Phospholipid-transporting ATPase IA (EC 7.6.2.1) (ATPase class I type 8A member 1) (Chromaffin granule ATPase II) (P4-ATPase flippase complex alpha subunit ATP8A1),Atp8a1 Atpc1,Mus musculus (Mouse),1164
O88597,BECN1_MOUSE,reviewed,Beclin-1 (Coiled-coil myosin-like BCL2-interacting protein) [Cleaved into: Beclin-1-C 35 kDa; Beclin-1-C 37 kDa],Becn1,Mus musculus (Mouse),448
P12265,BGLR_MOUSE,reviewed,Beta-glucuronidase (EC 3.2.1.31),Gusb Gus Gus-s,Mus musculus (Mouse),648
P10417,BCL2_MOUSE,reviewed,Apoptosis regulator Bcl-2,Bcl2 Bcl-2,Mus musculus (Mouse),236
Q9WUE3,C56D2_MOUSE,reviewed,Cytochrome b561 domain-containing protein 2 (EC 7.2.1.3) (Putative tumor suppressor protein 101F6) (Transmembrane ascorbate ferrireductase),Cyb561d2 101f6,Mus musculus (Mouse),222
Q9WVJ3,CBPQ_MOUSE,reviewed,Carboxypeptidase Q (EC 3.4.17.-) (Hematopoietic lineage switch 2) (Plasma glutamate carboxypeptidase),Cpq Hls2 Pgcp,Mus musculus (Mouse),470
Q99LI2,CLCC1_MOUSE,reviewed,Chloride channel CLIC-like protein 1,Clcc1,Mus musculus (Mouse),539
Q8BK64,AHSA1_MOUSE,reviewed,Activator of 90 kDa heat shock protein ATPase homolog 1 (AHA1),Ahsa1,Mus musculus (Mouse),338
Q4QRL3,CC88B_MOUSE,reviewed,Coiled-coil domain-containing protein 88B (Gipie) (Hook-related protein 3) (HkRP3),Ccdc88b Ccdc88,Mus musculus (Mouse),1481
Q9EQG9,CERT_MOUSE,reviewed,Ceramide transfer protein (CERT) (Collagen type IV alpha-3-binding protein) (Goodpasture antigen-binding protein) (GPBP) (START domain-containing protein 11) (StARD11) (StAR-related lipid transfer protein 11),Cert1 Cert Col4a3bp Stard11,Mus musculus (Mouse),624
