"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009055","GO:0009055","electron transfer activity","22/275","106/30629",6.27088989939013e-24,2.87206757392068e-21,2.15190537600124e-21,"P00405/P56392/P99028/Q8K2B3/Q8K3J1/Q91VD9/Q91WD5/Q99LC3/Q99LC5/Q9CQ69/Q9CQA3/Q9CR68/Q9CXZ1/Q9D0M3/Q9D6J6/Q9DBL1/Q9DC70/Q9DCT2/Q9DCW4/Q9ERS2/Q9Z0X1/Q9Z1P6",22
"GO:0015453","GO:0015453","oxidoreduction-driven active transmembrane transporter activity","16/275","75/30629",6.12109184171415e-18,1.40173003175254e-15,1.05025049494674e-15,"P00405/P56392/P99028/Q8K3J1/Q91VD9/Q91WD5/Q99LC3/Q9CQ69/Q9CR68/Q9CXZ1/Q9D0M3/Q9D6J6/Q9DC70/Q9DCT2/Q9ERS2/Q9Z1P6",16
"GO:0003954","GO:0003954","NADH dehydrogenase activity","11/275","35/30629",8.62341285687304e-15,1.31650769614928e-12,9.8639740047039e-13,"Q8K3J1/Q91VD9/Q91WD5/Q99LC3/Q9CXZ1/Q9D6J6/Q9DC69/Q9DC70/Q9DCT2/Q9ERS2/Q9Z1P6",11
"GO:0003955","GO:0003955","NAD(P)H dehydrogenase (quinone) activity","11/275","39/30629",3.35599134153853e-14,3.84261008606161e-12,2.87908730879358e-12,"Q8K3J1/Q91VD9/Q91VT4/Q91WD5/Q99LC3/Q9CXZ1/Q9D6J6/Q9DC70/Q9DCT2/Q9ERS2/Q9Z1P6",11
"GO:0008137","GO:0008137","NADH dehydrogenase (ubiquinone) activity","10/275","33/30629",2.22995422916616e-13,1.70219839493017e-11,1.27537733106696e-11,"Q8K3J1/Q91VD9/Q91WD5/Q99LC3/Q9CXZ1/Q9D6J6/Q9DC70/Q9DCT2/Q9ERS2/Q9Z1P6",10
"GO:0050136","GO:0050136","NADH dehydrogenase (quinone) activity","10/275","33/30629",2.22995422916616e-13,1.70219839493017e-11,1.27537733106696e-11,"Q8K3J1/Q91VD9/Q91WD5/Q99LC3/Q9CXZ1/Q9D6J6/Q9DC70/Q9DCT2/Q9ERS2/Q9Z1P6",10
"GO:0016655","GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","11/275","64/30629",1.22125541310209e-11,7.99049970286796e-10,5.98690623565836e-10,"Q8K3J1/Q91VD9/Q91VT4/Q91WD5/Q99LC3/Q9CXZ1/Q9D6J6/Q9DC70/Q9DCT2/Q9ERS2/Q9Z1P6",11
"GO:0016651","GO:0016651","oxidoreductase activity, acting on NAD(P)H","13/275","107/30629",1.58532444728584e-11,9.07598246071144e-10,6.80020749756821e-10,"Q8K3J1/Q91VD9/Q91VT4/Q91WD5/Q99LC3/Q9CXZ1/Q9D6J6/Q9DC69/Q9DC70/Q9DCT2/Q9ERS2/Q9Z0X1/Q9Z1P6",13
"GO:0051536","GO:0051536","iron-sulfur cluster binding","12/275","92/30629",4.13939845180709e-11,1.89584449092764e-09,1.42046725819906e-09,"Q80Y14/Q8K3J1/Q8WTY4/Q91VD9/Q91WD5/Q91WS0/Q99KI0/Q9CQA3/Q9CR68/Q9D6J6/Q9D924/Q9DC70",12
"GO:0051540","GO:0051540","metal cluster binding","12/275","92/30629",4.13939845180709e-11,1.89584449092764e-09,1.42046725819906e-09,"Q80Y14/Q8K3J1/Q8WTY4/Q91VD9/Q91WD5/Q91WS0/Q99KI0/Q9CQA3/Q9CR68/Q9D6J6/Q9D924/Q9DC70",12
