Gene Symbol,Protein Name,Domain,RefSeq,Swiss-Prot
AFF4,AF4/FMR2 family member 4,UBOX,7656879,Q9UHB7
AMFR,"autocrine motility factor receptor, E3 ubiquitin protein ligase",RING,21071001,Q9UKV5
ANAPC11,anaphase-promoting complex subunit 11 isoform 2,RING,574957206,Q9NYG5
ANKIB1,ankyrin repeat and IBR domain-containing protein 1,RING,148596953,Q9P2G1
AREL1,apoptosis resistant E3 ubiquitin protein ligase 1,HECTc,87116668,O15033
ARIH1,ariadne RBR E3 ubiquitin protein ligase 1,RING,187761373,Q9Y4X5
ARIH2,ariadne RBR E3 ubiquitin protein ligase 2,RING,5453557,O95376
BARD1,BRCA1 associated RING domain 1,RING,543583789,Q99728
BFAR,bifunctional apoptosis regulator,RING,7706091,Q9NZS9
BIRC2,baculoviral IAP repeat containing 2,RING,390608639,Q13490
BIRC3,baculoviral IAP repeat containing 3,RING,33946285,Q13489
BIRC7,baculoviral IAP repeat containing 7,RING,21536421,Q96CA5
BIRC8,baculoviral IAP repeat-containing protein 8,RING,44680139,Q96P09
BMI1,BMI1 polycomb ring finger proto-oncogene*,RING,27883842,P35226
BRAP,BRCA1 associated protein,RING,188497705,Q7Z569
BRCA1,"breast cancer 1, early onset*",RING,237681125,P38398
CBL,"Cbl proto-oncogene, E3 ubiquitin protein ligase",RING,52426745,P22681
CBLB,"Cbl proto-oncogene B, E3 ubiquitin protein ligase",RING,54112420,Q13191
CBLC,"Cbl proto-oncogene C, E3 ubiquitin protein ligase",RING,195927030,Q9ULV8
CBLL1,"Cbl proto-oncogene-like 1, E3 ubiquitin protein ligase",RING,546230945,Q75N03
CCDC36,coiled-coil domain-containing protein 36,RING,206597549,Q8IYA8
CCNB1IP1,"cyclin B1 interacting protein 1, E3 ubiquitin protein ligase",RING,116812640,Q9NPC3
CGRRF1,cell growth regulator with RING finger domain protein 1,RING,5729765,Q99675
CHFR,"checkpoint with forkhead and ring finger domains, E3 ubiquitin protein ligase",RING,239048909,Q96EP1
CNOT4,"CCR4-NOT transcription complex, subunit 4",RING,300069017,O95628
CUL9,cullin-9,RING,24307991,Q8IWT3
CYHR1,cysteine and histidine-rich protein 1 isoform 2 precursor,RING,193788637,Q6ZMK1
DCST1,DC-STAMP domain-containing protein 1 isoform 2,RING,219521926,Q5T197
DTX1,"deltex 1, E3 ubiquitin ligase",RING,41352718,Q86Y01
DTX2,"deltex 2, E3 ubiquitin ligase",RING,156564386,Q86UW9
DTX3,"deltex 3, E3 ubiquitin ligase",RING,555943736,Q8N9I9
DTX3L,"deltex 3 like, E3 ubiquitin ligase",RING,19923717,Q8TDB6
DTX4,"deltex 4, E3 ubiquitin ligase",RING,663071089,Q9Y2E6
DZIP3,DAZ interacting zinc finger protein 3,RING,7662244,Q86Y13
E4F1,E4F transcription factor 1,zf-C2H2,571026678,Q66K89
FANCL,"Fanconi anemia, complementation group L",RING,167860138,Q9NW38
G2E3,G2/M-phase specific E3 ubiquitin protein ligase,HECTc,809279653,Q7L622
HACE1,HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1,HECTc,116875852,Q8IYU2
HECTD1,HECT domain containing E3 ubiquitin protein ligase 1,HECTc,612339310,Q9ULT8
HECTD2,HECT domain containing E3 ubiquitin protein ligase 2,HECTc,546231434,Q5U5R9
HECTD3,HECT domain containing E3 ubiquitin protein ligase 3,HECT,157738609,Q5T447
HECTD4,HECT domain containing E3 ubiquitin protein ligase 4,HECTc,359718912,Q9Y4D8
HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1",HECTc,559098413,Q76N89
HECW2,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2",HECTc,756140743,Q9P2P5
HERC1,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1,HECTc,126131099,Q15751
HERC2,HECT and RLD domain containing E3 ubiquitin protein ligase 2*,HECTc,126032348,O95714
HERC3,HECT and RLD domain containing E3 ubiquitin protein ligase 3,HECTc,410110896,Q15034
