Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Subcellular location [CC]
A0A140LIF8	reviewed	IRGM2_MOUSE	Immunity-related GTPase family M protein 2 (EC 3.6.5.-) (Interferon-inducible GTPase 2)	Irgm2 Iigp2	Mus musculus (Mouse)	395	autophagosome assembly [GO:0000045]; CAMKK-AMPK signaling cascade [GO:0061762]; cellular response to interferon-beta [GO:0035458]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to virus [GO:0098586]; defense response [GO:0006952]; defense response to bacterium [GO:0042742]; defense response to Gram-negative bacterium [GO:0050829]; defense response to protozoan [GO:0042832]; innate immune response [GO:0045087]; killing of cells of another organism [GO:0031640]; negative regulation of cGAS/STING signaling pathway [GO:0160049]; negative regulation of defense response to virus [GO:0050687]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; negative regulation of inflammatory response [GO:0050728]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; negative regulation of non-canonical inflammasome complex assembly [GO:0160076]; negative regulation of type I interferon production [GO:0032480]; nucleotide-binding oligomerization domain containing 2 signaling pathway [GO:0070431]; positive regulation of autophagosome maturation [GO:1901098]; positive regulation of autophagy [GO:0010508]; positive regulation of lysosome organization [GO:1905673]; positive regulation of mitochondrial fission [GO:0090141]; positive regulation of mitophagy [GO:1901526]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of peptidyl-threonine phosphorylation [GO:0010800]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; positive regulation of type II interferon-mediated signaling pathway [GO:0060335]; positive regulation of xenophagy [GO:1904417]; protein destabilization [GO:0031648]; protein lipidation involved in autophagosome assembly [GO:0061739]; protein stabilization [GO:0050821]; protein targeting to vacuolar membrane [GO:0044395]; protein targeting to vacuole involved in autophagy [GO:0071211]; protein-containing complex assembly [GO:0065003]; regulation of protein complex stability [GO:0061635]; regulation of protein-containing complex assembly [GO:0043254]; response to bacterium [GO:0009617]	autophagosome membrane [GO:0000421]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; mitochondrion [GO:0005739]; vacuolar membrane [GO:0005774]	autophagosome membrane [GO:0000421]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; mitochondrion [GO:0005739]; vacuolar membrane [GO:0005774]; BH3 domain binding [GO:0051434]; CARD domain binding [GO:0050700]; cardiolipin binding [GO:1901612]; G protein activity [GO:0003925]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activator activity [GO:0043539]; protein-macromolecule adaptor activity [GO:0030674]; autophagosome assembly [GO:0000045]; CAMKK-AMPK signaling cascade [GO:0061762]; cellular response to interferon-beta [GO:0035458]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to virus [GO:0098586]; defense response [GO:0006952]; defense response to bacterium [GO:0042742]; defense response to Gram-negative bacterium [GO:0050829]; defense response to protozoan [GO:0042832]; innate immune response [GO:0045087]; killing of cells of another organism [GO:0031640]; negative regulation of cGAS/STING signaling pathway [GO:0160049]; negative regulation of defense response to virus [GO:0050687]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; negative regulation of inflammatory response [GO:0050728]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; negative regulation of non-canonical inflammasome complex assembly [GO:0160076]; negative regulation of type I interferon production [GO:0032480]; nucleotide-binding oligomerization domain containing 2 signaling pathway [GO:0070431]; positive regulation of autophagosome maturation [GO:1901098]; positive regulation of autophagy [GO:0010508]; positive regulation of lysosome organization [GO:1905673]; positive regulation of mitochondrial fission [GO:0090141]; positive regulation of mitophagy [GO:1901526]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of peptidyl-threonine phosphorylation [GO:0010800]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; positive regulation of type II interferon-mediated signaling pathway [GO:0060335]; positive regulation of xenophagy [GO:1904417]; protein destabilization [GO:0031648]; protein lipidation involved in autophagosome assembly [GO:0061739]; protein stabilization [GO:0050821]; protein targeting to vacuolar membrane [GO:0044395]; protein targeting to vacuole involved in autophagy [GO:0071211]; protein-containing complex assembly [GO:0065003]; regulation of protein complex stability [GO:0061635]; regulation of protein-containing complex assembly [GO:0043254]; response to bacterium [GO:0009617]	SUBCELLULAR LOCATION: Cytoplasmic vesicle membrane {ECO:0000269|PubMed:34078740}. Golgi apparatus membrane {ECO:0000269|PubMed:34078740}. Cytoplasm, cytosol {ECO:0000269|PubMed:34078740}. Note=Localizes to parasitophorous vacuole membranes. {ECO:0000269|PubMed:34078740}.
A2A5R2	reviewed	BIG2_MOUSE	Brefeldin A-inhibited guanine nucleotide-exchange protein 2 (Brefeldin A-inhibited GEP 2) (ADP-ribosylation factor guanine nucleotide-exchange factor 2)	Arfgef2 Arfgep2 Big2	Mus musculus (Mouse)	1792	endomembrane system organization [GO:0010256]; endosome organization [GO:0007032]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; intracellular signal transduction [GO:0035556]; positive regulation of tumor necrosis factor production [GO:0032760]; protein transport [GO:0015031]; receptor recycling [GO:0001881]; regulation of ARF protein signal transduction [GO:0032012]	asymmetric synapse [GO:0032279]; axonemal microtubule [GO:0005879]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; microtubule organizing center [GO:0005815]; perinuclear region of cytoplasm [GO:0048471]; postsynapse [GO:0098794]; presynapse [GO:0098793]; recycling endosome [GO:0055037]; symmetric synapse [GO:0032280]; trans-Golgi network [GO:0005802]	asymmetric synapse [GO:0032279]; axonemal microtubule [GO:0005879]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; microtubule organizing center [GO:0005815]; perinuclear region of cytoplasm [GO:0048471]; postsynapse [GO:0098794]; presynapse [GO:0098793]; recycling endosome [GO:0055037]; symmetric synapse [GO:0032280]; trans-Golgi network [GO:0005802]; GABA receptor binding [GO:0050811]; guanyl-nucleotide exchange factor activity [GO:0005085]; myosin binding [GO:0017022]; protein kinase A regulatory subunit binding [GO:0034237]; endomembrane system organization [GO:0010256]; endosome organization [GO:0007032]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; intracellular signal transduction [GO:0035556]; positive regulation of tumor necrosis factor production [GO:0032760]; protein transport [GO:0015031]; receptor recycling [GO:0001881]; regulation of ARF protein signal transduction [GO:0032012]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Membrane {ECO:0000250}. Golgi apparatus {ECO:0000250}. Cytoplasm, perinuclear region {ECO:0000250}. Golgi apparatus, trans-Golgi network {ECO:0000250}. Endosome {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250}. Cell projection, dendrite {ECO:0000250}. Cytoplasmic vesicle {ECO:0000250}. Synapse {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Note=Translocates from cytoplasm to membranes upon cAMP treatment. Localized in recycling endosomes (By similarity). {ECO:0000250}.
A2AFS3	reviewed	ELAP1_MOUSE	Endosome/lysosome-associated apoptosis and autophagy regulator 1	Elapor1 Kiaa1324	Mus musculus (Mouse)	1009	autophagosome assembly [GO:0000045]; cellular response to starvation [GO:0009267]; positive regulation of autophagosome assembly [GO:2000786]; positive regulation of vacuole organization [GO:0044090]	endoplasmic reticulum membrane [GO:0005789]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]	endoplasmic reticulum membrane [GO:0005789]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]; autophagosome assembly [GO:0000045]; cellular response to starvation [GO:0009267]; positive regulation of autophagosome assembly [GO:2000786]; positive regulation of vacuole organization [GO:0044090]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q6UXG2}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q6UXG2}. Late endosome membrane {ECO:0000250|UniProtKB:Q6UXG2}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q6UXG2}. Golgi apparatus, trans-Golgi network membrane {ECO:0000250|UniProtKB:Q6UXG2}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q6UXG2}. Lysosome membrane {ECO:0000250|UniProtKB:Q6UXG2}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q6UXG2}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q6UXG2}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q6UXG2}.
A2AG68	unreviewed	A2AG68_MOUSE	P-type Cu(+) transporter (EC 7.2.2.8)	Atp7a	Mus musculus (Mouse)	1492	cellular response to amino acid stimulus [GO:0071230]; cellular response to antibiotic [GO:0071236]; cellular response to cadmium ion [GO:0071276]; cellular response to cobalt ion [GO:0071279]; cellular response to copper ion [GO:0071280]; cellular response to hypoxia [GO:0071456]; cellular response to iron ion [GO:0071281]; cellular response to lead ion [GO:0071284]; cellular response to platelet-derived growth factor stimulus [GO:0036120]; copper ion export [GO:0060003]; female pregnancy [GO:0007565]; in utero embryonic development [GO:0001701]; intracellular copper ion homeostasis [GO:0006878]; lactation [GO:0007595]; liver development [GO:0001889]; negative regulation of iron ion transmembrane transport [GO:0034760]; positive regulation of cell size [GO:0045793]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of lamellipodium assembly [GO:0010592]; positive regulation of melanin biosynthetic process [GO:0048023]; positive regulation of response to wounding [GO:1903036]; positive regulation of tyrosinase activity [GO:0032773]; positive regulation of vascular associated smooth muscle cell migration [GO:1904754]; regulation of cytochrome-c oxidase activity [GO:1904959]; regulation of gene expression [GO:0010468]; response to iron(III) ion [GO:0010041]; response to manganese ion [GO:0010042]; response to zinc ion [GO:0010043]	apical plasma membrane [GO:0016324]; axon [GO:0030424]; basolateral plasma membrane [GO:0016323]; brush border membrane [GO:0031526]; cell leading edge [GO:0031252]; cytosol [GO:0005829]; dendrite [GO:0030425]; late endosome [GO:0005770]; membrane raft [GO:0045121]; microvillus [GO:0005902]; nucleus [GO:0005634]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; secretory granule [GO:0030141]; trans-Golgi network membrane [GO:0032588]; trans-Golgi network transport vesicle [GO:0030140]	apical plasma membrane [GO:0016324]; axon [GO:0030424]; basolateral plasma membrane [GO:0016323]; brush border membrane [GO:0031526]; cell leading edge [GO:0031252]; cytosol [GO:0005829]; dendrite [GO:0030425]; late endosome [GO:0005770]; membrane raft [GO:0045121]; microvillus [GO:0005902]; nucleus [GO:0005634]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; secretory granule [GO:0030141]; trans-Golgi network membrane [GO:0032588]; trans-Golgi network transport vesicle [GO:0030140]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; copper-dependent protein binding [GO:0032767]; cuprous ion binding [GO:1903136]; P-type monovalent copper transporter activity [GO:0140581]; protein-folding chaperone binding [GO:0051087]; small GTPase binding [GO:0031267]; cellular response to amino acid stimulus [GO:0071230]; cellular response to antibiotic [GO:0071236]; cellular response to cadmium ion [GO:0071276]; cellular response to cobalt ion [GO:0071279]; cellular response to copper ion [GO:0071280]; cellular response to hypoxia [GO:0071456]; cellular response to iron ion [GO:0071281]; cellular response to lead ion [GO:0071284]; cellular response to platelet-derived growth factor stimulus [GO:0036120]; copper ion export [GO:0060003]; female pregnancy [GO:0007565]; in utero embryonic development [GO:0001701]; intracellular copper ion homeostasis [GO:0006878]; lactation [GO:0007595]; liver development [GO:0001889]; negative regulation of iron ion transmembrane transport [GO:0034760]; positive regulation of cell size [GO:0045793]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of lamellipodium assembly [GO:0010592]; positive regulation of melanin biosynthetic process [GO:0048023]; positive regulation of response to wounding [GO:1903036]; positive regulation of tyrosinase activity [GO:0032773]; positive regulation of vascular associated smooth muscle cell migration [GO:1904754]; regulation of cytochrome-c oxidase activity [GO:1904959]; regulation of gene expression [GO:0010468]; response to iron(III) ion [GO:0010041]; response to manganese ion [GO:0010042]; response to zinc ion [GO:0010043]	SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000256|ARBA:ARBA00004166}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004166}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
A2ALS5	reviewed	RPGP1_MOUSE	Rap1 GTPase-activating protein 1 (Rap1GAP) (Rap1GAP1) (ARPP-90)	Rap1gap Kiaa0474 Rap1ga1	Mus musculus (Mouse)	663	activation of GTPase activity [GO:0090630]; cell-cell adhesion [GO:0098609]; cellular response to glial cell derived neurotrophic factor [GO:1990792]; establishment of localization in cell [GO:0051649]; negative regulation of GTP binding [GO:1904425]; negative regulation of microvillus assembly [GO:1903697]; negative regulation of neuron differentiation [GO:0045665]; negative regulation of thyroid gland epithelial cell proliferation [GO:1904442]; phagocytosis [GO:0006909]; positive regulation of cell-cell adhesion [GO:0022409]; positive regulation of GTPase activity [GO:0043547]; positive regulation of phagocytosis [GO:0050766]; regulation of GTPase activity [GO:0043087]; regulation of small GTPase mediated signal transduction [GO:0051056]	axon [GO:0030424]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; early endosome [GO:0005769]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; neuronal cell body [GO:0043025]	axon [GO:0030424]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; early endosome [GO:0005769]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; GTPase activator activity [GO:0005096]; protein homodimerization activity [GO:0042803]; small GTPase binding [GO:0031267]; activation of GTPase activity [GO:0090630]; cell-cell adhesion [GO:0098609]; cellular response to glial cell derived neurotrophic factor [GO:1990792]; establishment of localization in cell [GO:0051649]; negative regulation of GTP binding [GO:1904425]; negative regulation of microvillus assembly [GO:1903697]; negative regulation of neuron differentiation [GO:0045665]; negative regulation of thyroid gland epithelial cell proliferation [GO:1904442]; phagocytosis [GO:0006909]; positive regulation of cell-cell adhesion [GO:0022409]; positive regulation of GTPase activity [GO:0043547]; positive regulation of phagocytosis [GO:0050766]; regulation of GTPase activity [GO:0043087]; regulation of small GTPase mediated signal transduction [GO:0051056]	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.
A2AWP0	reviewed	BIRC7_MOUSE	Baculoviral IAP repeat-containing protein 7 (EC 2.3.2.27) (Livin) (RING-type E3 ubiquitin transferase BIRC7) [Cleaved into: Baculoviral IAP repeat-containing protein 7 30 kDa subunit (Truncated livin) (p30-Livin) (tLivin)]	Birc7 Livin	Mus musculus (Mouse)	285	lens development in camera-type eye [GO:0002088]; negative regulation of apoptotic process [GO:0043066]; negative regulation of peptidase activity [GO:0010466]; negative regulation of tumor necrosis factor-mediated signaling pathway [GO:0010804]; positive regulation of JNK cascade [GO:0046330]; positive regulation of protein ubiquitination [GO:0031398]; protein ubiquitination [GO:0016567]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of cell population proliferation [GO:0042127]; regulation of natural killer cell apoptotic process [GO:0070247]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; cysteine-type endopeptidase inhibitor activity involved in apoptotic process [GO:0043027]; metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; lens development in camera-type eye [GO:0002088]; negative regulation of apoptotic process [GO:0043066]; negative regulation of peptidase activity [GO:0010466]; negative regulation of tumor necrosis factor-mediated signaling pathway [GO:0010804]; positive regulation of JNK cascade [GO:0046330]; positive regulation of protein ubiquitination [GO:0031398]; protein ubiquitination [GO:0016567]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of cell population proliferation [GO:0042127]; regulation of natural killer cell apoptotic process [GO:0070247]	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q96CA5}. Cytoplasm {ECO:0000250|UniProtKB:Q96CA5}. Golgi apparatus {ECO:0000250|UniProtKB:Q96CA5}. Note=Nuclear, and in a filamentous pattern throughout the cytoplasm. Full-length livin is detected exclusively cytoplasm, whereas the truncated form (tLivin) is found in the peri-nuclear region with marked localization to the Golgi apparatus; the accumulation of tLivin in the nucleus shows positive correlation with the increase in apoptosis. {ECO:0000250|UniProtKB:Q96CA5}.
A4UUI3	reviewed	GBP4_MOUSE	Guanylate-binding protein 4 (EC 3.6.5.-) (GTP-binding protein 4) (GBP-4) (Guanine nucleotide-binding protein 4)	Gbp4	Mus musculus (Mouse)	631	cellular response to type II interferon [GO:0071346]; defense response to Gram-positive bacterium [GO:0050830]; defense response to protozoan [GO:0042832]; negative regulation of interferon-alpha production [GO:0032687]; negative regulation of protein import into nucleus [GO:0042308]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of defense response to virus [GO:0050688]	cytoplasmic vesicle [GO:0031410]; Golgi membrane [GO:0000139]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]	cytoplasmic vesicle [GO:0031410]; Golgi membrane [GO:0000139]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; cellular response to type II interferon [GO:0071346]; defense response to Gram-positive bacterium [GO:0050830]; defense response to protozoan [GO:0042832]; negative regulation of interferon-alpha production [GO:0032687]; negative regulation of protein import into nucleus [GO:0042308]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of defense response to virus [GO:0050688]	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250|UniProtKB:Q96PP9}. Cytoplasm {ECO:0000250|UniProtKB:Q96PP9}. Nucleus {ECO:0000250|UniProtKB:Q96PP9}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:Q96PP9}. Note=Heterodimers with GBP1, GBP2 and GBP5 localize in the compartment of the prenylated GBPs: with GBP1 in a vesicle-like compartment, with GBP2, around the nucleus and with GBP5, at the Golgi apparatus. {ECO:0000250|UniProtKB:Q96PP9}.
A6H6A9	reviewed	RBG1L_MOUSE	Rab GTPase-activating protein 1-like	Rabgap1l Hhl Kiaa0471	Mus musculus (Mouse)	815	endocytosis [GO:0006897]; megakaryocyte development [GO:0035855]; protein transport [GO:0015031]; regulation of protein localization [GO:0032880]	early endosome [GO:0005769]; Golgi apparatus [GO:0005794]; nucleus [GO:0005634]	early endosome [GO:0005769]; Golgi apparatus [GO:0005794]; nucleus [GO:0005634]; GTPase activator activity [GO:0005096]; small GTPase binding [GO:0031267]; endocytosis [GO:0006897]; megakaryocyte development [GO:0035855]; protein transport [GO:0015031]; regulation of protein localization [GO:0032880]	SUBCELLULAR LOCATION: Early endosome {ECO:0000269|PubMed:27718357}. Golgi apparatus {ECO:0000250|UniProtKB:Q5R372}. Note=Colocalizes on endosomes partially with EEA1 (By similarity). Colocalizes and cotransports on motile vesicles with ANK2 (PubMed:27718357). {ECO:0000250|UniProtKB:Q5R372, ECO:0000269|PubMed:27718357}.
A7L9Z8	reviewed	AT2C2_MOUSE	Calcium-transporting ATPase type 2C member 2 (ATPase 2C2) (EC 7.2.2.10) (Ca(2+)/Mn(2+)-ATPase 2C2) (Secretory pathway Ca(2+)-transporting ATPase type 2) (SPCA2)	Atp2c2 Kiaa0703 Spca2	Mus musculus (Mouse)	944	calcium ion transmembrane transport [GO:0070588]; intracellular calcium ion homeostasis [GO:0006874]; mammary gland epithelium development [GO:0061180]; manganese ion transport [GO:0006828]; positive regulation of calcium ion import [GO:0090280]; protein localization to plasma membrane [GO:0072659]	basolateral plasma membrane [GO:0016323]; cytoplasmic side of plasma membrane [GO:0009898]; cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum [GO:0005783]; Golgi membrane [GO:0000139]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; trans-Golgi network membrane [GO:0032588]	basolateral plasma membrane [GO:0016323]; cytoplasmic side of plasma membrane [GO:0009898]; cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum [GO:0005783]; Golgi membrane [GO:0000139]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; trans-Golgi network membrane [GO:0032588]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; metal ion binding [GO:0046872]; P-type calcium transporter activity [GO:0005388]; P-type manganese transporter activity [GO:0140613]; calcium ion transmembrane transport [GO:0070588]; intracellular calcium ion homeostasis [GO:0006874]; mammary gland epithelium development [GO:0061180]; manganese ion transport [GO:0006828]; positive regulation of calcium ion import [GO:0090280]; protein localization to plasma membrane [GO:0072659]	SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:15677451}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000250|UniProtKB:O75185}; Multi-pass membrane protein {ECO:0000255}. Basolateral cell membrane {ECO:0000269|PubMed:23840669}; Multi-pass membrane protein {ECO:0000255}.
B2RQR8	reviewed	ECE2_MOUSE	Endothelin-converting enzyme 2 (ECE-2) (EC 3.4.24.71)	Ece2	Mus musculus (Mouse)	763	peptide hormone processing [GO:0016486]; protein processing [GO:0016485]	cytoplasmic vesicle membrane [GO:0030659]; Golgi membrane [GO:0000139]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]; transport vesicle membrane [GO:0030658]	cytoplasmic vesicle membrane [GO:0030659]; Golgi membrane [GO:0000139]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]; transport vesicle membrane [GO:0030658]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; peptide hormone processing [GO:0016486]; protein processing [GO:0016485]	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250|UniProtKB:F1N476}; Single-pass type II membrane protein {ECO:0000305}. Cytoplasmic vesicle, secretory vesicle membrane {ECO:0000250|UniProtKB:F1N476}.
