Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology (molecular function)	Subcellular location [CC]
A0A087WPF7	reviewed	AUTS2_MOUSE	Autism susceptibility gene 2 protein homolog	Auts2 Kiaa0442	Mus musculus (Mouse)	1261	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; growth cone [GO:0030426]; nucleus [GO:0005634]	actin cytoskeleton reorganization [GO:0031532]; axon extension [GO:0048675]; dendrite extension [GO:0097484]; innate vocalization behavior [GO:0098582]; neuron migration [GO:0001764]; positive regulation of histone H3-K4 methylation [GO:0051571]; positive regulation of histone H4-K16 acetylation [GO:2000620]; positive regulation of lamellipodium assembly [GO:0010592]; positive regulation of Rac protein signal transduction [GO:0035022]; positive regulation of transcription by RNA polymerase II [GO:0045944]; righting reflex [GO:0060013]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; growth cone [GO:0030426]; nucleus [GO:0005634]; chromatin binding [GO:0003682]; actin cytoskeleton reorganization [GO:0031532]; axon extension [GO:0048675]; dendrite extension [GO:0097484]; innate vocalization behavior [GO:0098582]; neuron migration [GO:0001764]; positive regulation of histone H3-K4 methylation [GO:0051571]; positive regulation of histone H4-K16 acetylation [GO:2000620]; positive regulation of lamellipodium assembly [GO:0010592]; positive regulation of Rac protein signal transduction [GO:0035022]; positive regulation of transcription by RNA polymerase II [GO:0045944]; righting reflex [GO:0060013]	chromatin binding [GO:0003682]	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19948250, ECO:0000269|PubMed:25519132, ECO:0000269|PubMed:25533347}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:25533347}. Cell projection, growth cone {ECO:0000269|PubMed:25533347}. Note=Detected both in cytoplasm and nucleus (PubMed:25533347). Colocalizes with RAC1 at actin-rich growth cones (PubMed:25533347). Detected on the promoter region of actively transcribed genes (PubMed:25519132). {ECO:0000269|PubMed:25519132, ECO:0000269|PubMed:25533347}.
A0A1Y7VMN0	unreviewed	A0A1Y7VMN0_MOUSE	Rho-associated protein kinase 2 (EC 2.7.11.1) (Rho-associated, coiled-coil-containing protein kinase 2) (Rho-associated, coiled-coil-containing protein kinase II) (p164 ROCK-2)	Rock2	Mus musculus (Mouse)	1444	centrosome [GO:0005813]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; plasma membrane [GO:0005886]	cellular response to testosterone stimulus [GO:0071394]; centrosome duplication [GO:0051298]; cortical actin cytoskeleton organization [GO:0030866]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; modulation by host of viral process [GO:0044788]; negative regulation of angiogenesis [GO:0016525]; negative regulation of bicellular tight junction assembly [GO:1903347]; negative regulation of myosin-light-chain-phosphatase activity [GO:0035509]; negative regulation of nitric oxide biosynthetic process [GO:0045019]; negative regulation of protein localization to lysosome [GO:0150033]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of amyloid-beta formation [GO:1902004]; positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process [GO:1902961]; positive regulation of centrosome duplication [GO:0010825]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of gene expression [GO:0010628]; positive regulation of protein localization to early endosome [GO:1902966]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of stress fiber assembly [GO:0051496]; protein localization to plasma membrane [GO:0072659]; regulation of establishment of endothelial barrier [GO:1903140]; regulation of keratinocyte differentiation [GO:0045616]; Rho protein signal transduction [GO:0007266]; rhythmic process [GO:0048511]; smooth muscle contraction [GO:0006939]	centrosome [GO:0005813]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; small GTPase binding [GO:0031267]; cellular response to testosterone stimulus [GO:0071394]; centrosome duplication [GO:0051298]; cortical actin cytoskeleton organization [GO:0030866]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; modulation by host of viral process [GO:0044788]; negative regulation of angiogenesis [GO:0016525]; negative regulation of bicellular tight junction assembly [GO:1903347]; negative regulation of myosin-light-chain-phosphatase activity [GO:0035509]; negative regulation of nitric oxide biosynthetic process [GO:0045019]; negative regulation of protein localization to lysosome [GO:0150033]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of amyloid-beta formation [GO:1902004]; positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process [GO:1902961]; positive regulation of centrosome duplication [GO:0010825]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of gene expression [GO:0010628]; positive regulation of protein localization to early endosome [GO:1902966]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of stress fiber assembly [GO:0051496]; protein localization to plasma membrane [GO:0072659]; regulation of establishment of endothelial barrier [GO:1903140]; regulation of keratinocyte differentiation [GO:0045616]; Rho protein signal transduction [GO:0007266]; rhythmic process [GO:0048511]; smooth muscle contraction [GO:0006939]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; small GTPase binding [GO:0031267]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004202}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004202}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000256|ARBA:ARBA00004300}. Membrane {ECO:0000256|ARBA:ARBA00004170}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004170}.
A0A286YE25	unreviewed	A0A286YE25_MOUSE	Spastin (EC 5.6.1.1)	Spast SPAST SPG4	Mus musculus (Mouse)	613	axon [GO:0030424]; centrosome [GO:0005813]; endoplasmic reticulum [GO:0005783]; endosome [GO:0005768]; membrane [GO:0016020]; microtubule [GO:0005874]; midbody [GO:0030496]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; spindle [GO:0005819]	axonogenesis [GO:0007409]; cytokinetic process [GO:0032506]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; metabolic process [GO:0008152]; microtubule severing [GO:0051013]; positive regulation of microtubule depolymerization [GO:0031117]; protein hexamerization [GO:0034214]	axon [GO:0030424]; centrosome [GO:0005813]; endoplasmic reticulum [GO:0005783]; endosome [GO:0005768]; membrane [GO:0016020]; microtubule [GO:0005874]; midbody [GO:0030496]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; spindle [GO:0005819]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; isomerase activity [GO:0016853]; microtubule binding [GO:0008017]; microtubule severing ATPase activity [GO:0008568]; axonogenesis [GO:0007409]; cytokinetic process [GO:0032506]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; metabolic process [GO:0008152]; microtubule severing [GO:0051013]; positive regulation of microtubule depolymerization [GO:0031117]; protein hexamerization [GO:0034214]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; isomerase activity [GO:0016853]; microtubule binding [GO:0008017]; microtubule severing ATPase activity [GO:0008568]	SUBCELLULAR LOCATION: Cell projection, axon {ECO:0000256|ARBA:ARBA00004489}. Membrane {ECO:0000256|HAMAP-Rule:MF_03021}; Peripheral membrane protein {ECO:0000256|HAMAP-Rule:MF_03021}. Endoplasmic reticulum {ECO:0000256|HAMAP-Rule:MF_03021}. Midbody {ECO:0000256|HAMAP-Rule:MF_03021}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000256|HAMAP-Rule:MF_03021}. Cytoplasm, cytoskeleton {ECO:0000256|HAMAP-Rule:MF_03021}. Cytoplasm, perinuclear region {ECO:0000256|HAMAP-Rule:MF_03021}. Nucleus {ECO:0000256|HAMAP-Rule:MF_03021}. Cytoplasm, cytoskeleton, spindle {ECO:0000256|HAMAP-Rule:MF_03021}. Cytoplasm {ECO:0000256|HAMAP-Rule:MF_03021}. Note=Forms an intramembrane hairpin-like structure in the membrane. Localization to the centrosome is independent of microtubules. Localizes to the midbody of dividing cells, and this requires CHMP1B. Enriched in the distal axons and branches of postmitotic neurons. Localizes to endoplasmic reticulum tubular network. {ECO:0000256|HAMAP-Rule:MF_03021}.
A0A3B2WC92	unreviewed	A0A3B2WC92_MOUSE	Spastin (EC 5.6.1.1)	Spast SPAST SPG4	Mus musculus (Mouse)	581	centrosome [GO:0005813]; endoplasmic reticulum [GO:0005783]; endosome [GO:0005768]; membrane [GO:0016020]; microtubule [GO:0005874]; midbody [GO:0030496]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; spindle [GO:0005819]	axonogenesis [GO:0007409]; cytokinetic process [GO:0032506]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; metabolic process [GO:0008152]; microtubule severing [GO:0051013]; positive regulation of microtubule depolymerization [GO:0031117]; protein hexamerization [GO:0034214]	centrosome [GO:0005813]; endoplasmic reticulum [GO:0005783]; endosome [GO:0005768]; membrane [GO:0016020]; microtubule [GO:0005874]; midbody [GO:0030496]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; spindle [GO:0005819]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; isomerase activity [GO:0016853]; microtubule binding [GO:0008017]; microtubule severing ATPase activity [GO:0008568]; axonogenesis [GO:0007409]; cytokinetic process [GO:0032506]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; metabolic process [GO:0008152]; microtubule severing [GO:0051013]; positive regulation of microtubule depolymerization [GO:0031117]; protein hexamerization [GO:0034214]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; isomerase activity [GO:0016853]; microtubule binding [GO:0008017]; microtubule severing ATPase activity [GO:0008568]	SUBCELLULAR LOCATION: Membrane {ECO:0000256|HAMAP-Rule:MF_03021}; Peripheral membrane protein {ECO:0000256|HAMAP-Rule:MF_03021}. Endoplasmic reticulum {ECO:0000256|HAMAP-Rule:MF_03021}. Midbody {ECO:0000256|HAMAP-Rule:MF_03021}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000256|HAMAP-Rule:MF_03021}. Cytoplasm, cytoskeleton {ECO:0000256|HAMAP-Rule:MF_03021}. Cytoplasm, perinuclear region {ECO:0000256|HAMAP-Rule:MF_03021}. Nucleus {ECO:0000256|HAMAP-Rule:MF_03021}. Cytoplasm, cytoskeleton, spindle {ECO:0000256|HAMAP-Rule:MF_03021}. Cytoplasm {ECO:0000256|HAMAP-Rule:MF_03021}. Note=Forms an intramembrane hairpin-like structure in the membrane. Localization to the centrosome is independent of microtubules. Localizes to the midbody of dividing cells, and this requires CHMP1B. Enriched in the distal axons and branches of postmitotic neurons. Localizes to endoplasmic reticulum tubular network. {ECO:0000256|HAMAP-Rule:MF_03021}.
A0JNT9	reviewed	BICL1_MOUSE	BICD family-like cargo adapter 1 (Bicaudal D-related protein 1) (BICD-related protein 1) (BICDR-1) (Coiled-coil domain-containing protein 64A)	Bicdl1 Bicdr1 Ccdc64	Mus musculus (Mouse)	577	centrosome [GO:0005813]; cytoplasm [GO:0005737]	Golgi to secretory granule transport [GO:0055107]; neuron projection development [GO:0031175]; vesicle transport along microtubule [GO:0047496]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; dynactin binding [GO:0034452]; small GTPase binding [GO:0031267]; Golgi to secretory granule transport [GO:0055107]; neuron projection development [GO:0031175]; vesicle transport along microtubule [GO:0047496]	dynactin binding [GO:0034452]; small GTPase binding [GO:0031267]	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000305|PubMed:36071160}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:20360680}. Note=Localizes around the centrosome.
A2A5R2	reviewed	BIG2_MOUSE	Brefeldin A-inhibited guanine nucleotide-exchange protein 2 (Brefeldin A-inhibited GEP 2) (ADP-ribosylation factor guanine nucleotide-exchange factor 2)	Arfgef2 Arfgep2 Big2	Mus musculus (Mouse)	1792	asymmetric synapse [GO:0032279]; axonemal microtubule [GO:0005879]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; microtubule organizing center [GO:0005815]; perinuclear region of cytoplasm [GO:0048471]; postsynapse [GO:0098794]; presynapse [GO:0098793]; recycling endosome [GO:0055037]; symmetric synapse [GO:0032280]; trans-Golgi network [GO:0005802]	endomembrane system organization [GO:0010256]; endosome organization [GO:0007032]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; intracellular signal transduction [GO:0035556]; positive regulation of tumor necrosis factor production [GO:0032760]; protein transport [GO:0015031]; receptor recycling [GO:0001881]; regulation of ARF protein signal transduction [GO:0032012]	asymmetric synapse [GO:0032279]; axonemal microtubule [GO:0005879]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; microtubule organizing center [GO:0005815]; perinuclear region of cytoplasm [GO:0048471]; postsynapse [GO:0098794]; presynapse [GO:0098793]; recycling endosome [GO:0055037]; symmetric synapse [GO:0032280]; trans-Golgi network [GO:0005802]; GABA receptor binding [GO:0050811]; guanyl-nucleotide exchange factor activity [GO:0005085]; myosin binding [GO:0017022]; protein kinase A regulatory subunit binding [GO:0034237]; endomembrane system organization [GO:0010256]; endosome organization [GO:0007032]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; intracellular signal transduction [GO:0035556]; positive regulation of tumor necrosis factor production [GO:0032760]; protein transport [GO:0015031]; receptor recycling [GO:0001881]; regulation of ARF protein signal transduction [GO:0032012]	GABA receptor binding [GO:0050811]; guanyl-nucleotide exchange factor activity [GO:0005085]; myosin binding [GO:0017022]; protein kinase A regulatory subunit binding [GO:0034237]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Membrane {ECO:0000250}. Golgi apparatus {ECO:0000250}. Cytoplasm, perinuclear region {ECO:0000250}. Golgi apparatus, trans-Golgi network {ECO:0000250}. Endosome {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250}. Cell projection, dendrite {ECO:0000250}. Cytoplasmic vesicle {ECO:0000250}. Synapse {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Note=Translocates from cytoplasm to membranes upon cAMP treatment. Localized in recycling endosomes (By similarity). {ECO:0000250}.
A2A6M5	reviewed	CACO2_MOUSE	Calcium-binding and coiled-coil domain-containing protein 2 (Nuclear domain 10 protein NDP52) (Nuclear domain 10 protein 52)	Calcoco2 Ndp52 Ndp52l1	Mus musculus (Mouse)	331	autophagosome [GO:0005776]; autophagosome membrane [GO:0000421]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; perinuclear region of cytoplasm [GO:0048471]; PML body [GO:0016605]	positive regulation of autophagosome maturation [GO:1901098]; response to type II interferon [GO:0034341]; xenophagy [GO:0098792]	autophagosome [GO:0005776]; autophagosome membrane [GO:0000421]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; perinuclear region of cytoplasm [GO:0048471]; PML body [GO:0016605]; protein homodimerization activity [GO:0042803]; positive regulation of autophagosome maturation [GO:1901098]; response to type II interferon [GO:0034341]; xenophagy [GO:0098792]	protein homodimerization activity [GO:0042803]	SUBCELLULAR LOCATION: Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:Q13137}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q13137}. Cytoplasmic vesicle, autophagosome membrane {ECO:0000250|UniProtKB:Q13137}; Peripheral membrane protein {ECO:0000305}.
A2A825	reviewed	CPLN2_MOUSE	Ciliogenesis and planar polarity effector 2 (REM2- and Rab-like small GTPase 1)	Cplane2 Gm723 Rsg1	Mus musculus (Mouse)	258	centriole [GO:0005814]; ciliary basal body [GO:0036064]; ciliary base [GO:0097546]; ciliary transition zone [GO:0035869]; cytoplasm [GO:0005737]	axoneme assembly [GO:0035082]; cilium assembly [GO:0060271]; cranial skeletal system development [GO:1904888]; endocardial cushion fusion [GO:0003274]; exocytosis [GO:0006887]; limb development [GO:0060173]; protein localization [GO:0008104]; protein processing [GO:0016485]; protein transport [GO:0015031]; regulation of exocytosis [GO:0017157]; regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning [GO:1901620]; regulation of vesicle fusion [GO:0031338]; smoothened signaling pathway [GO:0007224]	centriole [GO:0005814]; ciliary basal body [GO:0036064]; ciliary base [GO:0097546]; ciliary transition zone [GO:0035869]; cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; axoneme assembly [GO:0035082]; cilium assembly [GO:0060271]; cranial skeletal system development [GO:1904888]; endocardial cushion fusion [GO:0003274]; exocytosis [GO:0006887]; limb development [GO:0060173]; protein localization [GO:0008104]; protein processing [GO:0016485]; protein transport [GO:0015031]; regulation of exocytosis [GO:0017157]; regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning [GO:1901620]; regulation of vesicle fusion [GO:0031338]; smoothened signaling pathway [GO:0007224]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250|UniProtKB:Q6GNL4}.
A2AC93	reviewed	DNAI2_MOUSE	Dynein axonemal intermediate chain 2 (Axonemal dynein intermediate chain 2)	Dnai2 Dnaic2	Mus musculus (Mouse)	623	9+2 motile cilium [GO:0097729]; axonemal dynein complex [GO:0005858]; axoneme [GO:0005930]; cilium [GO:0005929]; cytoplasm [GO:0005737]; dynein axonemal particle [GO:0120293]; external side of plasma membrane [GO:0009897]; microtubule [GO:0005874]; outer dynein arm [GO:0036157]; sperm flagellum [GO:0036126]	cilium assembly [GO:0060271]; cilium movement [GO:0003341]; determination of left/right symmetry [GO:0007368]; outer dynein arm assembly [GO:0036158]	9+2 motile cilium [GO:0097729]; axonemal dynein complex [GO:0005858]; axoneme [GO:0005930]; cilium [GO:0005929]; cytoplasm [GO:0005737]; dynein axonemal particle [GO:0120293]; external side of plasma membrane [GO:0009897]; microtubule [GO:0005874]; outer dynein arm [GO:0036157]; sperm flagellum [GO:0036126]; dynein heavy chain binding [GO:0045504]; dynein light chain binding [GO:0045503]; microtubule motor activity [GO:0003777]; cilium assembly [GO:0060271]; cilium movement [GO:0003341]; determination of left/right symmetry [GO:0007368]; outer dynein arm assembly [GO:0036158]	dynein heavy chain binding [GO:0045504]; dynein light chain binding [GO:0045503]; microtubule motor activity [GO:0003777]	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium axoneme {ECO:0000250|UniProtKB:Q9GZS0}. Dynein axonemal particle {ECO:0000250|UniProtKB:Q4QR00}. Note=Located in the proximal region of respiratory cilia. {ECO:0000250|UniProtKB:Q9GZS0}.
A2AGT5	reviewed	CKAP5_MOUSE	Cytoskeleton-associated protein 5	Ckap5	Mus musculus (Mouse)	2032	centrosome [GO:0005813]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; kinetochore [GO:0000776]; microtubule plus-end [GO:0035371]; neuronal ribonucleoprotein granule [GO:0071598]; nucleolus [GO:0005730]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; protein-containing complex [GO:0032991]; spindle pole [GO:0000922]	cell division [GO:0051301]; central nervous system myelin formation [GO:0032289]; centrosome cycle [GO:0007098]; centrosome duplication [GO:0051298]; cytoplasmic translation [GO:0002181]; dendritic spine maintenance [GO:0097062]; establishment or maintenance of microtubule cytoskeleton polarity [GO:0030951]; excitatory postsynaptic potential [GO:0060079]; habituation [GO:0046959]; locomotory behavior [GO:0007626]; long-term synaptic potentiation [GO:0060291]; microtubule polymerization [GO:0046785]; mitotic spindle organization [GO:0007052]; mRNA localization resulting in post-transcriptional regulation of gene expression [GO:0010609]; positive regulation of endocytosis [GO:0045807]; positive regulation of microtubule nucleation [GO:0090063]; ribonucleoprotein complex assembly [GO:0022618]; RNA transport [GO:0050658]; spindle organization [GO:0007051]; visual learning [GO:0008542]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; kinetochore [GO:0000776]; microtubule plus-end [GO:0035371]; neuronal ribonucleoprotein granule [GO:0071598]; nucleolus [GO:0005730]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; protein-containing complex [GO:0032991]; spindle pole [GO:0000922]; microtubule binding [GO:0008017]; microtubule plus end polymerase [GO:0061863]; microtubule plus-end binding [GO:0051010]; ribonucleoprotein complex binding [GO:0043021]; cell division [GO:0051301]; central nervous system myelin formation [GO:0032289]; centrosome cycle [GO:0007098]; centrosome duplication [GO:0051298]; cytoplasmic translation [GO:0002181]; dendritic spine maintenance [GO:0097062]; establishment or maintenance of microtubule cytoskeleton polarity [GO:0030951]; excitatory postsynaptic potential [GO:0060079]; habituation [GO:0046959]; locomotory behavior [GO:0007626]; long-term synaptic potentiation [GO:0060291]; microtubule polymerization [GO:0046785]; mitotic spindle organization [GO:0007052]; mRNA localization resulting in post-transcriptional regulation of gene expression [GO:0010609]; positive regulation of endocytosis [GO:0045807]; positive regulation of microtubule nucleation [GO:0090063]; ribonucleoprotein complex assembly [GO:0022618]; RNA transport [GO:0050658]; spindle organization [GO:0007051]; visual learning [GO:0008542]	microtubule binding [GO:0008017]; microtubule plus end polymerase [GO:0061863]; microtubule plus-end binding [GO:0051010]; ribonucleoprotein complex binding [GO:0043021]	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q14008}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250|UniProtKB:Q14008}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q14008}. Chromosome, centromere, kinetochore {ECO:0000250|UniProtKB:Q14008}. Note=Detected on centrosomes and kinetochores during interphase and mitosis independently from TACC3 and clathrin. Located to spindle poles and microtubules during mitosis. In complex with TACC3 localized to microtubule plus-ends in mitosis and interphase. In complex with TACC3 and clathrin localized to inter-microtubule bridges in mitotic spindles. Accumulation sites at microtubule plus ends protruded approximately 100 nm from MAPRE1/EB1 sites in interphase cells. {ECO:0000250|UniProtKB:Q14008}.
