"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005178","GO:0005178","integrin binding","2/4","272/30629",0.000465929191781102,0.0164388826998254,0.000961338169580433,"Q61554/P48025",2
"GO:0004859","GO:0004859","phospholipase inhibitor activity","1/4","13/30629",0.0016967399211566,0.0164388826998254,0.000961338169580433,"P10107",1
"GO:0098973","GO:0098973","structural constituent of postsynaptic actin cytoskeleton","1/4","13/30629",0.0016967399211566,0.0164388826998254,0.000961338169580433,"P60710",1
"GO:0030957","GO:0030957","Tat protein binding","1/4","17/30629",0.00221837907929456,0.0164388826998254,0.000961338169580433,"P60710",1
"GO:0055102","GO:0055102","lipase inhibitor activity","1/4","21/30629",0.00273981378330423,0.0164388826998254,0.000961338169580433,"P10107",1
"GO:1990814","GO:1990814","DNA/DNA annealing activity","1/4","21/30629",0.00273981378330423,0.0164388826998254,0.000961338169580433,"P10107",1
"GO:0140666","GO:0140666","annealing activity","1/4","35/30629",0.00456322594241521,0.0211201826208779,0.00123509839888175,"P10107",1
"GO:0035325","GO:0035325","Toll-like receptor binding","1/4","36/30629",0.00469337391575064,0.0211201826208779,0.00123509839888175,"P48025",1
"GO:0099186","GO:0099186","structural constituent of postsynapse","1/4","48/30629",0.00625415435745735,0.0243864228710165,0.00142610660064424,"P60710",1
"GO:0050998","GO:0050998","nitric-oxide synthase binding","1/4","52/30629",0.00677400635306014,0.0243864228710165,0.00142610660064424,"P60710",1
"GO:0043274","GO:0043274","phospholipase binding","1/4","58/30629",0.00755340188779818,0.0247202243600668,0.00144562715555946,"P48025",1
"GO:0098918","GO:0098918","structural constituent of synapse","1/4","70/30629",0.00911081676645364,0.0273324502993609,0.00159838890639538,"P60710",1
"GO:0001784","GO:0001784","phosphotyrosine residue binding","1/4","84/30629",0.0109254832733979,0.0285091981124947,0.00166720456798215,"P48025",1
"GO:0042169","GO:0042169","SH2 domain binding","1/4","89/30629",0.0115729740166964,0.0285091981124947,0.00166720456798215,"P48025",1
"GO:0004715","GO:0004715","non-membrane spanning protein tyrosine kinase activity","1/4","93/30629",0.0120907376762034,0.0285091981124947,0.00166720456798215,"P48025",1
"GO:0005544","GO:0005544","calcium-dependent phospholipid binding","1/4","100/30629",0.0129963345845475,0.0285091981124947,0.00166720456798215,"P10107",1
"GO:0045309","GO:0045309","protein phosphorylated amino acid binding","1/4","114/30629",0.0148056604373129,0.0285091981124947,0.00166720456798215,"P48025",1
"GO:0019894","GO:0019894","kinesin binding","1/4","118/30629",0.0153221534701479,0.0285091981124947,0.00166720456798215,"P60710",1
"GO:0004857","GO:0004857","enzyme inhibitor activity","1/4","121/30629",0.0157093899527928,0.0285091981124947,0.00166720456798215,"P10107",1
"GO:0003678","GO:0003678","DNA helicase activity","1/4","122/30629",0.0158384433958304,0.0285091981124947,0.00166720456798215,"P10107",1
"GO:0005200","GO:0005200","structural constituent of cytoskeleton","1/4","157/30629",0.0203473245939585,0.0348811278753574,0.00203983203949459,"P60710",1
"GO:0003727","GO:0003727","single-stranded RNA binding","1/4","173/30629",0.0224033592793046,0.0366600424570439,0.00214386213199087,"P10107",1
"GO:0048306","GO:0048306","calcium-dependent protein binding","1/4","191/30629",0.0247125280377016,0.0372026268984063,0.00217559221628107,"P10107",1
"GO:0008094","GO:0008094","ATP-dependent activity, acting on DNA","1/4","196/30629",0.0253532371694737,0.0372026268984063,0.00217559221628107,"P10107",1
"GO:0097110","GO:0097110","scaffold protein binding","1/4","201/30629",0.0259936305669324,0.0372026268984063,0.00217559221628107,"P48025",1
"GO:0051219","GO:0051219","phosphoprotein binding","1/4","208/30629",0.0268896510872533,0.0372026268984063,0.00217559221628107,"P48025",1
"GO:0003697","GO:0003697","single-stranded DNA binding","1/4","217/30629",0.0280407689125138,0.0372026268984063,0.00217559221628107,"P10107",1
"GO:0005179","GO:0005179","hormone activity","1/4","224/30629",0.0289353764765382,0.0372026268984063,0.00217559221628107,"Q61554",1
"GO:0140678","GO:0140678","molecular function inhibitor activity","1/4","236/30629",0.0304675525007081,0.0378217893112238,0.00221180054451601,"P10107",1
"GO:0004386","GO:0004386","helicase activity","1/4","255/30629",0.0328897888627475,0.0378604820314278,0.00221406327669168,"P10107",1
"GO:0005201","GO:0005201","extracellular matrix structural constituent","1/4","258/30629",0.0332718319350672,0.0378604820314278,0.00221406327669168,"Q61554",1
"GO:0004713","GO:0004713","protein tyrosine kinase activity","1/4","261/30629",0.0336537618057136,0.0378604820314278,0.00221406327669168,"P48025",1
"GO:0008201","GO:0008201","heparin binding","1/4","319/30629",0.041015520131405,0.0447442037797145,0.00261662010407687,"Q61554",1
"GO:0140097","GO:0140097","catalytic activity, acting on DNA","1/4","388/30629",0.0497185980597726,0.0526432214750534,0.00307855096345341,"P10107",1
"GO:0005539","GO:0005539","glycosaminoglycan binding","1/4","434/30629",0.0554876487617963,0.0570730101549905,0.00333760293304038,"Q61554",1
"GO:0019902","GO:0019902","phosphatase binding","1/4","494/30629",0.0629729740344875,0.0629729740344875,0.00368263006049635,"P48025",1
